"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	879.1318916	879.5488622	5614.035	11929.825	5060.303	0.254	6589.16	11649.463	7536.621	"6244.629;6201.562;6524.561;6653.760;6761.426;6782.959;6567.627;6739.893;6524.561;6589.160;6524.561;6503.027;6524.561;6481.494;6524.561;6459.961;6567.627;6524.561;6373.828;6459.961;6481.494;6524.561;6503.027"	"6761.426;6890.625;7278.223;7428.955;10766.602;10034.473;9905.273;8376.416;7601.221;7235.156;7278.223;7213.623;7235.156;7170.557;7041.357;6998.291;7062.891;6933.691;6955.225;6998.291;6718.359;6890.625;6912.158"	"7062.891;7256.689;10658.936;10702.002;11649.463;11670.996;11714.062;11670.996;11627.930;11649.463;11692.529;11692.529;11434.131;11670.996;11391.064;11627.930;11627.930;11240.332;11025.000;10120.605;7622.754;7472.021;7644.287"	0.216	9	11714.062	258.77	"M"
"2"	2	"Spectrogram 1"	1	880.188217	880.5773895	5473.684	12561.404	5383.301	0.1995	6653.76	12037.061	7601.221	"6503.027;6244.629;6481.494;6718.359;6976.758;6912.158;6826.025;6739.893;6696.826;6675.293;6653.760;6610.693;6567.627;6546.094;6524.561;6546.094;6589.160;6546.094;6503.027;6503.027"	"6804.492;6696.826;7213.623;7536.621;9733.008;9646.875;7622.754;7795.020;7795.020;7536.621;7536.621;7450.488;7321.289;7321.289;7127.490;6955.225;6890.625;6847.559;7041.357;7041.357"	"7062.891;7256.689;7924.219;11326.465;11993.994;12230.859;12187.793;12230.859;12230.859;12080.127;12187.793;12209.326;12187.793;12058.594;11972.461;11692.529;11434.131;11046.533;11283.398;10400.537"	0	7	12209.326	280.136	"M"
"3"	3	"Spectrogram 1"	1	883.79731	884.5389305	7603.306	8859.504	581.396	0.4354	8139.551	8720.947	8548.682	"7644.287;7644.287;8527.148;8397.949;8290.283;8247.217;8247.217;8247.217;8247.217;8290.283;8311.816;8354.883;8354.883;8376.416;8376.416;8376.416;8419.482;8484.082;8570.215;8591.748;8613.281;8634.814;8397.949;8548.682;8591.748;8527.148;8484.082;8419.482;8397.949;8333.350;8247.217;8204.150;8118.018;7945.752;7816.553;7816.553;7945.752;7881.152;7881.152;7838.086;7816.553"	"8139.551;8268.750;8591.748;8441.016;8419.482;8376.416;8290.283;8290.283;8311.816;8397.949;8419.482;8419.482;8484.082;8527.148;8570.215;8634.814;8634.814;8677.881;8699.414;8699.414;8699.414;8699.414;8699.414;8656.348;8634.814;8591.748;8527.148;8462.549;8419.482;8505.615;8354.883;8333.350;8268.750;8204.150;8139.551;8204.150;8139.551;8096.484;8225.684;8118.018;7859.619"	"8785.547;8828.613;8828.613;8570.215;8527.148;8548.682;8419.482;8397.949;8419.482;8441.016;8462.549;8484.082;8570.215;8591.748;8656.348;8656.348;8677.881;8742.480;8742.480;8720.947;8720.947;8742.480;8720.947;8742.480;8699.414;8677.881;8699.414;8656.348;8634.814;8677.881;8634.814;8634.814;8613.281;8634.814;8462.549;8634.814;8591.748;8613.281;8613.281;8613.281;8484.082"	0.119	9	8720.947	51.042	"F"
"4"	4	"Spectrogram 1"	1	884.4878709	884.9226139	7272.727	8000	236.865	0.254	7708.887	7945.752	7881.152	"7751.953;7816.553;7816.553;7859.619;7902.686;7881.152;7881.152;7838.086;7838.086;7838.086;7838.086;7838.086;7816.553;7751.953;7730.420;7687.354;7515.088;7644.287;7601.221;7622.754;7493.555;7472.021;7515.088;7687.354"	"7902.686;7859.619;7859.619;7924.219;7924.219;7924.219;7924.219;7902.686;7902.686;7881.152;7859.619;7859.619;7838.086;7838.086;7816.553;7773.486;7795.020;7773.486;7816.553;7751.953;7730.420;7730.420;7795.020;7773.486"	"7988.818;7945.752;7945.752;7967.285;7967.285;7945.752;7967.285;7967.285;7945.752;7945.752;7945.752;7902.686;7924.219;7902.686;7924.219;7902.686;7881.152;7945.752;7902.686;7881.152;7881.152;7902.686;7945.752;7902.686"	-0.516	10	7967.285	8.309	"F"
"5"	5	"Spectrogram 1"	1	884.8970408	885.4085033	7404.959	8132.231	258.398	0.381	7687.354	7945.752	7838.086	"7622.754;7730.420;7751.953;7773.486;7773.486;7816.553;7859.619;7838.086;7816.553;7816.553;7816.553;7816.553;7795.020;7773.486;7773.486;7773.486;7773.486;7751.953;7687.354;7644.287;7622.754;7665.820;7622.754;7601.221;7644.287;7558.154;7644.287;7816.553;7816.553"	"7773.486;7795.020;7881.152;7924.219;7859.619;7924.219;7924.219;7924.219;7902.686;7859.619;7859.619;7859.619;7859.619;7838.086;7816.553;7816.553;7816.553;7795.020;7816.553;7795.020;7795.020;7795.020;7687.354;7708.887;7795.020;7708.887;7881.152;7859.619;8010.352"	"7945.752;7902.686;7988.818;7988.818;7967.285;7967.285;7945.752;7945.752;7945.752;7945.752;7924.219;7924.219;7924.219;7902.686;7881.152;7902.686;7924.219;7838.086;7838.086;7859.619;7859.619;7859.619;7881.152;7881.152;7881.152;7902.686;8010.352;8031.885;8118.018"	0.636	14	8074.951	11.87	"F"
"6"	6	"Spectrogram 1"	1	885.3062108	885.9199657	7537.19	8330.579	430.664	0.4535	7859.619	8290.283	7967.285	"7622.754;7601.221;7622.754;7665.820;7816.553;7902.686;7881.152;7859.619;7902.686;7924.219;7945.752;7945.752;7945.752;7945.752;7945.752;7902.686;7902.686;7881.152;7881.152;7902.686;7859.619;7859.619;7751.953;7751.953;7795.020;7730.420;7838.086;7838.086;7708.887;7859.619;7859.619;7881.152;8204.150;8268.750"	"7773.486;7795.020;7859.619;7881.152;7945.752;7988.818;7945.752;7924.219;8031.885;8010.352;7988.818;8010.352;7988.818;7988.818;7988.818;7967.285;7945.752;7967.285;7924.219;7924.219;7924.219;7902.686;7902.686;7924.219;7945.752;7881.152;7881.152;7881.152;7881.152;7924.219;8268.750;8290.283;8311.816;8290.283"	"7881.152;7881.152;8031.885;8053.418;8096.484;8096.484;8053.418;8096.484;8118.018;8096.484;8074.951;8074.951;8053.418;8031.885;8053.418;8031.885;8031.885;8031.885;8010.352;7988.818;7988.818;8010.352;7988.818;8010.352;7988.818;8010.352;7967.285;8010.352;8031.885;8311.816;8311.816;8311.816;8311.816;8311.816"	0.827	12	8311.816	22.553	"F"
"7"	7	"Spectrogram 1"	1	885.7921001	886.6615862	8066.116	8991.736	279.932	0.3084	8161.084	8441.016	8290.283	"8074.951;8268.750;8247.217;8247.217;8268.750;8268.750;8204.150;8161.084;8118.018;8096.484;8096.484;8096.484;8118.018;8182.617;8204.150;8204.150;8204.150;8204.150;8225.684;8225.684;8204.150;8204.150;8204.150;8161.084;8182.617;8182.617;8182.617;8182.617;8247.217;8161.084;8161.084;8225.684;8204.150;8182.617;8182.617;8204.150;8139.551;8182.617;8204.150;8182.617;8182.617;8139.551;8204.150;8118.018;8161.084;8182.617;8139.551;8419.482"	"8699.414;8419.482;8311.816;8290.283;8311.816;8311.816;8311.816;8311.816;8311.816;8311.816;8290.283;8247.217;8247.217;8268.750;8247.217;8247.217;8290.283;8290.283;8311.816;8290.283;8247.217;8247.217;8290.283;8268.750;8311.816;8247.217;8290.283;8268.750;8290.283;8290.283;8268.750;8311.816;8290.283;8247.217;8311.816;8290.283;8268.750;8247.217;8268.750;8333.350;8311.816;8290.283;8311.816;8311.816;8268.750;8311.816;8311.816;8699.414"	"8828.613;8742.480;8570.215;8419.482;8376.416;8354.883;8376.416;8505.615;8527.148;8742.480;8764.014;8699.414;8484.082;8570.215;8333.350;8311.816;8333.350;8354.883;8419.482;8419.482;8397.949;8354.883;8397.949;8376.416;8419.482;8397.949;8397.949;8397.949;8354.883;8354.883;8311.816;8397.949;8376.416;8354.883;8397.949;8333.350;8764.014;8376.416;8354.883;8354.883;8354.883;8397.949;8376.416;8462.549;8807.080;8764.014;8699.414;8871.680"	-0.025	21	8742.48	22.553	"F"
"8"	8	"Spectrogram 1"	1	885.8622972	886.3481866	4363.636	12363.636	5189.502	0.3084	6933.691	12123.193	8333.35	"6847.559;6782.959;6804.492;7041.357;7278.223;7558.154;7299.756;6610.693;6589.160;6546.094;6782.959;6998.291;7041.357;7062.891;6869.092;6610.693;6567.627;6632.227;6610.693;6610.693;6546.094;6567.627;6503.027;6696.826;6847.559;6912.158"	"8311.816;8311.816;7902.686;8182.617;9302.344;10788.135;10852.734;9237.744;8290.283;8290.283;8247.217;8268.750;8290.283;8290.283;8290.283;8290.283;8247.217;8247.217;8268.750;8161.084;8290.283;7062.891;8139.551;10486.670;10206.738;10615.869"	"8354.883;8333.350;8333.350;10465.137;11606.396;12166.260;12187.793;12187.793;12101.660;12166.260;12080.127;11670.996;10788.135;10486.670;11240.332;11025.000;10981.934;11132.666;11175.732;11154.199;11132.666;10981.934;10702.002;10637.402;10572.803;10702.002"	5.128	10	12187.793	213.663	"M"
"9"	9	"Spectrogram 1"	1	886.2524163	886.6871593	9785.124	12363.636	1464.258	0.2358	10357.471	11821.729	10981.934	"10142.139;10357.471;10099.072;10099.072;10271.338;10400.537;10529.736;10680.469;10788.135;10702.002;10723.535;10852.734;10960.400;10766.602;10788.135;10831.201;10809.668;10766.602;10658.936;10723.535;10658.936;9905.273;9905.273;9926.807"	"10658.936;10529.736;10443.604;10551.270;10637.402;10658.936;10745.068;10981.934;11003.467;11218.799;11369.531;11563.330;11627.930;11627.930;11735.596;11929.395;11735.596;11627.930;11649.463;11735.596;11649.463;11175.732;11197.266;11304.932"	"11972.461;10680.469;10637.402;10702.002;10788.135;10809.668;11003.467;11132.666;11283.398;11498.730;11627.930;11821.729;11821.729;12101.660;12209.326;12209.326;12187.793;12209.326;12209.326;12209.326;12209.326;12144.727;12187.793;12187.793"	0.826	6	12209.326	32.049	"F"
"10"	10	"Spectrogram 1"	1	886.6806371	887.1153802	4892.562	12958.678	5663.232	0.1995	6933.691	12596.924	9625.342	"6847.559;7192.090;7558.154;7730.420;7472.021;6524.561;6158.496;6395.361;6416.895;6330.762;6416.895;6223.096;5986.230;6201.562;6481.494;6567.627;6524.561;6503.027;6503.027;6395.361;6416.895;6459.961;6481.494"	"7687.354;8139.551;9646.875;10788.135;10852.734;9905.273;9625.342;9496.143;9280.811;8979.346;8764.014;8613.281;8441.016;8397.949;8182.617;8031.885;8311.816;8419.482;8204.150;7838.086;7385.889;7019.824;6869.092"	"8462.549;10572.803;12015.527;12575.391;12769.189;12769.189;12747.656;12661.523;12532.324;12424.658;12467.725;12489.258;12424.658;12316.992;12123.193;11929.395;12187.793;12360.059;12446.191;12144.727;12037.061;11606.396;11606.396"	-2.212	11	12769.189	256.396	"M"
