"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	506.5669279	506.8727064	5052.632	12421.053	5512.5	0.254	6567.627	12080.127	6804.492	"6610.693;6610.693;6632.227;6481.494;5684.766;6029.297;6718.359;6653.760;6589.160;6524.561;6567.627;6395.361;6416.895;6653.760;6589.160;6567.627;6546.094"	"6804.492;6804.492;6847.559;6912.158;6804.492;8354.883;11692.529;6718.359;6782.959;6976.758;6804.492;7041.357;6826.025;6804.492;6718.359;6739.893;6739.893"	"7062.891;7084.424;7062.891;7062.891;9323.877;11649.463;12187.793;11993.994;12058.594;12080.127;11821.729;12101.660;11843.262;10895.801;6890.625;6998.291;7062.891"	-0.074	8	11692.529	271.827	"M"
"2"	2	"Spectrogram 1"	1	507.4842632	507.7900416	4842.105	12912.281	6675.293	0.2177	5900.098	12575.391	6933.691	"6481.494;6546.094;6481.494;5340.234;5404.834;5986.230;6675.293;6610.693;6459.961;5943.164;6158.496;6093.896;6503.027;6180.029;6589.160;6632.227"	"6826.025;6826.025;6826.025;6503.027;7967.285;10099.072;12424.658;6761.426;6761.426;6826.025;6804.492;6847.559;6869.092;6912.158;6761.426;6761.426"	"7062.891;7062.891;7105.957;12596.924;12575.391;12360.059;12596.924;12230.859;12467.725;12467.725;12316.992;11950.928;11864.795;12144.727;10852.734;7084.424"	-0.396	4	12553.857	310.999	"M"
"3"	3	"Spectrogram 1"	1	508.3460023	508.6239827	4771.93	12982.456	7062.891	0.1814	5512.5	12575.391	6933.691	"6610.693;6610.693;6395.361;5297.168;5340.234;6050.830;5792.432;5770.898;5469.434;5361.768;5684.766;5986.230;6050.830;6072.363;5512.500"	"6761.426;6761.426;6761.426;6761.426;9496.143;11757.129;11864.795;9776.074;6976.758;6912.158;6847.559;6804.492;6826.025;6869.092;6826.025"	"7019.824;6976.758;6955.225;12575.391;12596.924;12596.924;12639.990;12596.924;12360.059;12316.992;12101.660;11843.262;11735.596;11735.596;11757.129"	0.339	5	12575.391	316.934	"M"
"4"	4	"Spectrogram 1"	1	508.7907709	509.0965493	4631.579	14035.088	7407.422	0.1995	5878.564	13285.986	9883.74	"5706.299;4995.703;4952.637;5275.635;6503.027;6675.293;6330.762;6136.963;5684.766;5986.230;5857.031;5813.965;6158.496;6481.494;6589.160;6352.295"	"6696.826;6696.826;6653.760;6912.158;12037.061;12230.859;7472.021;8914.746;7213.623;6869.092;6933.691;6890.625;6847.559;6804.492;6739.893;6826.025"	"9087.012;9366.943;9689.941;13307.520;12790.723;13544.385;13522.852;13070.654;12941.455;12683.057;12661.523;12510.791;12037.061;10335.938;7019.824;11025.000"	0.396	6	12273.926	295.567	"M"
"5"	5	"Spectrogram 1"	1	509.2911356	509.596914	4701.754	13894.737	7278.223	0.1814	5943.164	13221.387	11304.932	"6589.160;6546.094;5103.369;5103.369;5512.500;6782.959;6438.428;6244.629;5490.967;6136.963;5297.168;6244.629;5835.498;6675.293;6589.160;6244.629;5404.834"	"6761.426;6761.426;6136.963;6072.363;8828.613;12273.926;11670.996;11627.930;10099.072;7235.156;7041.357;6890.625;6998.291;6761.426;6718.359;6782.959;6890.625"	"7062.891;7127.490;13113.721;13156.787;13027.588;13415.186;13501.318;13415.186;13221.387;12596.924;12683.057;12532.324;12553.857;10486.670;7428.955;11735.596;10702.002"	0.668	9	12596.924	310.999	"M"
"6"	6	"Spectrogram 1"	1	509.8748943	510.1250767	4912.281	13263.158	6955.225	0.1451	5620.166	12575.391	7751.953	"6589.160;5620.166;5469.434;5512.500;6610.693;6739.893;6675.293;6481.494;6416.895;6244.629;6201.562;6266.162;6287.695;6093.896"	"6739.893;6782.959;6847.559;7299.756;10895.801;11907.861;11369.531;10400.537;7988.818;8204.150;7385.889;6933.691;6955.225;7019.824"	"7019.824;7062.891;7687.354;11563.330;12575.391;12683.057;12962.988;12833.789;12812.256;12876.855;12553.857;12446.191;12489.258;12403.125"	0.091	7	12683.057	288.445	"M"
"7"	7	"Spectrogram 1"	1	510.4308551	510.7366335	4842.105	13614.035	6739.893	0.1633	5835.498	12575.391	7687.354	"6503.027;6481.494;6481.494;5146.436;5254.102;6503.027;6653.760;6653.760;6524.561;6481.494;6330.762;6115.430;6524.561;6589.160;6546.094;5943.164;5555.566"	"6804.492;6804.492;6804.492;5598.633;7299.756;7816.553;11369.531;11261.865;11197.266;9883.740;8225.684;7493.555;6761.426;6761.426;6782.959;6761.426;6912.158"	"7084.424;7019.824;7019.824;7084.424;10637.402;12532.324;12618.457;12876.855;13049.121;13070.654;12941.455;12467.725;12316.992;11627.930;11089.600;11907.861;12080.127"	0.594	8	12553.857	267.079	"M"
"8"	8	"Spectrogram 1"	1	511.098008	511.3481903	4771.93	13192.982	6610.693	0.1633	5921.631	12532.324	7644.287	"6438.428;5103.369;5254.102;5663.232;6696.826;6610.693;6438.428;6330.762;6373.828;6546.094;6589.160;6589.160;6546.094;6438.428"	"6804.492;5921.631;7278.223;7708.887;11369.531;11347.998;9410.010;8010.352;6998.291;6955.225;6782.959;6739.893;6739.893;6826.025"	"7127.490;7041.357;9668.408;12187.793;12575.391;12769.189;12575.391;12553.857;12295.459;12273.926;11907.861;11477.197;11089.600;10637.402"	0.274	4	11369.531	223.159	"M"
"9"	9	"Spectrogram 1"	1	511.5705746	511.904151	4350.877	12280.702	6761.426	0.2177	5232.568	11993.994	8311.816	"6503.027;6438.428;6352.295;6589.160;5103.369;6223.096;7192.090;5081.836;5404.834;6244.629;5340.234;5577.100;6373.828;6459.961;5641.699;6481.494;6373.828;6459.961"	"6739.893;6826.025;6782.959;6890.625;5921.631;9582.275;11692.529;10702.002;10938.867;7407.422;9862.207;7751.953;6761.426;6847.559;6804.492;6761.426;6826.025;6761.426"	"6976.758;6976.758;7170.557;7644.287;7751.953;11606.396;12058.594;11972.461;11993.994;11972.461;12058.594;11993.994;11627.930;11757.129;11950.928;7665.820;8031.885;7170.557"	0.419	10	11993.994	325.243	"M"
"10"	10	"Spectrogram 1"	1	512.543001	512.8328297	5164.557	12759.494	6696.826	0.1995	5577.1	12273.926	7299.756	"6546.094;5211.035;5297.168;5469.434;6416.895;6589.160;6158.496;6373.828;6438.428;6352.295;6158.496;6115.430;6244.629;6223.096;6481.494;6416.895"	"6826.025;6675.293;7062.891;7127.490;11089.600;11843.262;11240.332;6782.959;6804.492;6847.559;6912.158;6804.492;6847.559;6804.492;6782.959;6718.359"	"6976.758;6976.758;7816.553;8031.885;12166.260;12575.391;12273.926;12316.992;11950.928;12252.393;12403.125;12166.260;11843.262;11821.729;8290.283;7041.357"	-0.554	5	12553.857	223.159	"M"
