"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	863.7873711	864.0653514	4842.105	8210.526	839.795	0.2177	6244.629	7084.424	6761.426	"6653.760;6610.693;5167.969;5167.969;6007.764;6007.764;6524.561;6632.227;6610.693;6567.627;6610.693;6632.227;6589.160;6567.627"	"6739.893;6739.893;6718.359;6782.959;6869.092;6782.959;6739.893;6761.426;6782.959;6826.025;6804.492;6739.893;6739.893;6761.426"	"6933.691;6890.625;6976.758;7601.221;7644.287;7579.688;7105.957;6998.291;6976.758;7041.357;7019.824;6955.225;6912.158;6955.225"	0.274	5	6890.625	5.935	"M"
"2"	2	"Spectrogram 1"	1	864.5657161	864.8714945	4771.93	8210.526	1916.455	0.2358	5189.502	7105.957	6739.893	"6589.160;6589.160;6610.693;5081.836;5060.303;5383.301;6524.561;6632.227;6438.428;6503.027;6395.361;6653.760;6653.760;6524.561;6632.227;6395.361;6459.961"	"6739.893;6739.893;6782.959;6395.361;5555.566;6826.025;6782.959;6782.959;6718.359;6847.559;6804.492;6782.959;6718.359;6804.492;6696.826;6826.025;6739.893"	"6976.758;6998.291;6998.291;6933.691;7493.555;7622.754;7364.355;7019.824;7019.824;7041.357;7084.424;7062.891;6890.625;6998.291;6847.559;7019.824;6933.691"	0.074	9	6847.559	89.026	"M"
"3"	3	"Spectrogram 1"	1	865.2884651	865.5664454	4561.404	10666.667	2411.719	0.2177	5146.436	7558.154	6739.893	"6589.160;6589.160;5081.836;5103.369;5103.369;5447.900;6352.295;6072.363;6395.361;6524.561;6589.160;6567.627;6546.094;6459.961"	"6761.426;6761.426;6718.359;5620.166;6675.293;6761.426;6761.426;6804.492;6761.426;6739.893;6739.893;6739.893;6739.893;6761.426"	"6933.691;6976.758;7019.824;7321.289;7622.754;10142.139;10335.938;7924.219;7558.154;7084.424;6998.291;7041.357;7084.424;7105.957"	-0.183	6	6761.426	83.091	"M"
"4"	4	"Spectrogram 1"	1	866.0668101	866.2891944	4771.93	10736.842	2627.051	0.1995	5275.635	7902.686	6782.959	"6653.760;6524.561;5167.969;5146.436;5189.502;6287.695;6093.896;5792.432;5534.033;6481.494;6589.160;6632.227;6546.094"	"6761.426;6739.893;6782.959;6761.426;6782.959;6804.492;6826.025;6826.025;6847.559;6782.959;6739.893;6718.359;6847.559"	"6890.625;6933.691;6955.225;7364.355;8118.018;10357.471;10465.137;10185.205;10249.805;7493.555;6998.291;6998.291;7127.490"	-0.297	6	6890.625	9.496	"M"
"5"	5	"Spectrogram 1"	1	866.7895591	867.0953375	4561.404	11228.07	5038.77	0.2358	5146.436	10185.205	6761.426	"6589.160;6589.160;6459.961;5038.770;5081.836;5211.035;6309.229;6330.762;5490.967;5749.365;6481.494;6524.561;6503.027;6416.895;6438.428;6589.160"	"6739.893;6739.893;6761.426;5232.568;6718.359;6782.959;6782.959;6826.025;6869.092;6826.025;6782.959;6761.426;6782.959;6804.492;6826.025;6739.893"	"7019.824;6912.158;7041.357;6955.225;7472.021;10314.404;10981.934;11003.467;10874.268;10895.801;8785.547;7450.488;7256.689;7472.021;7321.289;7041.357"	-0.079	6	6826.025	90.213	"M"
"6"	6	"Spectrogram 1"	1	867.6235002	867.9014805	4771.93	11368.421	4909.57	0.1995	5211.035	10120.605	6804.492	"6373.828;6567.627;5103.369;5146.436;5189.502;5318.701;6352.295;5426.367;6459.961;6481.494;6503.027;6309.229;6503.027;6653.760;6653.760;6610.693"	"6782.959;6782.959;6696.826;6739.893;6869.092;7278.223;7019.824;6804.492;6739.893;6782.959;6804.492;6826.025;6782.959;6761.426;6804.492;6804.492"	"7084.424;7041.357;6955.225;7407.422;7450.488;10895.801;11046.533;10809.668;10335.938;7730.420;7708.887;8118.018;7472.021;6998.291;6976.758;7019.824"	0.237	7	6890.625	10.683	"M"
"7"	7	"Spectrogram 1"	1	868.4574413	868.7076236	4631.579	11298.246	2842.383	0.2358	5167.969	8010.352	6739.893	"6589.160;5081.836;5103.369;5124.902;5275.635;5749.365;6546.094;6503.027;6373.828;6223.096;6395.361;6567.627;6610.693;6567.627"	"6718.359;6696.826;6223.096;6761.426;7342.822;6761.426;6739.893;6739.893;6761.426;6761.426;6761.426;6739.893;6739.893;6761.426"	"6955.225;6955.225;7385.889;9646.875;10981.934;11003.467;7730.420;7687.354;9776.074;9065.479;7428.955;6998.291;6976.758;6976.758"	0.183	4	6869.092	8.309	"M"
"8"	8	"Spectrogram 1"	1	869.2357863	869.5415647	4561.404	11789.474	6072.363	0.2358	5124.902	11197.266	6761.426	"6675.293;6675.293;6546.094;5081.836;5103.369;5426.367;6007.764;5749.365;5426.367;5964.697;6567.627;6589.160;6459.961;6438.428;6459.961;6610.693"	"6718.359;6718.359;6761.426;5275.635;5577.100;7342.822;7579.688;7601.221;7407.422;6933.691;6826.025;6782.959;6782.959;6761.426;6804.492;6782.959"	"6912.158;6976.758;7084.424;6976.758;7988.818;11347.998;11584.863;11584.863;11584.863;11541.797;10745.068;9862.207;10077.539;8462.549;7902.686;7256.689"	0.158	7	11563.33	265.892	"M"
"9"	9	"Spectrogram 1"	1	870.2087176	870.486698	4701.754	11508.772	5921.631	0.1995	5211.035	11132.666	6782.959	"6524.561;5060.303;5124.902;5189.502;6352.295;6524.561;6330.762;6330.762;6395.361;6503.027;6589.160;6589.160;6438.428;6416.895"	"6739.893;6352.295;6761.426;6912.158;7019.824;6782.959;6804.492;6782.959;6826.025;6761.426;6782.959;6782.959;6718.359;6739.893"	"7019.824;7041.357;7622.754;11261.865;11391.064;11391.064;10981.934;11197.266;10702.002;7924.219;7019.824;6976.758;7105.957;7321.289"	0.639	7	6869.092	91.4	"M"
"10"	10	"Spectrogram 1"	1	871.0426587	871.3484371	4491.228	11649.123	5986.23	0.2358	5146.436	11132.666	6782.959	"6459.961;4995.703;5103.369;5146.436;5469.434;5663.232;5404.834;5383.301;5426.367;6546.094;6524.561;6438.428;6373.828;6632.227;6459.961;6589.160;6546.094"	"6804.492;6438.428;5857.031;6739.893;7515.088;7493.555;7041.357;6976.758;6933.691;6782.959;6804.492;6933.691;6869.092;6826.025;6739.893;6782.959;6739.893"	"6976.758;6998.291;7342.822;10465.137;11434.131;11498.730;11412.598;11434.131;11477.197;10917.334;7601.221;10938.867;9280.811;7385.889;7019.824;6955.225;7105.957"	-0.148	7	6955.225	8.309	"M"
