"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	766.7656935	767.0714719	4701.754	11578.947	5404.834	0.127	5857.031	11261.865	7127.49	"5964.697;5254.102;5189.502;5318.701;6395.361;6416.895;6287.695;6309.229;6223.096;6223.096;6244.629;6287.695;6287.695;6201.562;6158.496;6115.430"	"6869.092;6826.025;6244.629;6782.959;7299.756;8182.617;7687.354;7472.021;7278.223;7149.023;7019.824;6847.559;6869.092;6869.092;6912.158;6847.559"	"10056.006;10034.473;6976.758;9948.340;11089.600;11391.064;11369.531;11326.465;11326.465;11326.465;11132.666;11261.865;11025.000;10960.400;11068.066;10874.268"	0.079	5	11412.598	214.85	"M"
"2"	2	"Spectrogram 1"	1	767.4884425	767.8220189	5543.86	11929.825	5297.168	0.1088	6395.361	11692.529	7450.488	"6330.762;6072.363;6330.762;6373.828;6503.027;6718.359;6718.359;6589.160;6589.160;6632.227;6503.027;6481.494;6438.428;6524.561;6546.094;6395.361;6524.561;6330.762;6373.828"	"6804.492;6653.760;6589.160;7084.424;7536.621;10099.072;9539.209;8182.617;8053.418;7902.686;7730.420;7364.355;7428.955;7385.889;7256.689;7235.156;7213.623;7213.623;6804.492"	"10723.535;10551.270;7213.623;10206.738;11714.062;11735.596;11714.062;11692.529;11714.062;11735.596;11735.596;11563.330;11627.930;11304.932;11627.930;11304.932;11434.131;11391.064;11240.332"	-0.198	11	11735.596	255.209	"M"
"3"	3	"Spectrogram 1"	1	768.2389895	768.5725659	5473.684	11789.474	5211.035	0.127	6352.295	11563.33	7515.088	"5706.299;6223.096;6330.762;6352.295;6395.361;6546.094;6567.627;6546.094;6459.961;6438.428;6416.895;6416.895;6352.295;6309.229;6330.762;6395.361;6352.295"	"6589.160;6632.227;7170.557;7558.154;8161.084;8182.617;8290.283;8031.885;7795.020;7687.354;7687.354;7730.420;7385.889;7321.289;7407.422;7170.557;7235.156"	"9560.742;7235.156;9733.008;11412.598;11584.863;11670.996;11692.529;11627.930;11649.463;11670.996;11627.930;11477.197;11240.332;11369.531;11347.998;11175.732;11304.932"	-1.187	10	11692.529	269.453	"M"
"4"	4	"Spectrogram 1"	1	769.1007286	769.434305	5824.561	11859.649	5211.035	0.127	6373.828	11584.863	7428.955	"6050.830;6266.162;6330.762;6416.895;6589.160;6524.561;6675.293;6761.426;6503.027;6546.094;6503.027;6416.895;6330.762;6352.295;6309.229;6459.961;6416.895;6438.428;6373.828"	"6826.025;6632.227;7041.357;7385.889;7945.752;8247.217;8247.217;8161.084;7859.619;7730.420;7708.887;7773.486;7687.354;7536.621;7342.822;7407.422;7019.824;7019.824;7041.357"	"9689.941;6869.092;7967.285;10981.934;11606.396;11714.062;11714.062;11670.996;11735.596;11714.062;11649.463;11714.062;11692.529;11240.332;10831.201;11283.398;10788.135;10852.734;11218.799"	0	10	11692.529	200.606	"M"
"5"	5	"Spectrogram 1"	1	769.9346697	770.3238422	5684.211	12000	5254.102	0.127	6330.762	11584.863	7601.221	"6395.361;6223.096;6266.162;6352.295;6653.760;6589.160;6632.227;6653.760;6632.227;6481.494;6459.961;6503.027;6503.027;6416.895;6416.895;6416.895;6481.494;6330.762;6481.494;6373.828;6266.162;6352.295"	"6847.559;6438.428;6847.559;7428.955;7945.752;7967.285;8074.951;8074.951;7945.752;7838.086;7838.086;7881.152;7945.752;7773.486;7644.287;7622.754;7708.887;7493.555;6912.158;7601.221;7213.623;6976.758"	"9754.541;6761.426;7730.420;10895.801;11606.396;11843.262;11843.262;11692.529;11692.529;11584.863;11714.062;11584.863;11584.863;11391.064;11498.730;11498.730;11584.863;11240.332;10702.002;11046.533;11154.199;10874.268"	0.17	12	11584.863	185.175	"M"
"6"	6	"Spectrogram 1"	1	771.0743892	771.4357637	5894.737	12070.175	5060.303	0.127	6416.895	11477.197	7579.688	"6503.027;6266.162;6309.229;6459.961;6653.760;6546.094;6653.760;6675.293;6632.227;6610.693;6524.561;6395.361;6567.627;6589.160;6373.828;6395.361;6459.961;6503.027;6481.494;6503.027"	"6826.025;6589.160;6955.225;7428.955;7988.818;8031.885;8053.418;7945.752;7859.619;7687.354;7644.287;7924.219;7773.486;7730.420;7902.686;7407.422;7687.354;7472.021;7105.957;7105.957"	"9797.607;6782.959;7730.420;10938.867;11584.863;11864.795;11864.795;11649.463;11670.996;11735.596;11692.529;11843.262;11907.861;11412.598;11391.064;11455.664;11498.730;11218.799;10702.002;10357.471"	-0.125	10	11907.861	210.102	"M"
"7"	7	"Spectrogram 1"	1	771.8527343	772.2697048	5754.386	12140.351	5081.836	0.127	6503.027	11584.863	7708.887	"6330.762;6244.629;6244.629;6330.762;6503.027;6739.893;6782.959;6804.492;6696.826;6675.293;6610.693;6567.627;6653.760;6610.693;6524.561;6459.961;6438.428;6481.494;6524.561;6524.561;6546.094;6352.295;6567.627"	"6869.092;6847.559;6632.227;7105.957;7515.088;7967.285;8225.684;8333.350;8225.684;8204.150;8182.617;8096.484;8031.885;7967.285;7988.818;7708.887;7558.154;7644.287;7579.688;7493.555;7472.021;7472.021;7407.422"	"9926.807;9797.607;6826.025;7708.887;10766.602;11563.330;11821.729;11714.062;11692.529;11800.195;11627.930;11584.863;11649.463;11627.930;11434.131;11563.330;11584.863;11584.863;11326.465;11541.797;11584.863;11412.598;11154.199"	1.295	11	11692.529	249.274	"M"
"8"	8	"Spectrogram 1"	1	772.6588773	773.0202518	5543.86	12210.526	5060.303	0.1814	6546.094	11606.396	7902.686	"6136.963;6244.629;6309.229;6416.895;6782.959;6761.426;6826.025;6869.092;6804.492;6696.826;6610.693;6503.027;6653.760;6589.160;6567.627;6503.027;6524.561;6696.826;6546.094;6459.961"	"6782.959;6567.627;7127.490;7256.689;8139.551;8785.547;8957.812;8397.949;8570.215;8031.885;7536.621;7213.623;7472.021;7730.420;7428.955;7665.820;7321.289;7838.086;7902.686;7428.955"	"9905.273;6782.959;7687.354;7708.887;10981.934;11735.596;11714.062;11541.797;11735.596;11800.195;11261.865;11434.131;11800.195;11821.729;11929.395;11929.395;11627.930;11886.328;11929.395;11821.729"	2.062	9	11800.195	255.209	"M"
"9"	9	"Spectrogram 1"	1	773.5206165	773.909789	4561.404	12280.702	5124.902	0.1814	6782.959	11907.861	7988.818	"4974.170;6632.227;6739.893;6890.625;6912.158;6912.158;6804.492;6782.959;6653.760;6567.627;6610.693;6696.826;6546.094;6567.627;6546.094;6653.760;6395.361;6589.160;6524.561;6524.561;6373.828"	"6804.492;6912.158;7665.820;7967.285;8247.217;8204.150;7945.752;8182.617;8161.084;7945.752;8031.885;8053.418;7838.086;7687.354;7579.688;7472.021;7558.154;7407.422;7450.488;7385.889;7235.156"	"10529.736;7665.820;9862.207;11175.732;11670.996;11993.994;11993.994;11972.461;11950.928;11950.928;11886.328;11907.861;11972.461;11735.596;11950.928;11929.395;11950.928;11627.930;11541.797;11714.062;11800.195"	1.009	11	8247.217	54.603	"M"
"10"	10	"Spectrogram 1"	1	774.3823556	774.7437301	4771.93	12350.877	5232.568	0.1995	6416.895	11649.463	7579.688	"6459.961;6610.693;6567.627;6610.693;6675.293;6675.293;6610.693;6007.764;6223.096;6287.695;6481.494;6546.094;6546.094;6632.227;6567.627;6567.627;6546.094;6524.561;6395.361;6481.494"	"8074.951;7062.891;7213.623;7385.889;7665.820;7687.354;7708.887;7687.354;6675.293;7062.891;7644.287;8247.217;8225.684;7988.818;7988.818;8053.418;7838.086;7795.020;7924.219;7730.420"	"8785.547;8677.881;9819.141;11283.398;11929.395;12037.061;12080.127;12080.127;10874.268;10529.736;11455.664;11735.596;11864.795;11757.129;11670.996;11627.930;11649.463;11520.264;11606.396;11606.396"	-3.499	8	8677.881	56.977	"M"
