"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	778.2982583	778.5762387	8421.053	10807.018	1765.723	0.127	8914.746	10680.469	10292.871	"8527.148;8462.549;8462.549;8634.814;9000.879;9087.012;9173.145;9000.879;8699.414;8656.348;8699.414;8677.881;8527.148;8484.082;8484.082"	"9625.342;9388.477;9280.811;9474.609;10185.205;10443.604;10443.604;10422.070;10206.738;10120.605;9991.406;10206.738;10271.338;9819.141;9668.408"	"10615.869;10615.869;10658.936;10508.203;10680.469;10680.469;10680.469;10615.869;10637.402;10658.936;10658.936;10637.402;10658.936;10680.469;10680.469"	3.815	4	10658.936	67.66	"M"
"2"	2	"Spectrogram 1"	1	779.0488053	779.2711896	7578.947	11087.719	2820.85	0.1088	8096.484	10917.334	10379.004	"7622.754;7708.887;8225.684;8484.082;8311.816;7838.086;7945.752;7751.953;7601.221;8096.484;7773.486;7795.020"	"8570.215;9173.145;10465.137;10551.270;10443.604;10357.471;10443.604;10292.871;9625.342;10357.471;9754.541;9496.143"	"10680.469;10702.002;10874.268;10917.334;10938.867;10938.867;10938.867;10917.334;10895.801;10938.867;10938.867;10852.734"	10.899	3	10917.334	109.206	"M"
"3"	3	"Spectrogram 1"	1	779.6881601	779.9939385	6877.193	11368.421	4263.574	0.2902	6890.625	11154.199	7019.824	"6890.625;6890.625;6890.625;6912.158;6912.158;6890.625;6890.625;6933.691;6912.158;6890.625;6890.625;6912.158;6890.625;6890.625;6890.625;6890.625"	"6955.225;6955.225;7536.621;9410.010;10529.736;9668.408;7019.824;6998.291;6998.291;6998.291;6998.291;6998.291;7019.824;6955.225;6933.691;6976.758"	"7149.023;8527.148;11046.533;11218.799;11218.799;11197.266;11197.266;10809.668;10422.070;10637.402;10723.535;11003.467;11089.600;10637.402;8677.881;7299.756"	0.396	6	11154.199	232.655	"M"
"4"	4	"Spectrogram 1"	1	780.383111	780.6888895	6947.368	11438.596	4306.641	0.1995	6955.225	11261.865	8807.08	"6955.225;6955.225;6955.225;6955.225;6998.291;7019.824;7105.957;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225;6955.225"	"6998.291;6976.758;6976.758;7256.689;8807.080;10228.271;10702.002;9216.211;7213.623;7428.955;7601.221;7213.623;7321.289;7708.887;7687.354;7062.891;6998.291"	"7579.688;7407.422;7342.822;9733.008;11068.066;11283.398;11283.398;11283.398;11261.865;11218.799;11240.332;11218.799;11240.332;11218.799;11218.799;10938.867;8484.082"	0.074	7	11261.865	233.843	"M"
"5"	5	"Spectrogram 1"	1	781.078062	781.3560423	6736.842	11719.298	4500.439	0.2177	6739.893	11240.332	6847.559	"6739.893;6739.893;6739.893;6739.893;6739.893;6739.893;6761.426;6761.426;6739.893;6761.426;6739.893;6739.893;6739.893;6782.959;6782.959;6782.959"	"6826.025;6804.492;6847.559;6847.559;6847.559;6847.559;6869.092;6976.758;6847.559;6847.559;6826.025;6869.092;6847.559;6847.559;6847.559;6847.559"	"8570.215;8591.748;8634.814;10852.734;11412.598;11391.064;11283.398;11347.998;11391.064;10917.334;10723.535;10249.805;7558.154;9302.344;7235.156;7536.621"	0.396	8	6998.291	8.309	"M"
"6"	6	"Spectrogram 1"	1	781.7730129	782.0509933	6877.193	11649.123	4586.572	0.2358	6890.625	11477.197	8828.613	"6890.625;6890.625;6890.625;6912.158;6998.291;7062.891;7062.891;6912.158;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625"	"6976.758;6976.758;7127.490;8419.482;10012.939;11025.000;11025.000;10228.271;7019.824;6955.225;6955.225;7041.357;7041.357;6912.158"	"7149.023;7170.557;9280.811;11218.799;11477.197;11498.730;11498.730;11498.730;11477.197;11283.398;11240.332;11455.664;11455.664;11218.799"	-0.365	5	11477.197	250.461	"M"
"7"	7	"Spectrogram 1"	1	782.579156	782.8849344	6807.018	11789.474	4737.305	0.2177	6826.025	11563.33	6998.291	"6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6826.025;6847.559;6826.025"	"6933.691;6933.691;6998.291;7170.557;8893.213;8570.215;7084.424;8699.414;7213.623;6955.225;6890.625;6933.691;6933.691;6976.758;6847.559;7019.824;6869.092"	"8031.885;7062.891;9625.342;10981.934;11627.930;11627.930;11498.730;11606.396;11606.396;11326.465;10551.270;10594.336;11477.197;11584.863;7235.156;11240.332;7622.754"	-0.074	10	6998.291	9.496	"M"
"8"	8	"Spectrogram 1"	1	783.2185108	783.5798853	6456.14	12070.175	4758.838	0.2902	6567.627	11326.465	6826.025	"6481.494;6610.693;6567.627;6589.160;6589.160;6546.094;6546.094;6567.627;6589.160;6567.627;6610.693;6610.693;6524.561;6524.561;6524.561;6546.094;6610.693;6524.561;6503.027"	"6739.893;6804.492;6804.492;7105.957;7515.088;7493.555;6847.559;6826.025;6847.559;6826.025;6804.492;6782.959;6826.025;6782.959;6761.426;6782.959;6804.492;6782.959;6696.826"	"6998.291;6998.291;7278.223;10702.002;11670.996;11714.062;11627.930;11520.264;10852.734;11197.266;11692.529;11218.799;9840.674;7062.891;6976.758;7041.357;7062.891;7062.891;7149.023"	-0.528	6	6826.025	13.057	"M"
"9"	9	"Spectrogram 1"	1	783.8856637	784.1914421	5894.737	12070.175	4909.57	0.2902	6459.961	11369.531	6761.426	"6352.295;6373.828;6481.494;6589.160;6696.826;6696.826;6459.961;6524.561;6438.428;6352.295;6438.428;6481.494;6546.094;6503.027;6352.295;6287.695;6309.229"	"6675.293;6675.293;6782.959;7192.090;9668.408;9862.207;6976.758;6718.359;6675.293;6632.227;6761.426;6761.426;6847.559;6718.359;6675.293;6632.227;6675.293"	"6955.225;6912.158;9043.945;11240.332;11843.262;11843.262;11821.729;11304.932;9237.744;10314.404;11412.598;10938.867;10379.004;7062.891;6976.758;6976.758;6955.225"	-0.297	5	6847.559	8.309	"M"
"10"	10	"Spectrogram 1"	1	784.5250185	784.886393	5894.737	12140.351	5275.635	0.2902	6481.494	11757.129	6847.559	"6610.693;6524.561;6567.627;6567.627;6653.760;6653.760;6567.627;6610.693;6459.961;6330.762;6330.762;6459.961;6373.828;6373.828;6459.961;6373.828;6309.229;6395.361;6481.494;6503.027"	"6826.025;6782.959;6826.025;7041.357;9259.277;9905.273;9517.676;7450.488;6826.025;6804.492;6804.492;6696.826;6804.492;6761.426;6782.959;6632.227;6610.693;6632.227;6610.693;6804.492"	"6998.291;7019.824;7321.289;10745.068;11929.395;11929.395;11864.795;11864.795;11477.197;10012.939;8914.746;10594.336;11434.131;10228.271;9646.875;6847.559;6847.559;7041.357;7019.824;7192.090"	-0.125	9	11907.861	278.949	"M"
"11"	11	"Spectrogram 1"	1	785.2199695	785.609142	5614.035	12210.526	5297.168	0.2721	6503.027	11800.195	6890.625	"6459.961;6287.695;6395.361;6546.094;6589.160;6567.627;6567.627;6653.760;6632.227;6632.227;6524.561;6524.561;6546.094;6546.094;6416.895;6373.828;6309.229;6309.229;6524.561;6481.494"	"6782.959;6826.025;6869.092;8677.881;9776.074;9323.877;7278.223;6976.758;6847.559;7019.824;6933.691;6869.092;6826.025;6847.559;6826.025;6696.826;6653.760;6675.293;6826.025;6826.025"	"6998.291;7515.088;10766.602;11907.861;11972.461;11972.461;11972.461;11950.928;11735.596;11670.996;11649.463;11584.863;10831.201;9410.010;7084.424;6955.225;6998.291;7407.422;7342.822;7149.023"	0.25	6	11735.596	269.453	"M"
"12"	12	"Spectrogram 1"	1	785.9705165	786.3318909	5754.386	12210.526	5124.902	0.2902	6524.561	11649.463	6912.158	"6481.494;6481.494;6546.094;6610.693;6632.227;6524.561;6524.561;6546.094;6632.227;6610.693;6589.160;6330.762;6330.762;6330.762;6524.561;6546.094;6546.094;6610.693;6395.361;6330.762"	"6739.893;6782.959;7127.490;7493.555;9087.012;7472.021;6847.559;6804.492;6847.559;6912.158;6912.158;6718.359;6653.760;6675.293;6696.826;6826.025;6739.893;6782.959;6847.559;6632.227"	"7041.357;7278.223;9323.877;11412.598;11972.461;11950.928;11843.262;11929.395;11929.395;11541.797;11434.131;10142.139;7342.822;7041.357;7644.287;9087.012;7924.219;7536.621;7127.490;6912.158"	-0.25	8	7536.621	51.042	"M"
"13"	13	"Spectrogram 1"	1	786.6932654	787.0546399	5824.561	12140.351	5189.502	0.2721	6438.428	11627.93	6976.758	"6352.295;6352.295;6416.895;6653.760;6696.826;6696.826;6632.227;6503.027;6373.828;6309.229;6395.361;6589.160;6610.693;6610.693;6352.295;6287.695;6287.695;6524.561;6546.094"	"6675.293;6696.826;7256.689;7515.088;7558.154;7795.020;7536.621;6847.559;6782.959;6718.359;6869.092;6847.559;6847.559;6826.025;6804.492;6782.959;6675.293;6675.293;6826.025"	"6933.691;7493.555;10357.471;11369.531;11821.729;11843.262;11843.262;11606.396;10788.135;11197.266;11046.533;10529.736;10206.738;9496.143;7407.422;7019.824;7041.357;7127.490;7127.490"	0.462	10	11821.729	267.079	"M"
"14"	14	"Spectrogram 1"	1	787.4160144	787.7495908	5824.561	12140.351	5167.969	0.2721	6416.895	11584.863	6933.691	"6287.695;6309.229;6330.762;6567.627;6589.160;6632.227;6632.227;6438.428;6287.695;6416.895;6459.961;6459.961;6481.494;6503.027;6438.428;6395.361;6352.295;6309.229"	"6653.760;6632.227;7019.824;7278.223;7558.154;9582.275;9366.943;7407.422;6675.293;6739.893;6782.959;6826.025;6869.092;6826.025;6804.492;6739.893;6632.227;6632.227"	"6976.758;6955.225;8677.881;10766.602;11606.396;11843.262;11907.861;11886.328;11670.996;11283.398;10508.203;10637.402;11089.600;11025.000;8979.346;7558.154;7041.357;6826.025"	0.14	5	11864.795	174.492	"M"
"15"	15	"Spectrogram 1"	1	788.1665614	788.5001378	5894.737	12210.526	5318.701	0.254	6503.027	11821.729	7084.424	"6309.229;6373.828;6395.361;6546.094;6567.627;6632.227;6675.293;6589.160;6567.627;6567.627;6567.627;6395.361;6352.295;6373.828;6438.428;6524.561;6546.094;6546.094;6287.695"	"6675.293;6847.559;7041.357;7321.289;7385.889;9130.078;7558.154;8828.613;6976.758;6869.092;6804.492;6696.826;6653.760;6696.826;6675.293;6890.625;6782.959;6782.959;6653.760"	"6869.092;7515.088;7536.621;10163.672;11950.928;11993.994;11950.928;11972.461;11261.865;11412.598;9883.740;9130.078;8462.549;9280.811;10163.672;11347.998;7601.221;6976.758;6998.291"	-0.33	5	11972.461	295.567	"M"
"16"	16	"Spectrogram 1"	1	788.8615123	789.2506848	5473.684	12280.702	5232.568	0.2721	6524.561	11757.129	7342.822	"6416.895;6416.895;6330.762;6416.895;6826.025;6847.559;6782.959;6761.426;6696.826;6546.094;6503.027;6524.561;6524.561;6503.027;6438.428;6309.229;6330.762;6459.961;6546.094;6567.627;6546.094;6373.828"	"6739.893;6804.492;6610.693;7256.689;7515.088;9237.744;10056.006;9668.408;9603.809;6976.758;6718.359;6696.826;6782.959;6869.092;6847.559;6675.293;6632.227;6675.293;6782.959;6847.559;6826.025;6718.359"	"7041.357;7105.957;7407.422;9108.545;11132.666;11950.928;12058.594;12037.061;12037.061;11692.529;11003.467;9991.406;10809.668;11434.131;11326.465;9108.545;7256.689;7084.424;7299.756;7299.756;7105.957;7127.490"	0.17	9	12058.594	275.388	"M"
