"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	1791.532458546	1791.974706233	4706.579	11798.684	5447.9	0.1633	6115.43	11563.33	9453.076	"5060.303;4974.170;5189.502;5490.967;6395.361;6675.293;6546.094;6352.295;6244.629;5921.631;5857.031;5943.164;5943.164;5813.965;5684.766;5727.832;5684.766;5641.699;5663.232;5641.699;5684.766;5813.965;5469.434"	"7084.424;5340.234;6567.627;7385.889;9733.008;10249.805;10056.006;9453.076;8850.146;8807.080;8118.018;8074.951;8204.150;8182.617;8031.885;7967.285;7924.219;7967.285;7902.686;7730.420;7493.555;7536.621;7665.820"	"10981.934;10809.668;10400.537;10465.137;11240.332;11563.330;11584.863;11584.863;11520.264;11563.330;11563.330;11347.998;11434.131;11455.664;11498.730;11498.730;11412.598;11369.531;11434.131;11240.332;11046.533;11304.932;11132.666"	5.18	9	11627.93	170.931	"M"
"2"	2	"Spectrogram 1"	1	1792.151605309	1792.564369817	4642.105	11798.684	5878.564	0.1451	5663.232	11541.797	8699.414	"4909.570;4931.104;5146.436;5383.301;5684.766;5921.631;6050.830;6244.629;6007.764;5943.164;5792.432;5727.832;5749.365;6029.297;5792.432;5684.766;5792.432;5684.766;5340.234;5490.967;5383.301;5469.434;5361.768"	"7428.955;5297.168;6718.359;7988.818;9410.010;9711.475;9453.076;8850.146;8311.816;8290.283;8096.484;8031.885;7902.686;8096.484;8074.951;7730.420;7751.953;7945.752;7235.156;7622.754;7558.154;7558.154;7644.287"	"11089.600;10938.867;10508.203;10917.334;11391.064;11541.797;11563.330;11563.330;11541.797;11584.863;11563.330;11498.730;11261.865;11261.865;11563.330;11347.998;11347.998;11369.531;11154.199;11304.932;10831.201;11304.932;11046.533"	0.647	11	11584.863	259.957	"M"
"3"	3	"Spectrogram 1"	1	1792.770752072	1793.154033401	4513.158	11734.211	5770.898	0.1451	5663.232	11434.131	9302.344	"4737.305;4629.639;4995.703;5211.035;5706.299;6287.695;6115.430;5792.432;5706.299;5620.166;5598.633;5555.566;5663.232;5706.299;5577.100;5490.967;5447.900;5404.834;5534.033;5490.967"	"7299.756;6933.691;5813.965;7278.223;9345.410;9969.873;9711.475;9517.676;9582.275;8828.613;8720.947;8591.748;8290.283;8074.951;7924.219;7687.354;7795.020;7795.020;7751.953;7773.486"	"11197.266;10594.336;11025.000;10615.869;11132.666;11434.131;11455.664;11434.131;11455.664;11477.197;11455.664;11455.664;11391.064;11154.199;11132.666;11025.000;11089.600;11197.266;11154.199;11089.600"	-0.125	7	11477.197	195.858	"M"
"4"	4	"Spectrogram 1"	1	1793.419382014	1793.861629702	4642.105	11734.211	5749.365	0.1633	5577.1	11326.465	8936.279	"5017.236;4931.104;4844.971;5081.836;5447.900;5921.631;6029.297;5900.098;5835.498;5792.432;5598.633;5512.500;5512.500;5534.033;5620.166;5598.633;5598.633;5426.367;5512.500;5512.500;5469.434;5490.967;5361.768"	"7256.689;7105.957;5318.701;6675.293;9022.412;9819.141;9776.074;8893.213;8570.215;8096.484;8139.551;8161.084;7924.219;7902.686;7988.818;7924.219;7795.020;7773.486;7730.420;7342.822;7515.088;7708.887;7751.953"	"11046.533;10981.934;10874.268;10594.336;10960.400;11326.465;11434.131;11412.598;11391.064;11218.799;11326.465;11412.598;11261.865;11347.998;11455.664;11304.932;11132.666;11197.266;11111.133;11111.133;11111.133;11154.199;11197.266"	-0.162	10	11477.197	278.949	"M"
"5"	5	"Spectrogram 1"	1	1794.068011956	1794.480776465	4384.211	11734.211	5857.031	0.1633	5534.033	11391.064	9022.412	"4715.771;4715.771;4780.371;5081.836;5361.768;5620.166;5878.564;5792.432;5857.031;5857.031;6072.363;5857.031;5749.365;5706.299;5663.232;5641.699;5555.566;5577.100;5297.168;5318.701;5469.434;5469.434;5232.568"	"7084.424;7428.955;5232.568;6653.760;8247.217;9668.408;9862.207;9474.609;8914.746;8290.283;8484.082;8484.082;8204.150;7988.818;7881.152;7967.285;7751.953;7622.754;7536.621;7665.820;7967.285;7450.488;7342.822"	"11068.066;11283.398;10809.668;10443.604;10831.201;11391.064;11412.598;11391.064;11304.932;11391.064;11412.598;11412.598;11369.531;11240.332;11369.531;11261.865;11132.666;11132.666;11154.199;11240.332;11347.998;10874.268;10831.201"	0.647	13	11455.664	249.274	"M"
"6"	6	"Spectrogram 1"	1	1794.775608256	1795.158889586	4319.737	11669.737	5986.23	0.1633	5383.301	11369.531	8656.348	"4457.373;4801.904;5017.236;5404.834;5598.633;5835.498;5684.766;5555.566;5490.967;5404.834;5426.367;5447.900;5447.900;5447.900;5361.768;5361.768;5340.234;5211.035;5254.102;5167.969"	"6847.559;5297.168;6761.426;8225.684;9582.275;9776.074;9259.277;8677.881;8397.949;8376.416;8031.885;8139.551;8290.283;7881.152;7838.086;7773.486;7838.086;7730.420;7730.420;7579.688"	"10917.334;10831.201;10551.270;11089.600;11240.332;11412.598;11434.131;11391.064;11391.064;11391.064;11412.598;11412.598;11369.531;11369.531;11261.865;11175.732;11261.865;11240.332;11347.998;11175.732"	9.246	6	11434.131	254.022	"M"
"7"	7	"Spectrogram 1"	1	1795.601137274	1795.954935424	4513.158	11927.632	5706.299	0.1633	5878.564	11584.863	9711.475	"4586.572;4823.438;5124.902;6072.363;6309.229;6395.361;6395.361;6201.562;6180.029;6180.029;5813.965;5857.031;6072.363;5857.031;5383.301;5211.035;5189.502;5167.969;5146.436"	"6718.359;5490.967;7450.488;10379.004;10357.471;9797.607;9087.012;8742.480;8699.414;8441.016;8376.416;8441.016;8613.281;8505.615;8182.617;8139.551;7967.285;7665.820;7450.488"	"11154.199;10723.535;10788.135;11498.730;11520.264;11584.863;11627.930;11670.996;11649.463;11541.797;11498.730;11498.730;11649.463;11649.463;11347.998;11498.730;11649.463;11563.330;11347.998"	7.056	6	11520.264	289.632	"M"
"8"	8	"Spectrogram 1"	1	1796.279250395	1796.692014904	4642.105	11734.211	6093.896	0.1814	5404.834	11498.73	8096.484	"4844.971;4737.305;4952.637;5038.770;5124.902;5275.635;5318.701;6029.297;5813.965;6136.963;6115.430;6093.896;5447.900;5964.697;5878.564;5361.768;5297.168;5447.900;5469.434;5318.701;5146.436;5275.635;5081.836"	"7084.424;7342.822;5297.168;6481.494;7062.891;7515.088;8139.551;9431.543;9560.742;8204.150;8397.949;8096.484;7859.619;7967.285;7536.621;7924.219;7881.152;7881.152;7536.621;7644.287;7579.688;7536.621;7665.820"	"11046.533;11218.799;9862.207;7579.688;10594.336;10745.068;11541.797;11498.730;11498.730;11520.264;11477.197;11498.730;11455.664;11455.664;11498.730;11132.666;11283.398;11326.465;10486.670;11283.398;11391.064;11283.398;11175.732"	0.378	8	11520.264	182.801	"M"
"9"	9	"Spectrogram 1"	1	1796.957363517	1797.311161667	4513.158	11669.737	6050.83	0.1633	5361.768	11412.598	8096.484	"4737.305;4651.172;4974.170;5124.902;5383.301;5426.367;5512.500;5490.967;5426.367;5512.500;5598.633;5490.967;5426.367;5318.701;5318.701;5297.168;5189.502;5340.234"	"7235.156;5189.502;5620.166;6976.758;7924.219;8397.949;8957.812;8484.082;8182.617;8118.018;8118.018;7967.285;7881.152;7859.619;7795.020;7816.553;7730.420;7644.287"	"11154.199;10379.004;10185.205;10465.137;11261.865;11434.131;11477.197;11412.598;11347.998;11412.598;11434.131;11455.664;11455.664;11369.531;11304.932;11175.732;11154.199;11412.598"	1.885	6	11520.264	144.816	"M"
"10"	10	"Spectrogram 1"	1	1797.57651028	1797.989274788	4706.579	11734.211	5878.564	0.1633	5598.633	11477.197	8139.551	"4931.104;5081.836;5167.969;5577.100;5577.100;5727.832;5813.965;5749.365;5878.564;6136.963;5813.965;5684.766;5512.500;5426.367;5490.967;5663.232;5469.434;5469.434;5534.033;5447.900;5447.900;5426.367"	"7321.289;5447.900;6739.893;7644.287;8548.682;8268.750;8354.883;8290.283;8505.615;8720.947;8161.084;7988.818;8031.885;7795.020;7558.154;7838.086;7622.754;7472.021;7493.555;7622.754;7730.420;7708.887"	"11003.467;10658.936;9625.342;10809.668;11132.666;11498.730;11520.264;11520.264;11520.264;11498.730;11455.664;11111.133;11261.865;11261.865;11175.732;11261.865;11089.600;10895.801;11154.199;11197.266;11154.199;11347.998"	3.618	9	11498.73	216.037	"M"
