"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	1223.116462163	1223.765092105	4964.474	13088.158	5986.23	0.254	6610.693	12596.924	8419.482	"5620.166;10938.867;11304.932;11649.463;11864.795;11197.266;10335.938;9345.410;8720.947;8397.949;7902.686;7256.689;6976.758;6847.559;6739.893;6653.760;6395.361;6373.828;6266.162;6223.096;6201.562;6244.629;6266.162;6158.496;6180.029;6158.496;6115.430;6136.963;6201.562;6158.496;6201.562;6136.963;6050.830;6136.963;6180.029;6136.963"	"9345.410;11606.396;12510.791;12618.457;12661.523;12037.061;11434.131;10572.803;10077.539;9173.145;8462.549;8290.283;7751.953;7213.623;6976.758;6976.758;6955.225;6869.092;6782.959;7041.357;6912.158;6826.025;6955.225;6912.158;7084.424;6761.426;6912.158;6976.758;6782.959;6912.158;7041.357;6869.092;6826.025;7213.623;6869.092;6890.625"	"12295.459;12424.658;12855.322;12919.922;12941.455;12919.922;12876.855;12596.924;12058.594;11757.129;11068.066;10551.270;10379.004;9776.074;9797.607;9797.607;12661.523;12769.189;12833.789;12553.857;12360.059;12166.260;12381.592;12575.391;12381.592;12273.926;12037.061;11498.730;10702.002;11498.730;10960.400;10379.004;10895.801;12037.061;10508.203;10960.400"	-7.36	17	12919.922	71.221	"F"
"2"	2	"Spectrogram 1"	1	1226.212195978	1226.890309099	5286.842	13346.053	6244.629	0.2358	6890.625	13135.254	9280.811	"5663.232;5749.365;10917.334;11261.865;11950.928;12424.658;11347.998;10551.270;10206.738;9259.277;8677.881;7924.219;7450.488;7407.422;6998.291;6869.092;6739.893;6589.160;6503.027;6395.361;6416.895;6373.828;6481.494;6330.762;6373.828;6287.695;6524.561;6395.361;6395.361;6416.895;6244.629;6567.627;6309.229;6459.961;6309.229;6244.629;6330.762;6115.430"	"8268.750;10572.803;11649.463;12510.791;13156.787;13156.787;12360.059;11455.664;10917.334;10335.938;9689.941;9237.744;8397.949;8118.018;7472.021;7235.156;7385.889;7019.824;7235.156;7385.889;7450.488;7407.422;7493.555;7170.557;7256.689;7321.289;7428.955;7428.955;7149.023;7213.623;7105.957;7235.156;7321.289;7170.557;7149.023;7235.156;7256.689;7235.156"	"12747.656;12833.789;12639.990;12962.988;13199.854;13199.854;13178.320;12876.855;12381.592;12101.660;11907.861;11283.398;10981.934;10594.336;10335.938;10163.672;10292.871;12403.125;12532.324;12467.725;12360.059;11972.461;12360.059;12144.727;10723.535;10895.801;10572.803;10874.268;10766.602;10917.334;10917.334;10766.602;10551.270;10379.004;10766.602;11218.799;11003.467;11757.129"	-1.155	15	13156.787	206.541	"F"
"3"	3	"Spectrogram 1"	1	1227.008241816	1227.303073608	5544.737	11476.316	5189.502	0.1995	6093.896	11283.398	8505.615	"5792.432;5900.098;6115.430;6093.896;6136.963;6459.961;6373.828;6093.896;6050.830;5986.230;5986.230;5986.230;5964.697;5921.631;5921.631;5943.164"	"7213.623;6998.291;7084.424;7515.088;9840.674;10594.336;10615.869;9453.076;8139.551;7988.818;7902.686;7816.553;7924.219;7730.420;7622.754;7364.355"	"10658.936;10702.002;9926.807;11218.799;11304.932;11304.932;11304.932;11304.932;11283.398;11283.398;11283.398;11132.666;11132.666;11025.000;11003.467;11046.533"	0.633	3	11283.398	251.648	"M"
"4"	4	"Spectrogram 1"	1	1227.568422221	1228.187568984	5415.789	13410.526	5878.564	0.254	6761.426	12639.99	9000.879	"6546.094;6739.893;10486.670;11175.732;11434.131;10572.803;10077.539;9625.342;8850.146;8053.418;7838.086;7385.889;7170.557;6933.691;6826.025;6653.760;6589.160;6395.361;6459.961;6503.027;6438.428;6395.361;6416.895;6459.961;6503.027;6524.561;6459.961;6416.895;6373.828;6438.428;6459.961;6287.695;6330.762"	"7450.488;10551.270;12381.592;12769.189;12661.523;11692.529;10917.334;10486.670;9969.873;9431.543;9000.879;8161.084;7687.354;7450.488;7256.689;7084.424;7062.891;7213.623;6933.691;6933.691;6955.225;6976.758;7149.023;7084.424;6933.691;7019.824;7170.557;6976.758;6955.225;7041.357;7062.891;7235.156;7213.623"	"10314.404;11843.262;12919.922;13221.387;13221.387;13006.055;12919.922;12596.924;11886.328;11218.799;11025.000;10680.469;10292.871;10249.805;10012.939;10056.006;12726.123;12876.855;12230.859;11950.928;12273.926;11412.598;11477.197;11068.066;10551.270;10357.471;10228.271;10292.871;10400.537;10077.539;10142.139;10615.869;10443.604"	-1.187	10	13199.854	294.38	"F"
"5"	5	"Spectrogram 1"	1	1228.393951238	1228.68878303	4448.684	11282.895	6029.297	0.2177	4866.504	10895.801	7472.021	"4780.371;4758.838;4801.904;4952.637;4952.637;4844.971;4844.971;4866.504;4909.570;4909.570;4888.037;4780.371;4758.838;4909.570;4931.104"	"7213.623;6503.027;6955.225;7515.088;9323.877;7967.285;7450.488;7428.955;7428.955;7428.955;7601.221;7579.688;7558.154;7299.756;6826.025"	"10680.469;10012.939;10335.938;10809.668;10960.400;11046.533;10981.934;10895.801;10874.268;10938.867;11003.467;11025.000;11068.066;10917.334;10831.201"	-0.848	6	10702.002	319.308	"M"
"6"	6	"Spectrogram 1"	1	1229.661727943	1230.369324244	5673.684	13088.158	5447.9	0.2902	6912.158	12360.059	9108.545	"6653.760;6782.959;11670.996;11778.662;10680.469;10314.404;9905.273;9517.676;9043.945;8311.816;7902.686;7579.688;7407.422;7127.490;7019.824;6933.691;6761.426;6589.160;6589.160;6675.293;6696.826;6696.826;6632.227;6610.693;6675.293;6610.693;6546.094;6158.496;6093.896;6223.096;6481.494;6309.229;6180.029;6180.029;6330.762;6309.229;6244.629;6244.629"	"6782.959;11800.195;12833.789;12661.523;12080.127;11347.998;10680.469;9905.273;9797.607;9582.275;9000.879;8397.949;8096.484;7687.354;7493.555;7342.822;7213.623;7084.424;7084.424;7105.957;7105.957;7105.957;7149.023;7235.156;7127.490;7019.824;7149.023;7062.891;7170.557;7472.021;7450.488;7407.422;7321.289;7407.422;7407.422;7428.955;7558.154;7665.820"	"11412.598;12424.658;12941.455;12919.922;12855.322;12833.789;12747.656;11907.861;11003.467;10788.135;10551.270;10335.938;10314.404;10142.139;10034.473;9991.406;9883.740;9948.340;9926.807;10163.672;9905.273;9905.273;9883.740;10077.539;9819.141;9797.607;9905.273;9883.740;10938.867;11111.133;11132.666;11111.133;11197.266;11197.266;11089.600;11132.666;11218.799;11326.465"	0.513	12	12855.322	289.632	"F"
"7"	7	"Spectrogram 1"	1	1230.103975631	1230.428290602	4577.632	11411.842	4672.705	0.1995	6093.896	10766.602	7149.023	"6632.227;6610.693;6503.027;5146.436;5103.369;5340.234;6093.896;5943.164;5878.564;5167.969;5211.035;5620.166;5254.102;5017.236;5318.701;5534.033;5275.635;5017.236"	"7105.957;7019.824;7084.424;7041.357;7062.891;7407.422;7428.955;7278.223;7192.090;7256.689;7321.289;7407.422;7428.955;7428.955;7450.488;7235.156;7235.156;7321.289"	"9539.209;9560.742;9733.008;9646.875;10422.070;11089.600;11111.133;11089.600;11111.133;11089.600;10981.934;10917.334;10981.934;11154.199;10981.934;10917.334;10938.867;10917.334"	0.908	8	7428.955	17.805	"M"
"8"	8	"Spectrogram 1"	1	1230.811571932	1231.106403724	4642.105	11218.421	5986.23	0.1814	5060.303	11046.533	7213.623	"5081.836;4995.703;4888.037;4909.570;5017.236;5124.902;5835.498;6007.764;5577.100;5081.836;5060.303;5318.701;5318.701;5081.836;5060.303"	"7127.490;7708.887;6115.430;6352.295;7407.422;7730.420;7342.822;6955.225;7235.156;6955.225;6804.492;6826.025;6782.959;6998.291;7407.422"	"10766.602;10680.469;10314.404;10034.473;11089.600;11111.133;11089.600;11025.000;11003.467;10874.268;10766.602;10938.867;10874.268;10917.334;10917.334"	1.526	4	11089.6	225.533	"M"
"9"	9	"Spectrogram 1"	1	1231.25381962	1231.872966383	5738.158	12701.316	5060.303	0.2902	6869.092	11929.395	9625.342	"6158.496;7149.023;10594.336;11498.730;11089.600;10508.203;10206.738;9991.406;9689.941;9302.344;9087.012;8290.283;7881.152;7558.154;7149.023;6933.691;6826.025;6610.693;6524.561;6675.293;6546.094;6653.760;6330.762;6567.627;6352.295;6223.096;6373.828;6481.494;6416.895;6567.627;6481.494;6696.826;6546.094;6503.027"	"7838.086;10745.068;12123.193;12510.791;12209.326;11326.465;10745.068;10400.537;9969.873;9797.607;9646.875;9582.275;8764.014;8893.213;8290.283;7558.154;7493.555;7515.088;7170.557;6998.291;7127.490;7105.957;7256.689;7321.289;7385.889;7256.689;7558.154;7407.422;7321.289;7407.422;7364.355;7213.623;7127.490;7105.957"	"12187.793;11843.262;12510.791;12575.391;12575.391;12338.525;12015.527;11886.328;11111.133;10766.602;10723.535;10615.869;10508.203;10379.004;10120.605;9991.406;9948.340;10228.271;10206.738;9883.740;10142.139;9969.873;10658.936;10874.268;10809.668;10809.668;10766.602;10917.334;10788.135;10702.002;10422.070;10335.938;10680.469;10658.936"	-0.072	15	12532.324	248.087	"F"
"10"	10	"Spectrogram 1"	1	1231.519168232	1231.872966383	4384.211	11218.421	3402.246	0.1633	6610.693	10012.939	7364.355	"6912.158;6739.893;6524.561;6546.094;6567.627;6223.096;6115.430;6158.496;6093.896;5943.164;5857.031;5921.631;6115.430;5857.031;5921.631;5986.230;6050.830;5900.098"	"7493.555;7472.021;7342.822;7062.891;7019.824;7084.424;7084.424;7170.557;7342.822;7342.822;7364.355;7450.488;7342.822;7342.822;7342.822;7299.756;7149.023;7084.424"	"9969.873;10056.006;10077.539;9840.674;9819.141;9840.674;10077.539;10422.070;10658.936;10658.936;10443.604;10658.936;10723.535;10508.203;10271.338;10120.605;10142.139;10249.805"	-1.746	8	7407.422	24.927	"M"
