"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	2630.571172978	2631.514634712	5222.368	13990.789	4866.504	0.381	7967.285	12833.789	10034.473	"5663.232;5706.299;5727.832;9431.543;12123.193;12360.059;13135.254;12941.455;12489.258;12209.326;11735.596;11412.598;11003.467;10874.268;10702.002;10615.869;10357.471;10206.738;10099.072;10012.939;9819.141;9668.408;9410.010;9259.277;8979.346;8828.613;8613.281;8354.883;8182.617;7493.555;7041.357;6804.492;6459.961;6352.295;6589.160;6567.627;6632.227;6546.094;6416.895;6459.961;6287.695;6309.229;6567.627;6287.695;6503.027;6330.762;6373.828;6309.229;6093.896;6223.096;5857.031;5749.365"	"8871.680;8914.746;11434.131;13070.654;13673.584;13695.117;13652.051;13587.451;13221.387;12898.389;12510.791;12166.260;11800.195;11218.799;11132.666;11003.467;10788.135;10422.070;10292.871;10077.539;10056.006;9840.674;9733.008;9539.209;9431.543;9388.477;9000.879;8871.680;8613.281;8333.350;8354.883;8268.750;8333.350;8397.949;8441.016;8441.016;8527.148;8053.418;8182.617;8225.684;8290.283;8268.750;8290.283;8139.551;8161.084;8333.350;8247.217;8311.816;8441.016;8354.883;8225.684;7902.686"	"13350.586;13393.652;13221.387;13759.717;13824.316;13824.316;13824.316;13824.316;13824.316;13738.184;13565.918;13393.652;13178.320;12704.590;12230.859;12144.727;11864.795;11714.062;11347.998;10960.400;10745.068;10615.869;10594.336;10400.537;10615.869;10357.471;10077.539;10185.205;10012.939;9776.074;9862.207;9776.074;9926.807;10185.205;9926.807;9948.340;10034.473;9689.941;9926.807;9883.740;10012.939;9905.273;10012.939;9905.273;9883.740;10056.006;10895.801;10508.203;10702.002;11627.930;11714.062;12316.992"	1.653	14	13802.783	264.705	"F"
"2"	2	"Spectrogram 1"	1	2634.964166677	2635.907628412	4964.474	13603.947	5361.768	0.381	7622.754	12984.521	9991.406	"5211.035;5770.898;9625.342;10508.203;11068.066;12596.924;12316.992;11627.930;11347.998;11025.000;10788.135;10680.469;10400.537;10292.871;10034.473;9862.207;9776.074;9582.275;9410.010;9302.344;8936.279;8677.881;8613.281;8397.949;7601.221;6782.959;6352.295;6330.762;6373.828;6438.428;6459.961;6459.961;6416.895;6395.361;6330.762;6287.695;6287.695;6330.762;6287.695;6287.695;6330.762;6330.762;6309.229;6373.828;6244.629;6115.430;6050.830;5835.498;5835.498;5598.633;5469.434"	"7558.154;10120.605;12015.527;13199.854;13329.053;13501.318;13242.920;12532.324;12187.793;11649.463;11283.398;11025.000;10917.334;10594.336;10443.604;10314.404;10163.672;10099.072;9754.541;9668.408;9453.076;9216.211;9151.611;8871.680;8828.613;8505.615;7924.219;8182.617;8419.482;8354.883;8397.949;8613.281;8613.281;8462.549;8397.949;8354.883;8290.283;8225.684;8268.750;8441.016;8182.617;8010.352;7924.219;8053.418;8290.283;8376.416;8376.416;8225.684;8053.418;7751.953;8096.484"	"12747.656;12338.525;13221.387;13544.385;13544.385;13544.385;13544.385;13522.852;13156.787;13070.654;12618.457;12446.191;12230.859;11714.062;11563.330;11412.598;11068.066;10874.268;10658.936;10443.604;10465.137;10335.938;10271.338;10249.805;10077.539;10034.473;9948.340;9883.740;9969.873;10142.139;9969.873;9991.406;9991.406;9819.141;9883.740;9926.807;9819.141;9905.273;9991.406;10012.939;10099.072;10077.539;10185.205;10508.203;10680.469;11132.666;11584.863;11972.461;11864.795;11714.062;12316.992"	0.071	14	13522.852	181.614	"F"
"3"	3	"Spectrogram 1"	1	2637.0574724	2638.000934134	5093.421	13668.421	4392.773	0.3447	7967.285	12360.059	9733.008	"5404.834;5318.701;6653.760;9582.275;10228.271;10981.934;11864.795;11434.131;11154.199;10809.668;10658.936;10465.137;10206.738;10056.006;9905.273;9711.475;9646.875;9345.410;9216.211;8979.346;8936.279;8764.014;8505.615;8333.350;7773.486;7192.090;6826.025;6675.293;6675.293;6653.760;6632.227;6653.760;6675.293;6761.426;6804.492;6782.959;6610.693;6632.227;6632.227;6696.826;6653.760;6524.561;6567.627;6567.627;6416.895;6373.828;6330.762;6180.029;5964.697;5749.365;5577.100"	"7407.422;7730.420;10745.068;11800.195;13113.721;13221.387;13113.721;12532.324;12166.260;11369.531;11154.199;11025.000;10615.869;10400.537;10185.205;10077.539;9840.674;9733.008;9668.408;9410.010;9345.410;9280.811;9151.611;8957.812;8893.213;8677.881;8333.350;8311.816;8354.883;8419.482;8419.482;8505.615;8548.682;8484.082;8484.082;8268.750;8247.217;8441.016;8441.016;8397.949;8354.883;8290.283;8419.482;8419.482;8376.416;8376.416;8397.949;8397.949;8376.416;8397.949;8591.748"	"12876.855;12984.521;12596.924;13393.652;13479.785;13501.318;13501.318;13479.785;13264.453;13049.121;12812.256;12467.725;11886.328;11563.330;11563.330;11434.131;10874.268;10551.270;10551.270;10529.736;10379.004;10228.271;10142.139;10012.939;9948.340;9862.207;9776.074;9733.008;9797.607;9862.207;9883.740;9905.273;9883.740;9862.207;9711.475;9819.141;9883.740;9862.207;9862.207;9948.340;9991.406;9969.873;10056.006;10142.139;10658.936;11283.398;12123.193;12123.193;12144.727;12360.059;12575.391"	2.279	17	13479.785	258.77	"F"
"4"	4	"Spectrogram 1"	1	2639.59302581	2640.477521186	4964.474	13410.526	4414.307	0.381	7665.82	12080.127	9926.807	"8613.281;9711.475;10400.537;11347.998;11003.467;10938.867;10680.469;10615.869;10400.537;10400.537;10120.605;10012.939;9926.807;9711.475;9539.209;9496.143;9302.344;9130.078;8957.812;8656.348;8441.016;8139.551;7644.287;6653.760;6524.561;6373.828;6395.361;6395.361;6309.229;6395.361;6373.828;6330.762;6330.762;6352.295;6373.828;6352.295;6287.695;6266.162;6309.229;6352.295;6287.695;6201.562;6072.363;5964.697;6136.963;6201.562;5986.230;5620.166"	"10637.402;12209.326;13049.121;12876.855;12316.992;11606.396;11347.998;10895.801;10745.068;10680.469;10508.203;10400.537;10228.271;10099.072;9969.873;9926.807;9689.941;9474.609;9345.410;9216.211;9043.945;8893.213;8570.215;8290.283;8139.551;8225.684;8290.283;8419.482;8376.416;8225.684;8161.084;8182.617;8333.350;8333.350;8053.418;8031.885;8290.283;8096.484;8139.551;8311.816;8204.150;8161.084;8247.217;8161.084;8031.885;8053.418;7945.752;8053.418"	"12812.256;13285.986;13285.986;13285.986;13242.920;13178.320;13156.787;12553.857;12338.525;12015.527;11412.598;11391.064;10981.934;10658.936;10637.402;10637.402;10486.670;10379.004;10314.404;10379.004;10228.271;9819.141;9797.607;9711.475;9646.875;9582.275;9733.008;9905.273;9991.406;10099.072;9840.674;9689.941;9733.008;9926.807;9969.873;9711.475;9711.475;9862.207;9926.807;10034.473;10142.139;10142.139;10529.736;11154.199;11068.066;11261.865;11670.996;11692.529"	-2.298	19	13264.453	179.24	"F"
"5"	5	"Spectrogram 1"	1	2641.597881995	2642.482377371	4900	13346.053	4112.842	0.3628	7536.621	11649.463	9517.676	"5598.633;9173.145;9948.340;10788.135;11175.732;10960.400;10658.936;10465.137;10357.471;10185.205;9948.340;9819.141;9582.275;9474.609;9366.943;9216.211;9022.412;8893.213;8591.748;8397.949;8225.684;7838.086;6998.291;6567.627;6352.295;6223.096;6395.361;6352.295;6459.961;6503.027;6223.096;6180.029;6266.162;6266.162;6201.562;6201.562;6158.496;6136.963;6072.363;6072.363;5900.098;5835.498;5835.498;5835.498;5835.498;5835.498;5792.432"	"10012.939;11391.064;12790.723;12747.656;12338.525;11692.529;11347.998;10917.334;10745.068;10572.803;10379.004;10099.072;10056.006;9948.340;9689.941;9517.676;9431.543;9237.744;9216.211;8893.213;8764.014;8484.082;8268.750;8118.018;7902.686;8031.885;8053.418;8268.750;8182.617;8247.217;8225.684;8096.484;8118.018;7988.818;7967.285;7945.752;7988.818;7945.752;7924.219;7902.686;7751.953;7493.555;7945.752;7773.486;7450.488;6826.025;6589.160"	"12123.193;13049.121;13178.320;13199.854;13178.320;13092.188;12962.988;12683.057;12532.324;12015.527;11132.666;11218.799;11025.000;10702.002;10551.270;10422.070;10379.004;10228.271;10163.672;10077.539;9883.740;9689.941;9560.742;9560.742;9689.941;9840.674;9840.674;9797.607;9797.607;9926.807;9883.740;9733.008;9625.342;9582.275;9560.742;9646.875;9689.941;9689.941;9733.008;9582.275;9797.607;10034.473;10292.871;10615.869;11455.664;11627.930;11627.930"	-4.051	17	13178.32	191.11	"F"
"6"	6	"Spectrogram 1"	1	2643.455322284	2644.369300839	5157.895	13281.579	3509.912	0.3447	7881.152	11391.064	9819.141	"5706.299;5900.098;9130.078;9689.941;10314.404;11089.600;10895.801;10551.270;10443.604;10249.805;10163.672;10056.006;9948.340;9819.141;9689.941;9582.275;9323.877;9087.012;8979.346;8828.613;8677.881;8397.949;7773.486;7062.891;6567.627;6352.295;6395.361;6373.828;6373.828;6459.961;6373.828;6287.695;6330.762;6373.828;6373.828;6352.295;6266.162;6266.162;6373.828;6330.762;6287.695;6309.229;6266.162;6136.963;6029.297;5813.965;5663.232;5577.100;5534.033"	"7816.553;9410.010;11025.000;11821.729;12467.725;12080.127;11692.529;11046.533;10723.535;10486.670;10314.404;10292.871;10206.738;10099.072;10056.006;9819.141;9711.475;9603.809;9345.410;9087.012;9000.879;9000.879;8807.080;8548.682;8548.682;8505.615;8505.615;8376.416;8376.416;8441.016;8484.082;8419.482;8354.883;8484.082;8397.949;8376.416;8419.482;8397.949;8634.814;8634.814;8376.416;8225.684;8074.951;7967.285;8053.418;7730.420;7601.221;7622.754;7407.422"	"12790.723;12403.125;12726.123;13049.121;13049.121;13049.121;13027.588;12661.523;12080.127;11606.396;11304.932;11240.332;11218.799;10766.602;10658.936;10443.604;10292.871;10292.871;10292.871;10120.605;10120.605;10099.072;9883.740;9926.807;9689.941;9926.807;9969.873;9926.807;9797.607;10056.006;10056.006;9926.807;9797.607;9840.674;9948.340;9948.340;9948.340;9969.873;9991.406;10012.939;10163.672;10163.672;10077.539;10400.537;10422.070;10809.668;11154.199;11261.865;11261.865"	0.223	17	13049.121	159.06	"F"
"7"	7	"Spectrogram 1"	1	2644.923961575	2645.248276546	6640.789	12765.789	5706.299	0.254	6912.158	12618.457	9582.275	"6739.893;6718.359;6739.893;6998.291;7299.756;7751.953;7407.422;7256.689;7321.289;7170.557;6912.158;6933.691;7127.490;6847.559;6761.426;6761.426;6761.426"	"9065.479;9323.877;8677.881;8354.883;8613.281;10874.268;11692.529;11003.467;10637.402;10099.072;9517.676;9259.277;9194.678;9323.877;9259.277;8247.217;8139.551"	"12316.992;12295.459;12187.793;11950.928;12596.924;12618.457;12639.990;12639.990;12618.457;12639.990;12618.457;12596.924;12553.857;12424.658;12424.658;12532.324;12532.324"	0.223	8	12618.457	254.022	"M"
"8"	8	"Spectrogram 1"	1	2645.224313036	2646.079325232	5286.842	13152.632	3359.18	0.3447	7795.02	11154.199	9883.74	"5857.031;5706.299;5857.031;7665.820;9173.145;9754.541;10637.402;10723.535;10637.402;10508.203;10400.537;10249.805;10185.205;10034.473;9969.873;9840.674;9646.875;9453.076;9302.344;9000.879;8957.812;8785.547;8397.949;7988.818;7149.023;6869.092;6395.361;6352.295;6459.961;6481.494;6524.561;6503.027;6610.693;6589.160;6503.027;6416.895;6416.895;6567.627;6481.494;6416.895;6416.895;6459.961;6438.428;6330.762;6330.762;6352.295;6244.629"	"7665.820;8505.615;9000.879;10185.205;11563.330;12123.193;11821.729;11541.797;10917.334;10766.602;10637.402;10465.137;10314.404;10206.738;10206.738;10228.271;10163.672;9776.074;9668.408;9474.609;9302.344;9216.211;9108.545;8807.080;8634.814;8462.549;8290.283;8247.217;8333.350;8333.350;8376.416;8397.949;8527.148;8505.615;8548.682;8484.082;8333.350;8397.949;8290.283;8376.416;8548.682;8397.949;8376.416;8268.750;8376.416;8333.350;8074.951"	"12575.391;12575.391;12553.857;12123.193;12984.521;12962.988;12919.922;12898.389;12726.123;12187.793;11821.729;11154.199;10938.867;10895.801;10852.734;10680.469;10572.803;10465.137;10249.805;10228.271;10163.672;10056.006;10012.939;10034.473;10012.939;9991.406;9819.141;9969.873;9905.273;9819.141;9797.607;10056.006;10142.139;10012.939;10056.006;9905.273;10012.939;10012.939;9948.340;9862.207;9733.008;9991.406;10034.473;10034.473;10163.672;10357.471;10658.936"	0.052	15	12962.988	230.281	"F"
"9"	9	"Spectrogram 1"	1	2646.486570072	2646.810885043	6318.421	13023.684	5921.631	0.1995	6804.492	12726.123	9043.945	"6481.494;6567.627;6589.160;6675.293;6782.959;7105.957;7321.289;7170.557;6955.225;6890.625;6890.625;6739.893;6696.826;6675.293;6696.826;6782.959;6675.293;6675.293"	"7902.686;7902.686;8290.283;8031.885;8118.018;8979.346;11154.199;10572.803;9797.607;9603.809;8720.947;8333.350;8268.750;8397.949;8419.482;8397.949;8570.215;8656.348"	"12144.727;12381.592;12360.059;11692.529;11929.395;12726.123;12726.123;12726.123;12747.656;12747.656;12726.123;12618.457;12575.391;12575.391;12618.457;12596.924;12575.391;12510.791"	0.698	7	12726.123	296.754	"M"
"10"	10	"Spectrogram 1"	1	2646.938387	2647.806336	5483.333	13125	3552.979	0.3628	7881.152	11434.131	10077.539	"5706.299;6373.828;9022.412;9302.344;10206.738;10981.934;10852.734;10766.602;10572.803;10443.604;10357.471;10206.738;10142.139;9991.406;9883.740;9797.607;9582.275;9280.811;8979.346;8957.812;8591.748;7859.619;7105.957;6804.492;6567.627;6567.627;6675.293;6653.760;6589.160;6546.094;6567.627;6632.227;6632.227;6567.627;6524.561;6567.627;6610.693;6696.826;6524.561;6438.428;6395.361;6438.428;6481.494;6459.961;6395.361;6223.096;5921.631"	"8591.748;9345.410;10917.334;11649.463;12273.926;11972.461;11391.064;11068.066;10895.801;10680.469;10594.336;10357.471;10292.871;10249.805;10120.605;10120.605;10077.539;9819.141;9625.342;9453.076;9345.410;9022.412;8979.346;8634.814;8462.549;8613.281;8613.281;8613.281;8677.881;8850.146;8893.213;8720.947;8527.148;8548.682;8548.682;8505.615;8634.814;8785.547;8720.947;8656.348;8591.748;8376.416;8333.350;8225.684;8247.217;8505.615;8505.615"	"12833.789;11714.062;12726.123;12962.988;13027.588;13006.055;12962.988;12833.789;12532.324;11993.994;11541.797;11111.133;10895.801;10895.801;10874.268;10745.068;10572.803;10443.604;10357.471;10314.404;10292.871;10228.271;10142.139;9991.406;9991.406;10077.539;10163.672;10099.072;10077.539;10099.072;10120.605;10206.738;10228.271;10077.539;10056.006;10077.539;10163.672;10206.738;10120.605;10206.738;10379.004;10529.736;10594.336;10508.203;10852.734;11627.930;11907.861"	-3.767	19	13027.588	115.141	"F"
