"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	1854.101609407	1854.484890737	3739.474	14377.632	7967.285	0.1633	4177.441	12144.727	6653.76	"4177.441;4177.441;4134.375;4177.441;4242.041;4242.041;4242.041;4285.107;4328.174;3919.043;3897.510;4198.975;4242.041;4220.508;4134.375;4177.441;4155.908;4091.309;4026.709;4112.842;4069.775"	"7838.086;6933.691;4651.172;4888.037;6567.627;7278.223;7213.623;7213.623;7127.490;6826.025;6718.359;6998.291;7321.289;6955.225;7019.824;6481.494;7149.023;7062.891;7127.490;7428.955;7407.422"	"12876.855;12855.322;9323.877;12123.193;12187.793;12166.260;12144.727;11993.994;12080.127;11477.197;11003.467;12187.793;12489.258;12919.922;13027.588;13006.055;12812.256;13049.121;13458.252;13695.117;13285.986"	-0.297	10	12144.727	267.079	"M"
"2"	2	"Spectrogram 1"	1	1854.838688887	1855.251453396	3803.947	14442.105	7665.82	0.1814	4371.24	12037.061	7019.824	"4177.441;4069.775;4091.309;4242.041;4285.107;4371.240;4457.373;4478.906;4500.439;4478.906;4392.773;4478.906;4478.906;4435.840;4392.773;4392.773;4285.107;4263.574;4285.107;4198.975;4112.842;4069.775"	"7278.223;7127.490;7235.156;4500.439;5749.365;6847.559;7192.090;7235.156;7385.889;7450.488;7385.889;7213.623;7342.822;7342.822;7472.021;7407.422;6976.758;6933.691;6912.158;7321.289;7428.955;7342.822"	"13092.188;13070.654;13092.188;10529.736;10228.271;11692.529;11950.928;12123.193;12123.193;12252.393;12123.193;12166.260;12209.326;12381.592;12726.123;13135.254;13027.588;12683.057;13027.588;13285.986;13458.252;13845.850"	-6.105	8	7149.023	117.515	"M"
"3"	3	"Spectrogram 1"	1	1855.664217905	1856.076982413	3675	14313.158	7967.285	0.1814	4198.975	12166.26	6675.293	"3854.443;3854.443;4005.176;3940.576;4091.309;4242.041;4306.641;4306.641;4285.107;4328.174;4435.840;4414.307;4392.773;4371.240;4371.240;4328.174;4155.908;4220.508;4263.574;4220.508;3962.109;3962.109"	"7428.955;7558.154;7708.887;4392.773;4521.973;6029.297;7084.424;7213.623;7127.490;7256.689;7235.156;7084.424;7170.557;7170.557;7105.957;7213.623;7299.756;7235.156;7170.557;7084.424;6869.092;7170.557"	"13608.984;13501.318;13522.852;8527.148;12101.660;12252.393;12058.594;12037.061;12058.594;11972.461;12037.061;12058.594;12058.594;12187.793;12338.525;12553.857;12855.322;13027.588;13135.254;13264.453;13329.053;13329.053"	0.848	9	11907.861	408.334	"M"
"4"	4	"Spectrogram 1"	1	1856.371814205	1856.784578714	4061.842	14184.211	7730.42	0.1995	4543.506	12273.926	7278.223	"4737.305;4414.307;4500.439;4500.439;4737.305;4823.438;4780.371;4629.639;4608.105;4758.838;4629.639;4694.238;4715.771;4565.039;4543.506;4349.707;4349.707;4349.707;4371.240;4543.506;4457.373;4435.840"	"6826.025;6481.494;4866.504;6481.494;7428.955;8462.549;8161.084;7558.154;7342.822;7321.289;7385.889;7256.689;7235.156;7213.623;7299.756;7235.156;7213.623;7385.889;7428.955;7428.955;7579.688;7364.355"	"13221.387;13178.320;9840.674;11800.195;12295.459;12295.459;12273.926;12273.926;12273.926;12252.393;12316.992;12273.926;12252.393;12316.992;12683.057;12618.457;12833.789;13135.254;12941.455;13156.787;13242.920;13156.787"	1.809	8	12252.393	426.139	"M"
"5"	5	"Spectrogram 1"	1	1857.03083576	1857.363850685	4045.349	14187.209	7795.02	0.1633	4500.439	12295.459	7256.689	"4285.107;4328.174;4414.307;4500.439;4608.105;4694.238;5146.436;4651.172;4672.705;4780.371;4651.172;4651.172;4521.973;4500.439;4672.705;4543.506;4543.506;4500.439;4457.373"	"7472.021;4543.506;6050.830;6912.158;7428.955;7493.555;7472.021;7493.555;7472.021;7493.555;7278.223;7235.156;7407.422;7428.955;7278.223;7213.623;7364.355;7385.889;7342.822"	"13372.119;6395.361;12295.459;12252.393;12295.459;12316.992;12252.393;12295.459;12316.992;12338.525;12144.727;12209.326;12252.393;12381.592;12661.523;12661.523;12596.924;13049.121;13070.654"	9.232	4	12295.459	341.861	"M"
"6"	6	"Spectrogram 1"	1	1857.748098676	1858.081113602	4045.349	14529.07	7795.02	0.1451	4500.439	12295.459	7192.09	"4371.240;4349.707;4349.707;4435.840;4521.973;4651.172;4737.305;4844.971;4629.639;4586.572;4672.705;4672.705;4629.639;4694.238;4715.771;4651.172;4543.506"	"8031.885;8247.217;4586.572;5211.035;7019.824;7515.088;7493.555;7364.355;7407.422;7256.689;7493.555;7213.623;7192.090;7278.223;7235.156;7321.289;7407.422"	"13738.184;13824.316;6029.297;12316.992;12316.992;12273.926;12295.459;12295.459;12209.326;12187.793;12166.260;12187.793;12230.859;12252.393;12316.992;12726.123;13156.787"	-0.223	7	13135.254	397.651	"M"
"7"	7	"Spectrogram 1"	1	1858.516594658	1858.823993051	3874.419	14529.07	7751.953	0.127	4478.906	12230.859	7084.424	"4371.240;4155.908;4263.574;4435.840;4586.572;4586.572;4629.639;4629.639;4608.105;4672.705;4651.172;4586.572;4651.172;4629.639;4651.172;4608.105"	"8074.951;4478.906;4866.504;6115.430;7235.156;7407.422;7515.088;7385.889;7321.289;7407.422;7299.756;7278.223;7472.021;7472.021;7407.422;7235.156"	"13565.918;8268.750;7105.957;9840.674;12252.393;12316.992;12338.525;12316.992;12295.459;12144.727;12144.727;12360.059;12381.592;12316.992;12230.859;12252.393"	-3.798	6	7644.287	123.45	"M"
"8"	8	"Spectrogram 1"	1	1859.105771532	1859.848650982	5412.791	14301.163	3983.643	0.3447	8010.352	11993.994	9733.008	"5706.299;5663.232;8527.148;12812.256;12144.727;11584.863;11391.064;11304.932;11046.533;10852.734;10529.736;10142.139;9969.873;9668.408;9625.342;9410.010;9216.211;9022.412;8807.080;8656.348;8462.549;8333.350;8010.352;7170.557;7385.889;7235.156;7536.621;7558.154;7256.689;6955.225;7105.957;7665.820;7601.221;6998.291;6998.291;6847.559;6976.758;6761.426;6696.826;6804.492;6438.428"	"8957.812;8850.146;14061.182;13458.252;13135.254;12273.926;11972.461;11584.863;11412.598;11240.332;11089.600;10766.602;10572.803;10314.404;10357.471;9754.541;9689.941;9453.076;9323.877;9000.879;8785.547;8613.281;8290.283;8225.684;8247.217;8096.484;8268.750;8290.283;8247.217;8290.283;8225.684;8290.283;8397.949;8204.150;8161.084;8161.084;8010.352;8268.750;8204.150;8182.617;8247.217"	"13695.117;13759.717;14190.381;14104.248;13867.383;13673.584;13329.053;12919.922;12704.590;12144.727;11972.461;11649.463;11369.531;11175.732;11175.732;11132.666;10981.934;10874.268;10551.270;10508.203;10529.736;9969.873;9151.611;9410.010;9539.209;9560.742;9431.543;9345.410;9517.676;9969.873;9668.408;9366.943;9302.344;9582.275;9259.277;10056.006;9733.008;11434.131;10981.934;12037.061;12467.725"	3.116	19	14082.715	462.937	"F"
"9"	9	"Spectrogram 1"	1	1860.104819688	1860.437834614	3874.419	12762.791	7687.354	0.1451	4263.574	11950.928	6266.162	"4263.574;4048.242;4220.508;4220.508;4306.641;4328.174;4457.373;4543.506;4521.973;4500.439;4500.439;4543.506;4500.439;4478.906;4478.906;4478.906;4392.773;4500.439"	"7515.088;5017.236;4586.572;4629.639;6503.027;7149.023;7213.623;7170.557;7062.891;7084.424;7127.490;7105.957;6933.691;6869.092;6933.691;7041.357;6739.893;6826.025"	"12166.260;11929.395;5361.768;8247.217;11412.598;12101.660;12338.525;12338.525;12273.926;11907.861;12015.527;12015.527;11864.795;11907.861;12058.594;11972.461;12187.793;12144.727"	0	9	7364.355	159.06	"M"
"10"	10	"Spectrogram 1"	1	1860.719616474	1861.0526314	3988.372	12420.93	7450.488	0.1451	4823.438	12273.926	7407.422	"4177.441;4435.840;4651.172;4758.838;4974.170;5017.236;5038.770;5017.236;5017.236;5081.836;4952.637;4931.104;4931.104;4801.904;4801.904;4780.371;4737.305"	"4521.973;5103.369;6653.760;7192.090;7665.820;7708.887;7708.887;7751.953;7751.953;7751.953;7558.154;7579.688;7472.021;7493.555;7407.422;7407.422;7385.889"	"10099.072;6782.959;9302.344;12101.660;12295.459;12295.459;12273.926;12273.926;12273.926;12252.393;12273.926;12252.393;12123.193;11714.062;11584.863;12037.061;12015.527"	9.793	7	12252.393	277.762	"M"
"11"	11	"Spectrogram 1"	1	1861.436879391	1861.795510849	3931.395	12534.884	7299.756	0.1451	4909.57	12209.326	7428.955	"4155.908;4242.041;4500.439;4801.904;4909.570;5017.236;5081.836;5146.436;5060.303;5103.369;5103.369;5081.836;5038.770;5038.770;5060.303;5017.236;4780.371;4758.838;4737.305"	"7558.154;4500.439;5146.436;6696.826;7278.223;7601.221;7687.354;7665.820;7751.953;7751.953;7708.887;7622.754;7472.021;7493.555;7450.488;7342.822;7407.422;7428.955;7450.488"	"12144.727;8764.014;6804.492;9130.078;12015.527;12273.926;12316.992;12381.592;12360.059;12230.859;12252.393;12252.393;12252.393;12209.326;12080.127;12058.594;12015.527;11778.662;11649.463"	10.815	8	7795.02	105.645	"M"
"12"	12	"Spectrogram 1"	1	1862.230991906	1862.589623364	3988.372	12591.86	7105.957	0.1451	5060.303	12166.26	7493.555	"4435.840;4328.174;4629.639;4931.104;5103.369;5189.502;5361.768;5770.898;5318.701;5167.969;5232.568;5189.502;5167.969;5232.568;5211.035;5081.836;5189.502;5189.502;5038.770;4866.504"	"7278.223;4521.973;5318.701;6826.025;7407.422;7687.354;8010.352;8074.951;7751.953;7773.486;7838.086;7838.086;7687.354;7536.621;7687.354;7730.420;7472.021;7859.619;7472.021;7127.490"	"11800.195;9323.877;6804.492;9431.543;11477.197;12295.459;12338.525;12360.059;12101.660;12037.061;12166.260;12230.859;11929.395;12187.793;11778.662;12166.260;11477.197;11843.262;10981.934;11627.930"	0.187	10	12360.059	257.583	"M"
"13"	13	"Spectrogram 1"	1	1862.794552247	1863.409349032	5925.581	13674.419	3036.182	0.2358	8053.418	11089.6	9625.342	"6223.096;7515.088;12489.258;11563.330;11003.467;10831.201;10637.402;10465.137;10271.338;9905.273;9603.809;9237.744;9065.479;8807.080;8634.814;8247.217;7945.752;7601.221;7558.154;7579.688;7665.820;7601.221;7644.287;7730.420;7644.287;7558.154;7493.555;7450.488;7644.287;7773.486;7515.088;7364.355;7536.621;7579.688"	"9108.545;12962.988;13285.986;13199.854;11692.529;11240.332;11025.000;10766.602;10615.869;10400.537;10206.738;9776.074;9539.209;9216.211;9065.479;8871.680;8613.281;8613.281;8527.148;8376.416;8419.482;8527.148;8505.615;8613.281;8634.814;8419.482;8419.482;8441.016;8397.949;8354.883;8419.482;8419.482;8376.416;8462.549"	"13242.920;13458.252;13565.918;13565.918;13501.318;13372.119;12984.521;11864.795;11154.199;10852.734;10831.201;10809.668;10658.936;10572.803;10572.803;10486.670;10185.205;10077.539;9948.340;9840.674;9797.607;9711.475;9711.475;9819.141;9776.074;9776.074;9883.740;10249.805;9883.740;9819.141;9883.740;10228.271;10012.939;10658.936"	2.878	10	13458.252	360.853	"F"
"14"	14	"Spectrogram 1"	1	1863.537435075	1863.870450001	3874.419	12933.721	7105.957	0.127	5211.035	12316.992	7644.287	"4672.705;4220.508;4952.637;5146.436;5340.234;5598.633;5900.098;5749.365;5447.900;5340.234;5426.367;5361.768;5426.367;5383.301;5340.234;5340.234;5426.367"	"8247.217;4888.037;5641.699;6675.293;7665.820;8397.949;8527.148;8354.883;8441.016;8139.551;8118.018;8118.018;8204.150;8096.484;7988.818;7773.486;7967.285"	"11864.795;8419.482;6976.758;9022.412;11778.662;12683.057;12726.123;12747.656;12747.656;12424.658;12360.059;12424.658;12381.592;12101.660;12338.525;12510.791;12037.061"	-5.416	8	12769.189	280.136	"M"
"15"	15	"Spectrogram 1"	1	1864.280314525	1864.61332945	3988.372	12933.721	6976.758	0.127	5211.035	12187.793	7730.42	"4242.041;4392.773;4952.637;5167.969;5469.434;6459.961;5598.633;5663.232;6459.961;5900.098;6352.295;6136.963;5620.166;6223.096;5361.768;5469.434;5361.768;5211.035"	"7687.354;4931.104;5490.967;6912.158;7795.020;8161.084;8634.814;8247.217;8914.746;8376.416;8333.350;8333.350;8268.750;7751.953;8031.885;7751.953;7838.086;7988.818"	"12338.525;5426.367;6912.158;9388.477;11907.861;12230.859;12704.590;12252.393;12575.391;12489.258;12575.391;12683.057;12532.324;12144.727;11714.062;12295.459;12230.859;12209.326"	7.122	8	8333.35	130.572	"M"
"16"	16	"Spectrogram 1"	1	1865.023193974	1865.381825433	3988.372	12819.767	5684.766	0.2721	6395.361	12080.127	10206.738	"4931.104;4737.305;4565.039;4823.438;5189.502;6589.160;6007.764;5620.166;6180.029;6373.828;6739.893;7192.090;8010.352;10529.736;10335.938;10206.738;9948.340;9819.141;9259.277;9216.211"	"6998.291;6998.291;5103.369;6503.027;7472.021;8074.951;8441.016;8397.949;8720.947;9043.945;10292.871;11369.531;11003.467;10788.135;10702.002;10486.670;10400.537;10249.805;10034.473;9819.141"	"10938.867;11391.064;5663.232;7795.020;10292.871;12467.725;12489.258;12467.725;12596.924;12596.924;12661.523;12661.523;12618.457;12166.260;11627.930;10981.934;10831.201;10809.668;10723.535;10572.803"	7.872	4	12467.725	276.575	"M"
"17"	17	"Spectrogram 1"	1	1865.125656726	1865.689220446	6324.419	12933.721	3919.043	0.3447	7795.02	11714.062	10077.539	"6847.559;6761.426;6869.092;7062.891;7084.424;7428.955;8182.617;10529.736;10335.938;10206.738;9948.340;9819.141;9259.277;9216.211;8785.547;8376.416;8182.617;7385.889;7450.488;7450.488;7795.020;7579.688;7472.021;7450.488;7515.088;7730.420;7515.088;7385.889;7601.221;7493.555;7084.424"	"8656.348;8505.615;8957.812;9194.678;10637.402;11391.064;11003.467;10788.135;10702.002;10486.670;10400.537;10249.805;10034.473;9819.141;9819.141;9711.475;8677.881;8268.750;8677.881;8505.615;8548.682;8139.551;8290.283;8462.549;8290.283;8268.750;8591.748;8204.150;8376.416;8225.684;8548.682"	"12510.791;12467.725;12596.924;12618.457;12661.523;12661.523;12618.457;12187.793;11627.930;10981.934;10831.201;10809.668;10723.535;10572.803;10486.670;10572.803;10443.604;10206.738;10314.404;10206.738;10422.070;10099.072;10400.537;10379.004;10379.004;10163.672;10292.871;10292.871;10271.338;10271.338;10292.871"	-7.993	16	12467.725	242.152	"F"
"18"	18	"Spectrogram 1"	1	1865.91977262	1866.329637144	4330.233	13617.442	7536.621	0.1633	5598.633	13135.254	7945.752	"4909.570;4888.037;4823.438;5103.369;5318.701;5663.232;6610.693;6567.627;6438.428;6244.629;6115.430;6287.695;6459.961;6503.027;6050.830;6029.297;6050.830;5857.031;5641.699;5512.500;5512.500;5663.232;5426.367"	"8074.951;8053.418;5167.969;5663.232;7235.156;7687.354;7924.219;8268.750;8505.615;8505.615;8161.084;8096.484;8333.350;8225.684;8139.551;8161.084;8031.885;8010.352;7967.285;7967.285;7687.354;7450.488;7493.555"	"12596.924;12639.990;8139.551;7342.822;9733.008;12252.393;13242.920;13329.053;13307.520;13329.053;13156.787;12941.455;13242.920;13027.588;12467.725;12553.857;12812.256;12769.189;12209.326;12316.992;12166.260;11821.729;11864.795"	-2.806	9	8268.75	78.343	"M"
