"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	1997.762133963	1998.410763906	5157.895	14377.632	2153.32	0.2358	8505.615	10658.936	9711.475	"6696.826;11154.199;10379.004;10120.605;10077.539;9905.273;9754.541;9689.941;9646.875;9517.676;9259.277;8979.346;8656.348;8311.816;7816.553;7364.355;7213.623;7493.555;7708.887;7170.557;6976.758;7256.689;7084.424;6955.225;7170.557;7127.490;6890.625;6675.293;6610.693;6567.627;6330.762;6223.096;6309.229;5964.697;5792.432;5835.498"	"14018.115;12790.723;11434.131;10594.336;10206.738;10142.139;10034.473;9862.207;9776.074;9754.541;9625.342;9539.209;9474.609;9302.344;9151.611;9022.412;9000.879;9108.545;9216.211;9302.344;9022.412;9087.012;9130.078;9216.211;9151.611;9130.078;9130.078;9022.412;9151.611;9237.744;9043.945;9151.611;9259.277;8914.746;8785.547;9043.945"	"14233.447;14190.381;14039.648;13329.053;12209.326;11261.865;10788.135;10529.736;10314.404;10163.672;10142.139;10034.473;9969.873;9905.273;9754.541;9733.008;9797.607;9819.141;9819.141;9905.273;9797.607;9776.074;9840.674;9733.008;9797.607;9819.141;9819.141;10012.939;10120.605;10723.535;11347.998;11735.596;11757.129;12575.391;12489.258;13285.986"	-7.902	13	14190.381	48.668	"F"
"2"	2	"Spectrogram 1"	1	2000.356653732	2001.034766854	5544.737	12507.895	1291.992	0.2177	8591.748	9883.74	9539.209	"5943.164;5921.631;5943.164;9905.273;9797.607;9797.607;9733.008;9625.342;9560.742;9474.609;9366.943;9345.410;9259.277;9043.945;8376.416;7838.086;7213.623;7062.891;6955.225;6976.758;7170.557;7342.822;7062.891;7105.957;7149.023;7019.824;6782.959;6589.160;6481.494;6524.561;6503.027;6373.828;6158.496;6115.430;6223.096;6223.096;6201.562"	"6696.826;6782.959;11218.799;10594.336;10077.539;9840.674;9819.141;9711.475;9689.941;9646.875;9560.742;9453.076;9453.076;9366.943;9237.744;9173.145;9065.479;9108.545;9087.012;9108.545;9130.078;9151.611;9130.078;9173.145;9216.211;9108.545;9151.611;9065.479;9043.945;9130.078;9130.078;8979.346;9151.611;9151.611;9173.145;9173.145;8785.547"	"11025.000;11132.666;12338.525;12252.393;11692.529;10809.668;10465.137;9948.340;9926.807;9840.674;9819.141;9711.475;9646.875;9668.408;9733.008;9711.475;9603.809;9668.408;9646.875;9625.342;9646.875;9689.941;9668.408;9711.475;9689.941;9582.275;9582.275;9582.275;9646.875;9733.008;9754.541;10034.473;10443.604;10938.867;11261.865;11326.465;11455.664"	4.122	16	11778.662	278.949	"F"
"3"	3	"Spectrogram 1"	1	2004.426607	2004.977363	5412.791	13702.907	1851.855	0.2177	8419.482	10271.338	9410.01	"5986.230;7859.619;10400.537;10099.072;9948.340;9754.541;9689.941;9560.742;9388.477;9259.277;9194.678;8936.279;8764.014;8397.949;7816.553;7687.354;7407.422;6976.758;6933.691;7235.156;7256.689;6998.291;7149.023;7127.490;6739.893;6675.293;6546.094;6546.094;6696.826"	"9840.674;11778.662;10874.268;10551.270;10314.404;10077.539;9926.807;9819.141;9689.941;9582.275;9431.543;9410.010;9280.811;9237.744;9173.145;9194.678;9065.479;9000.879;8936.279;8893.213;8871.680;9043.945;9173.145;9065.479;9022.412;8979.346;8957.812;9087.012;9022.412"	"13501.318;13522.852;13307.520;12575.391;11821.729;11046.533;10551.270;10443.604;10228.271;10142.139;10056.006;9948.340;9711.475;9625.342;9646.875;9668.408;9754.541;9776.074;9776.074;9711.475;9754.541;9819.141;9797.607;9840.674;9840.674;9819.141;9969.873;10012.939;9948.340"	5.002	10	10895.801	226.72	"F"
"4"	4	"Spectrogram 1"	1	2005.19014	2005.471922	4729.07	12591.86	7084.424	0.1451	5275.635	12360.059	7213.623	"4931.104;5017.236;5081.836;5663.232;6158.496;6309.229;6309.229;6244.629;6180.029;6223.096;5749.365;5835.498;5469.434;5189.502;5146.436"	"8074.951;5620.166;6912.158;7213.623;7278.223;7321.289;7385.889;7472.021;7472.021;7256.689;7450.488;7170.557;7321.289;7493.555;7428.955"	"12080.127;12123.193;10637.402;12381.592;12403.125;12295.459;12360.059;12446.191;12424.658;12467.725;12403.125;12338.525;12166.260;12252.393;12166.260"	-1.611	8	7515.088	110.393	"M"
"5"	5	"Spectrogram 1"	1	2005.728087	2006.009869	4273.256	12648.837	5835.498	0.1995	6266.162	12101.66	9948.34	"4392.773;4565.039;4586.572;4995.703;5060.303;6072.363;6180.029;6072.363;5706.299;5555.566;5878.564;6395.361;9603.809;9926.807;9905.273"	"8010.352;7816.553;5038.770;6632.227;7127.490;7235.156;7256.689;7256.689;7364.355;7407.422;7536.621;10422.070;10335.938;9991.406;9969.873"	"11929.395;11929.395;9948.340;9237.744;11369.531;12316.992;12381.592;12403.125;12446.191;12446.191;12467.725;12424.658;12166.260;11434.131;10551.270"	22.045	8	10271.338	211.289	"M"
"6"	6	"Spectrogram 1"	1	2005.950791	2006.386272	5640.698	13588.953	2002.588	0.2358	8182.617	10185.205	9668.408	"9926.807;9905.273;9733.008;9689.941;9625.342;9366.943;9108.545;8742.480;8290.283;7838.086;7579.688;7450.488;7493.555;7041.357;6869.092;7170.557;7041.357;6955.225;7105.957;7213.623;6912.158;6782.959;6826.025;6503.027"	"9991.406;9969.873;9948.340;9926.807;9883.740;9819.141;9539.209;9388.477;9173.145;9043.945;8957.812;9000.879;9000.879;8893.213;8893.213;8828.613;8807.080;8850.146;9000.879;9043.945;9108.545;9087.012;8850.146;9022.412"	"11800.195;10680.469;10400.537;10249.805;10077.539;10120.605;9969.873;9926.807;9840.674;9840.674;9840.674;9754.541;9840.674;9862.207;9862.207;9862.207;9862.207;9883.740;9862.207;9862.207;9862.207;9819.141;9905.273;10034.473"	-1.445	11	9969.873	43.92	"F"
"7"	7	"Spectrogram 1"	1	2006.394117	2006.701515	4558.14	12933.721	6244.629	0.1088	6309.229	12553.857	7321.289	"6610.693;4974.170;5361.768;6244.629;6653.760;6739.893;6761.426;6739.893;6632.227;6503.027;6524.561;6503.027;6481.494;6459.961;6352.295;5706.299"	"8807.080;5404.834;6933.691;7149.023;7385.889;7493.555;7579.688;7601.221;7644.287;7536.621;7536.621;7558.154;7472.021;7342.822;7342.822;7407.422"	"9948.340;10981.934;9969.873;11003.467;12446.191;12596.924;12683.057;12726.123;12704.590;12683.057;12683.057;12661.523;12575.391;12338.525;12273.926;12467.725"	-5.065	6	8462.549	87.839	"M"
"8"	8	"Spectrogram 1"	1	2007.060147	2007.598094	5811.628	13446.512	3380.713	0.2177	6912.158	10292.871	9388.477	"6072.363;6804.492;10249.805;9862.207;9711.475;9668.408;6632.227;6459.961;6653.760;6718.359;6804.492;7084.424;8397.949;7902.686;7428.955;7321.289;7450.488;7687.354;7062.891;6890.625;6869.092;6804.492;7041.357;6761.426;7127.490;6933.691;6718.359;6739.893;6955.225"	"9130.078;12833.789;10852.734;10400.537;9991.406;9905.273;9905.273;9603.809;7493.555;9474.609;9410.010;9388.477;9323.877;9194.678;9108.545;9130.078;9216.211;9194.678;8914.746;9151.611;8893.213;8871.680;9087.012;9065.479;9151.611;9216.211;8914.746;8677.881;9022.412"	"13199.854;13285.986;13242.920;12769.189;11692.529;11326.465;10960.400;10508.203;10766.602;11326.465;10443.604;9969.873;9733.008;9668.408;9603.809;9668.408;9711.475;9646.875;9646.875;9668.408;9689.941;9668.408;9711.475;9689.941;9689.941;9776.074;9689.941;9776.074;9733.008"	-7.97	13	13221.387	131.759	"F"
"9"	9	"Spectrogram 1"	1	2007.136996	2007.393162	4159.302	12705.814	3380.713	0.1814	6847.559	10228.271	9388.477	"9711.475;9668.408;5189.502;5792.432;6416.895;6610.693;6761.426;7041.357;8333.350;7881.152;7364.355;7299.756;7428.955;7601.221"	"9991.406;9905.273;9905.273;9560.742;7385.889;9474.609;9410.010;9388.477;9323.877;9194.678;9108.545;9130.078;9216.211;9194.678"	"11347.998;11068.066;10615.869;10335.938;10357.471;10788.135;10249.805;9969.873;9733.008;9668.408;9603.809;9668.408;9711.475;9646.875"	-1.004	4	9905.273	131.759	"M"
"10"	10	"Spectrogram 1"	1	2007.70056	2008.007958	4330.233	12762.791	5641.699	0.0726	6804.492	12446.191	7859.619	"4629.639;5124.902;6589.160;7149.023;7019.824;7041.357;6890.625;6869.092;6847.559;6847.559;6782.959;6869.092;6955.225;6890.625;6589.160;6459.961"	"7924.219;6546.094;7838.086;7859.619;7902.686;8031.885;7816.553;7838.086;8031.885;7945.752;7816.553;7838.086;7795.020;7751.953;7902.686;7859.619"	"11778.662;7127.490;9388.477;10551.270;12596.924;12596.924;12575.391;12510.791;12510.791;12381.592;12101.660;12338.525;12338.525;12144.727;12252.393;12080.127"	-6.726	9	12596.924	281.323	"M"
