"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	484.016178314	484.340515803	5480.263	11089.474	4801.904	0.1633	5986.23	10788.135	7041.357	"6029.297;5900.098;5663.232;5878.564;5943.164;6158.496;6029.297;5986.230;6072.363;5964.697;5986.230;6136.963;6115.430;5943.164;5813.965;5921.631;5878.564;6201.562"	"6912.158;7299.756;6072.363;6481.494;6567.627;7062.891;7192.090;6998.291;7127.490;7385.889;7149.023;7041.357;7149.023;7019.824;7149.023;7041.357;7149.023;7149.023"	"10529.736;10637.402;10077.539;8893.213;8828.613;10379.004;10809.668;10831.201;10852.734;10852.734;10788.135;10702.002;10723.535;10831.201;10809.668;10831.201;10788.135;10658.936"	1.746	9	10852.734	211.289	"M"
"2"	2	"Spectrogram 1"	1	485.077646461	485.431469176	5544.737	11089.474	4758.838	0.1814	6029.297	10788.135	7041.357	"5749.365;5663.232;5598.633;5792.432;5706.299;6029.297;6072.363;6029.297;6093.896;6093.896;6158.496;6115.430;6136.963;6093.896;5986.230;6007.764;5964.697;5943.164;5878.564;5921.631"	"7579.688;7428.955;8139.551;7299.756;6093.896;6589.160;7213.623;7192.090;7062.891;7256.689;7192.090;7019.824;6998.291;7084.424;7105.957;6912.158;7084.424;7192.090;7084.424;7084.424"	"10658.936;10680.469;10702.002;10809.668;9517.676;8850.146;10594.336;10917.334;10788.135;10852.734;10852.734;10874.268;10745.068;10874.268;10895.801;10917.334;10702.002;10852.734;10809.668;10508.203"	-2.561	10	10766.602	211.289	"M"
"3"	3	"Spectrogram 1"	1	486.168599834	486.551907776	5544.737	11089.474	4758.838	0.1995	6029.297	10788.135	7105.957	"5770.898;5770.898;5943.164;6029.297;6072.363;6072.363;6158.496;6115.430;6072.363;6007.764;6050.830;6115.430;6093.896;5943.164;5857.031;6007.764;5943.164;6029.297;5770.898;5900.098;6115.430"	"7816.553;6653.760;6373.828;6890.625;7235.156;7192.090;7170.557;7299.756;7213.623;7062.891;7235.156;7127.490;6976.758;7321.289;7170.557;7170.557;7192.090;7407.422;7536.621;7515.088;7773.486"	"10680.469;10508.203;7450.488;9991.406;10895.801;10917.334;10788.135;10831.201;10852.734;10852.734;10874.268;10874.268;10895.801;10874.268;10917.334;10702.002;10831.201;10895.801;10895.801;10594.336;10723.535"	3.62	9	10895.801	212.476	"M"
"4"	4	"Spectrogram 1"	1	487.406979339	487.790287281	5480.263	11218.421	5060.303	0.1814	5943.164	11003.467	7084.424	"5641.699;5641.699;5534.033;5835.498;5921.631;6029.297;6050.830;6136.963;6115.430;5986.230;5986.230;5964.697;5921.631;5878.564;5857.031;5857.031;5943.164;5878.564;5684.766;5792.432;5749.365"	"7687.354;7644.287;6007.764;6158.496;6675.293;8936.279;9754.541;9668.408;7364.355;7192.090;6998.291;7149.023;7084.424;7149.023;7062.891;6890.625;7170.557;6847.559;7019.824;7084.424;7364.355"	"10852.734;10831.201;10529.736;7105.957;10034.473;11003.467;11025.000;11025.000;11046.533;11025.000;11003.467;10981.934;10981.934;10981.934;11003.467;10917.334;10960.400;10637.402;10852.734;10529.736;10938.867"	2.315	11	11025	269.453	"M"
"5"	5	"Spectrogram 1"	1	488.556903165	488.940211107	4706.579	11218.421	5318.701	0.1995	5641.699	10960.4	7019.824	"4909.570;4888.037;4931.104;4952.637;5146.436;6029.297;6007.764;6115.430;6115.430;6050.830;5684.766;6007.764;5534.033;5490.967;5404.834;6115.430;5318.701;5404.834;5211.035;4844.971;5103.369"	"7385.889;7450.488;7321.289;6782.959;6115.430;7105.957;7321.289;9733.008;8311.816;7105.957;7192.090;7127.490;7062.891;7105.957;7105.957;6610.693;6804.492;6804.492;6998.291;6804.492;6998.291"	"10852.734;10852.734;10702.002;10960.400;6847.559;9991.406;10960.400;11003.467;10960.400;10960.400;10960.400;10960.400;10938.867;10895.801;10852.734;10917.334;10895.801;10917.334;10938.867;10637.402;10895.801"	1.484	10	10960.4	213.663	"M"
"6"	6	"Spectrogram 1"	1	489.677341764	490.090134933	4900	11153.947	5038.77	0.2358	5921.631	10960.4	7062.891	"5146.436;5232.568;5211.035;5167.969;5555.566;6050.830;6072.363;6136.963;6115.430;6007.764;5986.230;6007.764;6007.764;5512.500;5770.898;5620.166;5835.498;5469.434;5211.035;5361.768;5749.365;5189.502;5598.633"	"7213.623;7170.557;7192.090;6093.896;6782.959;7084.424;7536.621;9065.479;7472.021;7235.156;7192.090;7105.957;7084.424;7149.023;7105.957;6976.758;6933.691;6976.758;6998.291;6761.426;6610.693;6739.893;6804.492"	"10766.602;10615.869;10314.404;7019.824;9819.141;10938.867;10981.934;10981.934;10981.934;10960.400;10960.400;10981.934;10938.867;10960.400;10831.201;10831.201;10938.867;10422.070;10745.068;10379.004;10163.672;10723.535;10723.535"	-0.917	13	10981.934	197.045	"M"
"7"	7	"Spectrogram 1"	1	490.82726559	491.181088306	4642.105	11218.421	5017.236	0.1633	6007.764	11025	7105.957	"4995.703;5017.236;4888.037;5167.969;6093.896;6180.029;6158.496;6287.695;6072.363;6029.297;6029.297;5792.432;5469.434;5792.432;5469.434;5081.836;5232.568;5146.436;5017.236;4909.570"	"7041.357;6955.225;6416.895;6158.496;7105.957;9366.943;7235.156;8914.746;7235.156;7019.824;7170.557;7105.957;7256.689;7235.156;6976.758;7019.824;6976.758;7062.891;7062.891;7084.424"	"10529.736;10443.604;10486.670;6933.691;9948.340;11046.533;11003.467;11046.533;11025.000;11046.533;11003.467;11025.000;11046.533;11025.000;10960.400;10981.934;10529.736;11025.000;11003.467;10895.801"	-0.437	11	11046.533	225.533	"M"
"8"	8	"Spectrogram 1"	1	491.888733737	492.331012132	5480.263	11218.421	4909.57	0.1633	6050.83	10960.4	7041.357	"5835.498;5577.100;5706.299;5921.631;6072.363;6136.963;6180.029;6136.963;6158.496;6136.963;6180.029;6201.562;6136.963;5964.697;6029.297;5964.697;5986.230;6093.896;5943.164;5986.230;5835.498;5813.965;5986.230;5641.699"	"7149.023;6610.693;6072.363;6869.092;6955.225;7192.090;7278.223;7127.490;7149.023;7105.957;7127.490;7149.023;7062.891;6998.291;7127.490;7213.623;7213.623;7170.557;7170.557;7149.023;6912.158;7192.090;7062.891;7235.156"	"10658.936;10658.936;8096.484;9043.945;10917.334;11025.000;11025.000;11003.467;11003.467;10960.400;10981.934;11046.533;10981.934;10745.068;10895.801;11025.000;11068.066;10745.068;10809.668;10895.801;10702.002;10788.135;10895.801;10852.734"	-0.052	12	7321.289	48.668	"M"
"9"	9	"Spectrogram 1"	1	492.97968711	493.392480279	5544.737	11347.368	5038.77	0.1633	6093.896	11132.666	7062.891	"5706.299;5749.365;5727.832;5986.230;6093.896;6136.963;6373.828;6266.162;6136.963;6373.828;6180.029;6180.029;6180.029;6007.764;6050.830;6136.963;6050.830;6072.363;5835.498;5900.098;5921.631;5921.631;6007.764"	"7579.688;7579.688;6050.830;6890.625;6933.691;7385.889;10163.672;7256.689;7192.090;6976.758;7127.490;7149.023;7019.824;6998.291;7105.957;7019.824;7428.955;7062.891;7192.090;7278.223;7170.557;7192.090;7278.223"	"10788.135;10852.734;9366.943;7428.955;11089.600;11154.199;11175.732;11089.600;11154.199;11111.133;11111.133;11154.199;11089.600;11111.133;11089.600;11025.000;11089.600;10788.135;11068.066;11068.066;10745.068;11089.600;10895.801"	3.237	13	11154.199	237.404	"M"
"10"	10	"Spectrogram 1"	1	494.10012571	494.453948426	5415.789	11347.368	5017.236	0.1451	6072.363	11089.6	7019.824	"5727.832;5684.766;5727.832;5921.631;6007.764;6115.430;6266.162;6180.029;6158.496;6093.896;6093.896;6115.430;6050.830;5986.230;6158.496;6050.830;6180.029;6029.297;5878.564"	"6567.627;7493.555;6998.291;6739.893;6890.625;7385.889;9087.012;7019.824;7105.957;7019.824;6998.291;6998.291;7041.357;7192.090;6998.291;7084.424;7213.623;7041.357;7192.090"	"10637.402;10766.602;10809.668;7105.957;10185.205;11111.133;11132.666;11046.533;11068.066;11068.066;10788.135;11025.000;11089.600;11089.600;11111.133;11068.066;11068.066;10981.934;11068.066"	0.989	9	11089.6	229.094	"M"
