"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	713.089408189	713.502201357	4835.526	11025	4608.105	0.1814	6180.029	10788.135	7019.824	"5103.369;5060.303;6050.830;6158.496;6266.162;6287.695;6180.029;6180.029;6029.297;6223.096;5921.631;5878.564;5857.031;5835.498;6007.764;5878.564;5792.432;5749.365;5620.166;5490.967;5598.633;5663.232"	"7084.424;7041.357;6761.426;6869.092;6998.291;7105.957;7558.154;7041.357;7041.357;7192.090;7730.420;7041.357;6976.758;6976.758;7084.424;7019.824;7105.957;7019.824;6955.225;7105.957;6933.691;6912.158"	"10529.736;10465.137;7192.090;9560.742;10529.736;10788.135;10809.668;10766.602;10745.068;10809.668;10831.201;10852.734;10809.668;10766.602;10788.135;10809.668;10766.602;10831.201;10572.803;10788.135;10809.668;10831.201"	0.283	13	10831.201	217.224	"M"
"2"	2	"Spectrogram 1"	1	714.062420657	714.416243373	4900	11089.474	4737.305	0.1451	6180.029	10917.334	6998.291	"5297.168;5490.967;5275.635;6093.896;6158.496;6266.162;6266.162;6201.562;6266.162;5964.697;6115.430;6072.363;5964.697;6180.029;5964.697;5878.564;6029.297;5749.365;5555.566;5684.766"	"6653.760;6653.760;6352.295;6782.959;6869.092;7062.891;7170.557;7170.557;8548.682;7127.490;7019.824;8871.680;7062.891;7170.557;7213.623;6998.291;7019.824;7493.555;6912.158;7105.957"	"10465.137;10228.271;9862.207;7192.090;10120.605;10917.334;10917.334;10938.867;10917.334;10917.334;10788.135;10938.867;10874.268;10895.801;10917.334;10831.201;10874.268;10960.400;10895.801;10745.068"	0.75	11	10938.867	235.03	"M"
"3"	3	"Spectrogram 1"	1	716.037930819	716.450723988	5028.947	11218.421	4737.305	0.1633	6309.229	11046.533	7105.957	"5447.900;5512.500;5684.766;6136.963;6244.629;6589.160;6503.027;6309.229;6244.629;6136.963;6223.096;6416.895;6136.963;6266.162;6115.430;6115.430;6050.830;6093.896;6158.496;6136.963;5964.697;5878.564;5878.564"	"6955.225;6782.959;6352.295;6739.893;6890.625;7127.490;8979.346;7235.156;7450.488;7708.887;8850.146;7105.957;7213.623;7019.824;7105.957;7084.424;7149.023;6998.291;7170.557;6912.158;7235.156;8268.750;8505.615"	"10400.537;10615.869;10012.939;7235.156;10400.537;11046.533;11046.533;11046.533;11046.533;11025.000;11046.533;11089.600;11046.533;11046.533;10960.400;10981.934;10895.801;10917.334;11003.467;11003.467;11003.467;10874.268;10852.734"	4.694	16	11046.533	237.404	"M"
"4"	4	"Spectrogram 1"	1	718.160867114	718.514689829	4577.632	11282.895	5060.303	0.1451	6072.363	11132.666	7019.824	"4780.371;4844.971;5943.164;5943.164;6072.363;6287.695;6115.430;6201.562;6029.297;6244.629;6158.496;6050.830;6115.430;6115.430;5986.230;5986.230;6007.764;5813.965;6029.297;5490.967"	"6804.492;6352.295;6696.826;6696.826;6890.625;7149.023;7149.023;7235.156;7235.156;7192.090;7493.555;9065.479;7062.891;6955.225;8139.551;7213.623;7127.490;6912.158;6933.691;7041.357"	"10658.936;9991.406;7084.424;7084.424;9625.342;11154.199;11132.666;11154.199;11175.732;11175.732;11175.732;11175.732;11154.199;11025.000;11154.199;11111.133;11175.732;11111.133;11003.467;11003.467"	0	6	11132.666	245.713	"M"
"5"	5	"Spectrogram 1"	1	718.98645345	719.340276166	4448.684	11411.842	4974.17	0.1451	6201.562	11175.732	7084.424	"4758.838;5103.369;6050.830;6201.562;6287.695;6266.162;6266.162;6287.695;6266.162;6266.162;6266.162;6072.363;6115.430;6115.430;6007.764;6244.629;6115.430;5813.965;5964.697"	"6869.092;6395.361;6890.625;6998.291;7127.490;7170.557;7213.623;7192.090;7170.557;8074.951;7385.889;7278.223;8505.615;7235.156;7364.355;7041.357;7149.023;7019.824;7019.824"	"10529.736;7041.357;7342.822;10788.135;11154.199;11175.732;11197.266;11218.799;11240.332;11240.332;11240.332;11240.332;11261.865;11175.732;11175.732;11154.199;11218.799;10766.602;11175.732"	1.187	8	11240.332	227.907	"M"
"6"	6	"Spectrogram 1"	1	719.605643202	720.018436371	3932.895	11476.316	5103.369	0.1633	6115.43	11218.799	7149.023	"4155.908;4306.641;5964.697;6158.496;6309.229;6244.629;6438.428;5900.098;6115.430;6029.297;5857.031;6029.297;5878.564;6136.963;5426.367;6007.764;5297.168;5490.967;5512.500;5555.566;5749.365;5447.900;4521.973"	"6524.561;6029.297;6761.426;6869.092;7127.490;7299.756;7299.756;7472.021;7213.623;7170.557;7278.223;7192.090;7084.424;7019.824;6998.291;7084.424;6998.291;7105.957;7084.424;7192.090;7041.357;6976.758;7192.090"	"10594.336;10422.070;7019.824;8268.750;10831.201;10960.400;11240.332;11261.865;11240.332;11218.799;11240.332;11240.332;11261.865;10895.801;10917.334;11283.398;10852.734;11132.666;11111.133;11240.332;10938.867;11132.666;10895.801"	1.727	11	11240.332	238.591	"M"
"7"	7	"Spectrogram 1"	1	720.224832955	720.608140897	3997.368	11540.789	4931.104	0.1451	6223.096	11154.199	7127.49	"4328.174;4823.438;6093.896;6201.562;6438.428;6481.494;6330.762;6201.562;6158.496;6093.896;6136.963;6029.297;6072.363;6158.496;6072.363;5986.230;5878.564;5663.232;5598.633;5512.500"	"6761.426;6072.363;6890.625;6933.691;7278.223;7256.689;7256.689;7342.822;7127.490;7213.623;7450.488;7342.822;7235.156;7235.156;7235.156;7256.689;7278.223;7256.689;7256.689;7149.023"	"10788.135;6847.559;7278.223;9625.342;10938.867;11154.199;11197.266;11197.266;11175.732;11304.932;11304.932;11283.398;11261.865;11197.266;11283.398;11283.398;11304.932;11283.398;11261.865;11240.332"	5.31	7	11283.398	243.339	"M"
"8"	8	"Spectrogram 1"	1	720.90299316	721.345271555	3932.895	11476.316	4888.037	0.1451	6266.162	11154.199	7149.023	"4198.975;4931.104;6115.430;6287.695;6373.828;6395.361;6287.695;6309.229;6244.629;6115.430;6050.830;6093.896;6136.963;6093.896;6072.363;6158.496;6029.297;5878.564;5878.564;5706.299;5383.301;5254.102;5490.967;4844.971;4435.840"	"6589.160;6244.629;6890.625;6955.225;7299.756;7299.756;7299.756;7299.756;7192.090;7213.623;7235.156;7213.623;7213.623;7213.623;7213.623;7235.156;7278.223;7192.090;7235.156;7041.357;7105.957;6998.291;7127.490;7213.623;7105.957"	"10594.336;6826.025;7278.223;9582.275;11111.133;11154.199;11218.799;11240.332;11218.799;11240.332;11261.865;11304.932;11283.398;11132.666;11154.199;11283.398;11283.398;10874.268;11132.666;10981.934;10960.400;10809.668;10723.535;11154.199;10938.867"	0.791	16	11304.932	246.9	"M"
"9"	9	"Spectrogram 1"	1	721.551668139	721.993946533	4126.316	11476.316	4909.57	0.1633	6309.229	11218.799	7192.09	"4521.973;4543.506;4758.838;6029.297;6180.029;6395.361;6481.494;6416.895;6352.295;6373.828;6309.229;6266.162;6287.695;6503.027;6244.629;6050.830;6266.162;6136.963;6180.029;6029.297;6115.430;5792.432;5878.564;5857.031"	"6782.959;6847.559;5921.631;6782.959;6933.691;7278.223;7321.289;7299.756;7450.488;7450.488;7170.557;7428.955;7407.422;7235.156;7321.289;7278.223;7278.223;7278.223;7192.090;7278.223;7385.889;7299.756;7105.957;7256.689"	"10788.135;10895.801;7751.953;7192.090;7708.887;10508.203;11218.799;11240.332;11240.332;11283.398;11197.266;11240.332;11283.398;11304.932;11240.332;11089.600;11218.799;11283.398;11218.799;11132.666;11132.666;10960.400;10702.002;10766.602"	1.445	10	11261.865	211.289	"M"
"10"	10	"Spectrogram 1"	1	722.141372665	722.583651059	4061.842	11540.789	4866.504	0.1451	6287.695	11154.199	7342.822	"4543.506;5017.236;6158.496;6352.295;6459.961;6718.359;6050.830;6266.162;6244.629;6093.896;6180.029;6050.830;6050.830;6115.430;5900.098;6050.830;5964.697;5900.098;5297.168;5340.234;5770.898;5727.832;5943.164;5081.836"	"4866.504;6739.893;6998.291;7062.891;7450.488;7364.355;7472.021;7407.422;7450.488;7321.289;7515.088;7213.623;7450.488;7256.689;7407.422;7407.422;7213.623;7472.021;7450.488;7235.156;7407.422;7278.223;7364.355;7256.689"	"9733.008;7019.824;7536.621;7558.154;10249.805;11283.398;11326.465;11175.732;11283.398;11111.133;11283.398;11111.133;11197.266;11089.600;11089.600;11089.600;11304.932;11132.666;11175.732;11197.266;11240.332;10938.867;11261.865;10809.668"	5.883	12	7493.555	108.019	"M"
