"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	131.228822	131.473667	5253.1	10476.8	1787.256	0.127	5943.164	7730.42	7019.824	"5555.566;5469.434;5835.498;5835.498;6266.162;6266.162;6180.029;6050.830;6180.029;5964.697;6158.496;6029.297;6266.162;6201.562"	"7472.021;7428.955;6244.629;6244.629;7084.424;7041.357;6955.225;6782.959;7084.424;6976.758;6847.559;7062.891;6912.158;7256.689"	"9711.475;9905.273;7170.557;7170.557;7601.221;7407.422;9065.479;8914.746;8570.215;9000.879;8764.014;8828.613;8957.812;9668.408"	-2.283	7	7708.887	48.668	"M"
"2"	2	"Spectrogram 1"	1	131.9633571	132.2606689	5238.4	10598.6	2045.654	0.127	6072.363	8118.018	6933.691	"5835.498;6007.764;6352.295;6180.029;6201.562;6180.029;6223.096;6180.029;6180.029;6158.496;6223.096;6029.297;5900.098;5943.164;6180.029;5835.498"	"6309.229;6912.158;7019.824;6933.691;6847.559;6912.158;6933.691;6955.225;6976.758;7019.824;6998.291;7062.891;7170.557;7192.090;7170.557;7213.623"	"7170.557;7579.688;7773.486;9237.744;9151.611;9151.611;9173.145;8807.080;9000.879;9237.744;9173.145;9323.877;9711.475;9582.275;9345.410;9862.207"	3.798	8	7342.822	40.359	"M"
"3"	3	"Spectrogram 1"	1	132.7153811	133.0301819	5123.4	10441.3	1550.391	0.1633	6115.43	7665.82	6890.625	"5404.834;5254.102;6007.764;6029.297;6180.029;6309.229;6115.430;6115.430;6223.096;5620.166;6093.896;6136.963;6136.963;6029.297;6115.430;6136.963;5964.697;6180.029"	"7213.623;7041.357;6653.760;6653.760;6955.225;6955.225;6869.092;6890.625;6847.559;6912.158;7041.357;6804.492;6976.758;7062.891;7192.090;7278.223;7321.289;7795.020"	"9883.740;9711.475;7149.023;7127.490;7428.955;7472.021;7601.221;7601.221;7708.887;9022.412;7945.752;8096.484;8333.350;8742.480;9108.545;9948.340;9668.408;9840.674"	3.072	9	7945.752	55.79	"M"
"4"	4	"Spectrogram 1"	1	133.4674052	133.7472281	4669.4	10441.3	2411.719	0.1451	5577.1	7988.818	6998.291	"5124.902;5060.303;5275.635;6050.830;6029.297;6244.629;5663.232;6072.363;5598.633;5684.766;5447.900;5383.301;5232.568;6050.830;5167.969"	"7924.219;5878.564;6675.293;6761.426;6976.758;7149.023;7041.357;7235.156;7019.824;7170.557;6998.291;7041.357;7084.424;7278.223;7493.555"	"9948.340;8548.682;7428.955;7428.955;8053.418;8871.680;7708.887;8031.885;8031.885;9000.879;9043.945;8613.281;8850.146;9065.479;9539.209"	-9.835	6	9625.342	80.717	"M"
"5"	5	"Spectrogram 1"	1	134.1669625	134.4462109	4539.7	10765.6	1658.057	0.1451	6029.297	7687.354	7062.891	"5060.303;4780.371;4844.971;5921.631;6072.363;6223.096;6201.562;6115.430;6029.297;6072.363;6050.830;6007.764;6072.363;5921.631;5663.232;5921.631"	"7493.555;7579.688;5986.230;6610.693;7278.223;7278.223;7235.156;7019.824;7062.891;7105.957;7127.490;7127.490;7127.490;7062.891;7278.223;7321.289"	"10249.805;10249.805;9237.744;7105.957;7622.754;7708.887;7665.820;7665.820;8074.951;7730.420;8914.746;8957.812;9194.678;9216.211;9517.676;9453.076"	8.942	6	9194.678	121.076	"M"
"6"	6	"Spectrogram 1"	1	134.8840087	135.195732	4604.6	10571	2411.719	0.1451	5318.701	7730.42	7105.957	"5038.770;5038.770;5211.035;6352.295;5555.566;6136.963;5534.033;5490.967;5598.633;5404.834;5340.234;5383.301;5211.035;5017.236;4737.305;4715.771;4823.438"	"5340.234;5297.168;6223.096;7364.355;7127.490;7170.557;7149.023;6998.291;7041.357;6933.691;6976.758;7213.623;7235.156;7084.424;6589.160;6653.760;6136.963"	"9022.412;8677.881;6890.625;7708.887;7967.285;7751.953;8053.418;8074.951;8807.080;7924.219;8247.217;8333.350;9022.412;8742.480;8397.949;8591.748;8527.148"	0.371	8	7385.889	117.515	"M"
"7"	7	"Spectrogram 1"	1	135.6884995	136.0382781	4604.6	10635.9	2454.785	0.1451	5254.102	7708.887	7062.891	"4995.703;4909.570;5211.035;5275.635;5490.967;5469.434;5211.035;5404.834;6136.963;5361.768;5297.168;5706.299;5167.969;5167.969;5447.900;5318.701;5103.369;5146.436;5124.902;5038.770"	"7902.686;5297.168;6373.828;6912.158;7235.156;7105.957;7062.891;7062.891;7127.490;6826.025;7062.891;6976.758;7105.957;6976.758;7192.090;6998.291;7127.490;7192.090;6955.225;7127.490"	"9711.475;8505.615;7084.424;7622.754;7687.354;7924.219;7924.219;7945.752;7751.953;8031.885;8118.018;7730.420;8139.551;8720.947;8936.279;8613.281;8807.080;8957.812;8699.414;9043.945"	-4.686	11	8462.549	61.725	"M"
"8"	8	"Spectrogram 1"	1	136.6808942	136.9862546	4345.1	10311.6	2605.518	0.1451	5081.836	7687.354	6976.758	"5254.102;5124.902;4780.371;4909.570;6287.695;6050.830;5275.635;5038.770;5081.836;5555.566;5124.902;5189.502;5017.236;4952.637;5038.770;4715.771;4974.170"	"7945.752;7859.619;4909.570;6244.629;7192.090;7105.957;7149.023;6976.758;6955.225;6912.158;7084.424;6933.691;7127.490;6826.025;6998.291;6847.559;6782.959"	"9259.277;9560.742;8979.346;7105.957;7536.621;7665.820;7751.953;7708.887;7945.752;7644.287;8010.352;7902.686;8290.283;8893.213;8828.613;9108.545;9539.209"	-4.822	9	9108.545	77.156	"M"
"9"	9	"Spectrogram 1"	1	137.2777351	137.6386156	4345.1	11219.6	2713.184	0.1633	5211.035	7924.219	7041.357	"4371.240;4392.773;4866.504;5167.969;5361.768;5404.834;5318.701;5383.301;5297.168;5146.436;4780.371;4888.037;4801.904;5081.836;4715.771;4435.840;4694.238;4844.971;4457.373;4457.373"	"6998.291;7321.289;5146.436;5447.900;7299.756;7192.090;7019.824;7278.223;7213.623;7084.424;7213.623;7170.557;7256.689;7235.156;6998.291;7192.090;7127.490;7170.557;6955.225;6955.225"	"9539.209;10637.402;8225.684;6847.559;7881.152;8182.617;8074.951;7816.553;8570.215;8204.150;8268.750;8570.215;8785.547;8634.814;8871.680;8979.346;8699.414;8720.947;9130.078;8807.080"	9.371	6	7601.221	96.148	"M"
"10"	10	"Spectrogram 1"	1	137.9270828	138.2354565	4572.1	10960.1	2863.916	0.1451	5232.568	8096.484	7019.824	"4909.570;5189.502;5275.635;5404.834;5383.301;5404.834;5447.900;5232.568;5361.768;5275.635;5383.301;5383.301;5447.900;5254.102;5361.768;5189.502;5383.301"	"5232.568;5555.566;6739.893;7342.822;7278.223;7256.689;7105.957;7192.090;7299.756;7256.689;7385.889;7428.955;7256.689;7149.023;7364.355;7149.023;7213.623"	"5555.566;7192.090;7902.686;8096.484;8376.416;8376.416;8354.883;8290.283;8656.348;8354.883;8161.084;8914.746;8484.082;8376.416;8828.613;8893.213;10917.334"	19.734	10	10938.867	212.476	"M"
