"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	59.37668888	60.06766495	5116.866	13346.053	5081.836	0.254	7665.82	12747.656	10465.137	"6309.229;6481.494;11175.732;12080.127;11993.994;12446.191;11821.729;11369.531;10981.934;10658.936;10486.670;10335.938;10163.672;10034.473;9733.008;8613.281;6955.225;6912.158;6933.691;7041.357;6976.758;6890.625;6826.025;6761.426;6890.625;6890.625;6782.959;6739.893;6804.492;6739.893;6761.426;6567.627;6718.359;6739.893;6244.629;6696.826;6589.160"	"6955.225;7084.424;12510.791;13092.188;13006.055;12596.924;12080.127;11606.396;11563.330;11025.000;10615.869;10465.137;10292.871;10185.205;10163.672;9948.340;9603.809;9689.941;9302.344;9926.807;9711.475;9022.412;9582.275;8807.080;8656.348;9711.475;9087.012;8957.812;9840.674;6998.291;6933.691;7213.623;7170.557;7149.023;7967.285;6976.758;6955.225"	"10465.137;11735.596;12790.723;13156.787;13135.254;12984.521;13070.654;12553.857;12919.922;12618.457;11778.662;11649.463;11089.600;10981.934;11046.533;10809.668;10615.869;10702.002;10917.334;10615.869;10874.268;10874.268;10874.268;10874.268;10809.668;10658.936;10702.002;10572.803;10465.137;10228.271;10422.070;10615.869;10400.537;10379.004;10486.670;10228.271;9388.477"	-0.099	15	13113.721	308.625	"F"
"2"	2	"Spectrogram 1"	1	61.67994245	62.14059316	5433.373	13029.545	4823.438	0.254	7364.355	12187.793	10163.672	"6761.426;6782.959;11907.861;11714.062;11261.865;10895.801;10594.336;10314.404;10142.139;9948.340;9668.408;9496.143;7751.953;6847.559;6955.225;6869.092;6847.559;6912.158;6761.426;6782.959;6761.426;6847.559;6761.426;6826.025"	"11627.930;11864.795;12575.391;12037.061;11714.062;11347.998;11111.133;10572.803;10335.938;10271.338;10056.006;9969.873;9625.342;9151.611;9733.008;9582.275;9603.809;9280.811;9216.211;8785.547;8893.213;9366.943;8527.148;8161.084"	"12489.258;12855.322;12876.855;12898.389;12704.590;12424.658;11929.395;11886.328;11670.996;11283.398;11240.332;10981.934;10788.135;10658.936;10486.670;10723.535;10788.135;10831.201;10594.336;10702.002;10572.803;10594.336;10637.402;10572.803"	-11.302	10	12876.855	170.931	"F"
"3"	3	"Spectrogram 1"	1	62.14059316	62.37091851	5908.134	8334.689	1291.992	0.1814	6718.359	8010.352	7170.557	"6675.293;6761.426;6696.826;6718.359;6847.559;6761.426;6761.426;6653.760;6739.893;6761.426;6546.094;6610.693"	"6976.758;6955.225;6998.291;7062.891;7428.955;7321.289;7299.756;7105.957;7041.357;7213.623;7213.623;7127.490"	"8031.885;7902.686;7924.219;7730.420;8010.352;8031.885;8118.018;7859.619;8031.885;8096.484;7924.219;7838.086"	-0.108	3	7536.621	27.301	"M"
"4"	4	"Spectrogram 1"	1	62.61403972	62.84436508	5090.49	8413.816	2239.453	0.1451	5727.832	7967.285	7041.357	"5555.566;5426.367;5900.098;5770.898;5663.232;5684.766;6029.297;6029.297;5964.697;5986.230;6050.830;5900.098"	"6955.225;6782.959;7256.689;7235.156;7278.223;7213.623;6912.158;7019.824;6998.291;6998.291;6998.291;7149.023"	"7235.156;7127.490;7859.619;8010.352;8139.551;7967.285;7773.486;8118.018;7924.219;7795.020;7902.686;7838.086"	1.403	7	7385.889	17.805	"M"
"5"	5	"Spectrogram 1"	1	62.80597752	63.29221994	5591.627	12924.043	5146.436	0.254	7256.689	12403.125	10056.006	"6093.896;6373.828;6739.893;6847.559;12166.260;11541.797;11261.865;10723.535;10314.404;10163.672;9948.340;9689.941;9560.742;9043.945;7256.689;6826.025;6933.691;6890.625;6826.025;6890.625;6782.959;6826.025;6804.492;6847.559;6847.559"	"7149.023;7105.957;6998.291;12467.725;12553.857;12144.727;11757.129;11261.865;10788.135;10379.004;10163.672;10056.006;9969.873;9689.941;9496.143;9539.209;9453.076;9173.145;9280.811;9582.275;9130.078;8871.680;8828.613;8785.547;9496.143"	"9323.877;8462.549;11972.461;12704.590;12661.523;12683.057;12596.924;12424.658;12037.061;11950.928;11347.998;11218.799;10615.869;10680.469;10551.270;10422.070;10551.270;10788.135;10723.535;10594.336;10788.135;10379.004;10422.070;10249.805;10551.270"	5.886	11	12596.924	310.999	"F"
"6"	6	"Spectrogram 1"	1	63.29221994	63.548137	5275.12	9231.459	1550.391	0.1995	6610.693	8161.084	7256.689	"6459.961;6632.227;6826.025;6739.893;6610.693;6330.762;6244.629;6395.361;6524.561;6438.428;6416.895;6266.162;6416.895;6632.227"	"6998.291;7041.357;7428.955;7278.223;7127.490;7407.422;7407.422;7364.355;7278.223;7170.557;7041.357;7041.357;7170.557;7213.623"	"8914.746;7665.820;8139.551;8397.949;8053.418;8419.482;8441.016;8161.084;8096.484;8333.350;7967.285;7945.752;8247.217;8139.551"	1.37	6	7579.688	21.366	"M"
"7"	7	"Spectrogram 1"	1	63.75287065	64.23911307	5749.88	12765.789	4672.705	0.2721	7170.557	11843.262	9969.873	"6524.561;6524.561;5813.965;6459.961;6955.225;6976.758;6955.225;7213.623;7751.953;7579.688;8764.014;9776.074;9603.809;9237.744;8656.348;7149.023;6955.225;7062.891;7019.824;6847.559;6869.092;6976.758;6761.426;6869.092;6804.492;6782.959;6847.559"	"6976.758;6976.758;6782.959;7170.557;11907.861;11606.396;11369.531;10852.734;10615.869;10314.404;10120.605;10120.605;9969.873;9711.475;9517.676;9022.412;9410.010;9280.811;9130.078;9302.344;9345.410;9431.543;9173.145;8807.080;9000.879;9453.076;8548.682"	"8979.346;9280.811;9668.408;12510.791;12596.924;12381.592;12316.992;11950.928;11391.064;11391.064;10938.867;10938.867;10637.402;10422.070;10357.471;10379.004;10465.137;10292.871;10443.604;10400.537;10357.471;10271.338;10292.871;10206.738;10529.736;10486.670;10335.938"	0	8	12575.391	307.438	"F"
"8"	8	"Spectrogram 1"	1	63.79125821	64.02158357	5538.876	9547.967	2842.383	0.1814	6696.826	9539.209	7601.221	"5813.965;6093.896;6610.693;6589.160;6696.826;6459.961;6546.094;6546.094;6610.693;6373.828;6675.293;7622.754"	"6847.559;7019.824;7364.355;7579.688;7342.822;7472.021;7558.154;7235.156;7428.955;7644.287;7687.354;9517.676"	"7299.756;7428.955;7838.086;9000.879;8677.881;8634.814;8505.615;8247.217;8441.016;8720.947;9539.209;9539.209"	13.813	4	9539.209	102.084	"M"
"9"	9	"Spectrogram 1"	1	64.29029648	64.62298866	5380.622	9758.971	1550.391	0.1995	6675.293	8225.684	7385.889	"6718.359;6718.359;6546.094;6739.893;6847.559;6890.625;6826.025;6503.027;6459.961;6459.961;6503.027;6416.895;6589.160;6438.428;6416.895;6589.160;6459.961;6610.693"	"6976.758;6998.291;7062.891;7127.490;7515.088;7751.953;7536.621;7256.689;7558.154;7428.955;7558.154;6976.758;7084.424;7192.090;7192.090;7170.557;7342.822;6955.225"	"9345.410;9259.277;9689.941;7450.488;7795.020;8354.883;8397.949;8161.084;8247.217;8311.816;8333.350;8354.883;8376.416;8290.283;8247.217;8204.150;8376.416;7838.086"	0.07	8	7795.02	34.424	"M"
"10"	10	"Spectrogram 1"	1	64.69976378	65.26278132	5749.88	12765.789	4823.438	0.254	7084.424	11907.861	10163.672	"6696.826;6696.826;6718.359;6589.160;6696.826;12080.127;11606.396;6826.025;7041.357;6912.158;10228.271;7751.953;9926.807;9797.607;9496.143;8699.414;7407.422;6804.492;6847.559;6739.893;6976.758;6912.158;6782.959;6804.492;6976.758;6890.625;6632.227;6696.826;6761.426;6761.426;6675.293"	"6955.225;6976.758;6933.691;6933.691;11606.396;12510.791;12144.727;11412.598;11089.600;10637.402;10486.670;10249.805;10142.139;10077.539;10034.473;9582.275;9431.543;9582.275;9496.143;9130.078;9453.076;9151.611;9366.943;9216.211;9474.609;9323.877;8785.547;7170.557;7019.824;7665.820;7881.152"	"9194.678;8419.482;7838.086;7859.619;12295.459;12596.924;12446.191;12273.926;12123.193;11670.996;11218.799;11197.266;10981.934;10658.936;10637.402;10379.004;10314.404;10443.604;10292.871;10228.271;10335.938;10465.137;10335.938;10335.938;10615.869;10443.604;10443.604;10443.604;10271.338;10163.672;10206.738"	0	11	12510.791	306.251	"F"
"11"	11	"Spectrogram 1"	1	64.7765389	64.95568085	5591.627	9811.722	3380.713	0.1088	6395.361	9776.074	7041.357	"6395.361;6352.295;6007.764;6352.295;6459.961;6503.027;6503.027;6330.762;6201.562;6459.961"	"6933.691;6976.758;6589.160;6933.691;7062.891;7019.824;6998.291;7105.957;7407.422;9776.074"	"7730.420;7988.818;7472.021;7127.490;7665.820;8182.617;8204.150;8161.084;8225.684;9797.607"	17.41	4	9797.607	130.572	"M"
"12"	12	"Spectrogram 1"	1	65.26278132	65.51869838	5538.876	9969.976	2196.387	0.1814	6395.361	8591.748	7019.824	"6632.227;6718.359;6266.162;6416.895;6610.693;6524.561;6524.561;6416.895;6158.496;6136.963;6244.629;6373.828;6352.295;6244.629"	"7192.090;7149.023;6782.959;6890.625;7041.357;7321.289;7041.357;6998.291;7149.023;7149.023;6976.758;6955.225;6955.225;7084.424"	"9840.674;9905.273;9065.479;7213.623;7687.354;8893.213;9302.344;8527.148;8441.016;8634.814;8462.549;8354.883;8311.816;8333.350"	0.548	8	7256.689	21.366	"M"
"13"	13	"Spectrogram 1"	1	65.5698818	66.05612421	6277.392	12238.278	2906.982	0.2177	7924.219	10831.201	9948.34	"6610.693;6567.627;6524.561;7019.824;11046.533;10465.137;10292.871;10185.205;10099.072;9969.873;9797.607;9754.541;9388.477;9022.412;8548.682;7127.490;6933.691;6847.559;6847.559;6933.691;6955.225;6912.158;6955.225;6739.893;6782.959;6869.092;6503.027"	"6955.225;6912.158;7062.891;11800.195;11584.863;10874.268;10422.070;10249.805;10142.139;10034.473;9948.340;9819.141;9711.475;9582.275;9474.609;9237.744;9431.543;9130.078;9022.412;9173.145;9194.678;9302.344;9043.945;8850.146;8462.549;8699.414;8268.750"	"7730.420;8548.682;10852.734;12080.127;11993.994;11907.861;11068.066;10852.734;10529.736;10723.535;10314.404;10228.271;10292.871;10142.139;10142.139;10142.139;10142.139;10142.139;10163.672;10163.672;10099.072;10249.805;10185.205;10120.605;10163.672;10099.072;10056.006"	5.844	13	11929.395	274.201	"F"
"14"	14	"Spectrogram 1"	1	66.05612421	66.31204128	5538.876	10180.981	2993.115	0.1995	6481.494	9474.609	7105.957	"6481.494;6589.160;6632.227;6546.094;6632.227;6352.295;6072.363;6373.828;6481.494;6373.828;6266.162;6266.162;6503.027;6395.361"	"7041.357;7170.557;7493.555;7019.824;7105.957;7493.555;7364.355;7041.357;6912.158;6933.691;6998.291;6933.691;7105.957;6976.758"	"9840.674;9797.607;9431.543;9582.275;9237.744;9259.277;9280.811;8957.812;9087.012;8656.348;8850.146;9087.012;9043.945;8807.080"	1.004	6	7687.354	47.481	"M"
"15"	15	"Spectrogram 1"	1	66.26085786	66.7982837	5960.885	10761.244	2411.719	0.2902	7364.355	9776.074	9323.877	"6309.229;6524.561;6459.961;6459.961;6782.959;9410.010;9668.408;9625.342;9582.275;9517.676;9431.543;9345.410;9216.211;9065.479;8764.014;8419.482;7579.688;6869.092;6804.492;6826.025;6761.426;6869.092;6847.559;6632.227;6416.895;6459.961;6632.227;6567.627;6503.027;6459.961"	"6933.691;7105.957;6998.291;7105.957;10249.805;9948.340;9797.607;9711.475;9646.875;9582.275;9560.742;9431.543;9410.010;9237.744;9065.479;8957.812;9065.479;8720.947;8204.150;8720.947;8720.947;8419.482;8290.283;8290.283;8247.217;7407.422;7558.154;7601.221;7838.086;7536.621"	"9151.611;9173.145;8936.279;10314.404;10637.402;10465.137;10077.539;10099.072;9969.873;9776.074;9797.607;9668.408;9668.408;9560.742;9582.275;9474.609;9474.609;9474.609;9453.076;9517.676;9582.275;9689.941;9539.209;9517.676;9603.809;9474.609;9259.277;9366.943;9582.275;9453.076"	1.187	10	10357.471	180.427	"F"
"16"	16	"Spectrogram 1"	1	66.69591687	66.97742564	5697.129	8492.943	1765.723	0.2358	6395.361	8161.084	7256.689	"6395.361;6459.961;6503.027;6546.094;6503.027;6373.828;6266.162;6072.363;6223.096;6223.096;6136.963;6180.029;6416.895;6524.561;6416.895;6352.295"	"6933.691;6933.691;7536.621;7536.621;7558.154;7385.889;7170.557;7105.957;7192.090;7041.357;7170.557;7062.891;6976.758;6976.758;6955.225;6998.291"	"8397.949;8161.084;8053.418;8161.084;8182.617;8053.418;8182.617;8139.551;8333.350;8139.551;8161.084;8247.217;8118.018;7881.152;7902.686;8182.617"	-0.079	8	7967.285	65.286	"M"
