"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	79.74019015	80.28307222	3428.828	13135.048	5146.436	0.254	7472.021	12618.457	10379.004	"6696.826;6998.291;10852.734;11326.465;12360.059;11606.396;11154.199;10831.201;10572.803;10335.938;10163.672;9948.340;9754.541;8720.947;7127.490;6653.760;7041.357;6890.625;6890.625;6804.492;6912.158;6847.559;6826.025;6739.893;6761.426;6739.893;6632.227;6653.760;6459.961;6804.492"	"6998.291;12553.857;12596.924;12833.789;12661.523;11907.861;11498.730;11261.865;10960.400;10702.002;10314.404;10335.938;9926.807;9862.207;9560.742;9582.275;9453.076;9431.543;9410.010;9926.807;9453.076;9259.277;9754.541;9173.145;7493.555;8484.082;8591.748;8419.482;7342.822;6976.758"	"11670.996;12876.855;12876.855;12962.988;12919.922;12790.723;12575.391;12575.391;12252.393;11520.264;11175.732;11132.666;10938.867;10702.002;10723.535;11003.467;10788.135;10938.867;10594.336;10895.801;10680.469;10917.334;10723.535;10938.867;10745.068;10572.803;10551.270;10572.803;10529.736;10271.338"	-0.041	10	12941.455	313.373	"F"
"2"	2	"Spectrogram 1"	1	81.89362236	82.41840836	3692.584	12976.794	4995.703	0.2358	7515.088	12510.791	10249.805	"4521.973;6352.295;7256.689;12360.059;11584.863;11132.666;10723.535;10465.137;10292.871;10142.139;9883.740;9754.541;8764.014;7149.023;6847.559;7127.490;6890.625;7019.824;6933.691;6782.959;6739.893;6826.025;6739.893;6610.693;6718.359;6610.693;6524.561;6610.693;6610.693"	"6869.092;7816.553;12575.391;12618.457;11929.395;11477.197;10938.867;10572.803;10443.604;10292.871;10142.139;9926.807;9862.207;9689.941;9582.275;9496.143;9646.875;9819.141;9797.607;9625.342;9689.941;9410.010;8677.881;8290.283;9259.277;8634.814;8376.416;7084.424;6955.225"	"8247.217;11886.328;12747.656;12769.189;12704.590;12489.258;12618.457;12101.660;11455.664;11025.000;11068.066;10637.402;10529.736;10422.070;10357.471;10529.736;10572.803;10766.602;10508.203;10723.535;10572.803;10658.936;10551.270;10465.137;10572.803;10723.535;10658.936;10379.004;10292.871"	-0.085	14	12596.924	314.56	"F"
"3"	3	"Spectrogram 1"	1	82.49079264	82.70794547	5406.998	9336.962	1981.055	0.1633	6029.297	8010.352	6933.691	"6653.760;5878.564;5835.498;5964.697;5964.697;6029.297;6093.896;6309.229;6050.830;6007.764;5943.164;6029.297"	"6955.225;6933.691;6933.691;6524.561;6761.426;6976.758;6890.625;6933.691;6955.225;7062.891;6955.225;6912.158"	"7235.156;7235.156;7235.156;7730.420;8118.018;8204.150;8268.750;7773.486;8139.551;8053.418;8268.750;8311.816"	-0.324	2	7105.957	43.92	"M"
"4"	4	"Spectrogram 1"	1	82.94319436	83.41369216	3692.584	12871.292	5038.77	0.2358	7256.689	12295.459	10185.205	"6869.092;6912.158;10465.137;6696.826;7450.488;7730.420;7730.420;10249.805;10077.539;9862.207;9668.408;8893.213;7385.889;6804.492;6955.225;6933.691;6826.025;6955.225;6782.959;6761.426;6718.359;6696.826;6826.025;6524.561;6589.160;6718.359"	"11520.264;11714.062;12639.990;11972.461;11477.197;10895.801;10529.736;10335.938;10292.871;10120.605;9926.807;9689.941;9539.209;9474.609;9388.477;9625.342;9345.410;9539.209;9345.410;9043.945;9280.811;8957.812;9087.012;9022.412;8419.482;6998.291"	"12446.191;12467.725;12704.590;12639.990;12575.391;12639.990;11649.463;11434.131;11068.066;11025.000;10680.469;10615.869;10314.404;10615.869;10443.604;10551.270;10529.736;10400.537;10723.535;10572.803;10422.070;10637.402;10508.203;10314.404;10271.338;9969.873"	0.047	11	12661.523	314.56	"F"
"5"	5	"Spectrogram 1"	1	82.96129043	83.17844326	5275.12	9706.22	3122.314	0.1451	6524.561	9646.875	9087.012	"6739.893;5727.832;6136.963;6115.430;6050.830;6201.562;6115.430;6007.764;5986.230;6761.426;8720.947;7235.156"	"6933.691;6180.029;6675.293;7062.891;7235.156;6955.225;6955.225;7170.557;6976.758;9646.875;9194.678;8871.680"	"7084.424;7041.357;7385.889;8333.350;8871.680;8807.080;8462.549;8354.883;8527.148;9689.941;9646.875;9625.342"	13.057	7	9668.408	147.19	"M"
"6"	6	"Spectrogram 1"	1	83.5041725	83.72132533	5960.885	11288.756	2734.717	0.1814	6567.627	9302.344	7235.156	"6696.826;6804.492;6782.959;6438.428;6459.961;6610.693;6696.826;6503.027;6632.227;6438.428;6481.494;6632.227"	"7342.822;7644.287;7730.420;7859.619;7665.820;6976.758;6955.225;7127.490;7407.422;7019.824;7041.357;6955.225"	"9151.611;9194.678;9969.873;9582.275;9539.209;9173.145;8850.146;9237.744;10056.006;9000.879;9108.545;8290.283"	-0.108	5	8979.346	70.034	"M"
"7"	7	"Spectrogram 1"	1	83.94752619	84.18277509	5459.749	10813.995	4177.441	0.1814	6589.16	10766.602	10400.537	"6007.764;5964.697;6244.629;6416.895;6373.828;6287.695;6266.162;6309.229;6266.162;6373.828;7041.357;10400.537;10206.738"	"6782.959;6589.160;6847.559;7450.488;7708.887;7127.490;7149.023;7127.490;7170.557;7364.355;10766.602;10529.736;10335.938"	"7127.490;7105.957;7601.221;8957.812;9345.410;9302.344;9216.211;9323.877;9366.943;10615.869;10809.668;10788.135;10766.602"	15.036	6	10766.602	207.728	"M"
"8"	8	"Spectrogram 1"	1	84.01086244	84.51755237	3587.081	12818.541	4952.637	0.254	7364.355	12316.992	10142.139	"6352.295;6287.695;6459.961;7127.490;11326.465;10895.801;10637.402;10400.537;10206.738;10034.473;9797.607;9646.875;8807.080;7450.488;6826.025;6912.158;6890.625;6675.293;6804.492;6826.025;6761.426;6804.492;6675.293;6739.893;6761.426;6761.426;6589.160;6459.961"	"7708.887;7235.156;11950.928;12596.924;11800.195;11326.465;10895.801;10594.336;10422.070;10271.338;10077.539;9862.207;9625.342;9582.275;9560.742;9560.742;9474.609;9496.143;9453.076;9194.678;9108.545;9345.410;8139.551;8290.283;9410.010;8376.416;8397.949;6998.291"	"9539.209;10465.137;12639.990;12683.057;12618.457;12316.992;12618.457;11606.396;11455.664;10917.334;10788.135;10723.535;10529.736;10443.604;10745.068;10465.137;10745.068;10615.869;10594.336;10723.535;10572.803;10422.070;10615.869;10422.070;10465.137;10658.936;10357.471;10099.072"	-0.396	10	12618.457	313.373	"F"
"9"	9	"Spectrogram 1"	1	84.48136023	84.75280127	6066.388	10180.981	2928.516	0.1633	6503.027	9431.543	7515.088	"6653.760;6459.961;6438.428;6481.494;6847.559;6847.559;6632.227;6459.961;6373.828;6653.760;6395.361;6459.961;6416.895;6416.895"	"7149.023;6933.691;6847.559;7256.689;7795.020;7816.553;7601.221;7385.889;7278.223;7364.355;7687.354;7278.223;7364.355;7385.889"	"9905.273;9646.875;9194.678;7881.152;9173.145;9711.475;9453.076;9280.811;9345.410;9237.744;9366.943;9410.010;9474.609;9345.410"	-0.091	7	7838.086	48.668	"M"
"10"	10	"Spectrogram 1"	1	84.86137768	85.34997154	3639.833	12713.038	4694.238	0.3084	7192.09	11886.328	10099.072	"6675.293;6890.625;7945.752;11714.062;11197.266;9000.879;10486.670;10335.938;10163.672;10056.006;9862.207;9711.475;9302.344;8720.947;7213.623;6804.492;6804.492;6890.625;6739.893;6761.426;6696.826;6761.426;6826.025;6546.094;6524.561;6869.092;6847.559"	"6955.225;11692.529;12446.191;12489.258;11757.129;11240.332;10852.734;10508.203;10314.404;10292.871;10120.605;9926.807;9668.408;9560.742;9237.744;9280.811;9022.412;9302.344;9410.010;9237.744;9280.811;9388.477;9345.410;7730.420;7084.424;7536.621;7558.154"	"8484.082;12424.658;12553.857;12553.857;12316.992;12467.725;11993.994;11304.932;11240.332;10960.400;10874.268;10572.803;10615.869;10400.537;10335.938;10422.070;10357.471;10206.738;10379.004;10314.404;10206.738;10314.404;10443.604;10314.404;9711.475;9496.143;9366.943"	0.091	11	12510.791	274.201	"F"
