"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	0.303165323	0.909495968	6456.14	10245.614	2531.25	0.3667	7406.25	9937.5	9093.75	"6890.625;7195.312;7593.750;7734.375;9679.688;9585.938;8625.000;9398.438;9328.125;9117.188;8906.250;8718.750;8437.500;7898.438;7757.812;7500.000;7265.625;7218.750;7125.000;6843.750;6914.062;7007.812;6960.938;6937.500;7078.125;6843.750;6843.750;6867.188;6843.750;6960.938;6796.875;6843.750;6843.750;6796.875;6796.875"	"10007.812;9937.500;9914.062;9914.062;9820.312;9773.438;9820.312;9679.688;9398.438;9515.625;9164.062;8976.562;9046.875;8765.625;8648.438;8507.812;8390.625;8648.438;8648.438;8484.375;8250.000;8578.125;8507.812;8460.938;8296.875;8015.625;8414.062;8203.125;8109.375;7992.188;7921.875;8203.125;8367.188;7968.750;8226.562"	"10218.750;10195.312;10078.125;10101.562;10101.562;10101.562;10078.125;9984.375;9843.750;9984.375;9890.625;9914.062;9914.062;9890.625;9585.938;9726.562;9890.625;9515.625;9585.938;9656.250;9773.438;9492.188;9515.625;9773.438;9468.750;9679.688;9515.625;9609.375;9562.500;9351.562;9703.125;9679.688;9656.250;9421.875;9140.625"	-3.35	17	10148.438	71.719	"F"
"2"	2	"Spectrogram 1"	1	0.61755899	0.830897551	5684.211	13403.509	5179.688	0.15	6890.625	12070.312	8601.562	"6867.188;6914.062;6984.375;6914.062;6914.062;6984.375;6820.312;6773.438;6820.312;6796.875;6937.500"	"8742.188;8625.000;8625.000;8625.000;8554.688;8320.312;8132.812;8437.500;8296.875;8179.688;8085.938"	"11929.688;12984.375;11507.812;12867.188;11906.250;10710.938;11835.938;12046.875;11554.688;10851.562;10968.750"	0.141	7	8906.25	43.594	"M"
"3"	3	"Spectrogram 1"	1	0.864582586	1.414771505	6807.018	8561.404	984.375	0.4	7429.688	8414.062	8203.125	"6843.750;6843.750;6914.062;7054.688;7359.375;8250.000;8296.875;8132.812;8226.562;8226.562;8250.000;8203.125;8085.938;8039.062;7898.438;7851.562;7804.688;7781.250;7757.812;7734.375;7617.188;7640.625;7429.688;7406.250;7406.250;7312.500;7242.188;7218.750;7148.438;7195.312;7218.750;7101.562;7125.000"	"7804.688;7968.750;8250.000;8273.438;8320.312;8343.750;8343.750;8320.312;8390.625;8414.062;8343.750;8296.875;8320.312;8320.312;8179.688;8203.125;8062.500;8039.062;8156.250;8039.062;7921.875;8109.375;7828.125;7734.375;7781.250;7570.312;7593.750;8179.688;8109.375;7757.812;7875.000;7734.375;7875.000"	"8437.500;8320.312;8414.062;8437.500;8414.062;8437.500;8437.500;8414.062;8437.500;8437.500;8437.500;8390.625;8437.500;8414.062;8414.062;8414.062;8367.188;8390.625;8390.625;8320.312;8390.625;8414.062;8296.875;8320.312;8390.625;8390.625;8109.375;8437.500;8507.812;8484.375;8414.062;8484.375;8414.062"	-1.055	9	8414.062	47.812	"F"
"4"	4	"Spectrogram 1"	1	1.291259707	1.527054958	6456.14	13614.035	5484.375	0.1833	7218.75	12703.125	8531.25	"7148.438;7242.188;7453.125;7242.188;7265.625;7195.312;7265.625;7312.500;7242.188;7171.875;7125.000;7125.000;7171.875;7148.438"	"7593.750;8250.000;8812.500;8953.125;8906.250;8742.188;8648.438;8601.562;8789.062;8671.875;8390.625;8507.812;8367.188;8578.125"	"8109.375;8718.750;10992.188;13101.562;13031.250;13171.875;12796.875;12843.750;12867.188;12539.062;12351.562;12070.312;12539.062;12515.625"	4.868	4	9046.875	60.469	"M"
"5"	5	"Spectrogram 1"	1	1.493369922	2.178298984	6385.965	7649.123	632.812	0.55	6843.75	7476.562	7289.062	"6843.750;6914.062;7101.562;7125.000;7125.000;7101.562;7359.375;7335.938;7101.562;7171.875;7359.375;6703.125;6773.438;6750.000;6726.562;7054.688;7054.688;7125.000;7125.000;7078.125;7078.125;7007.812;6984.375;7007.812;6984.375;6937.500;6914.062;6890.625;6867.188;6843.750;6773.438;6796.875;6632.812;6820.312;6843.750;6820.312;6726.562;6632.812;6679.688;6656.250;6773.438"	"7312.500;7335.938;7382.812;7429.688;7429.688;7429.688;7429.688;7429.688;7453.125;7406.250;7429.688;7453.125;7453.125;7406.250;7312.500;7265.625;7242.188;7218.750;7265.625;7218.750;7218.750;7171.875;7125.000;7125.000;7195.312;7054.688;7101.562;6960.938;7007.812;7125.000;7078.125;7031.250;6937.500;7031.250;7171.875;7148.438;7007.812;7078.125;7007.812;7054.688;7171.875"	"7593.750;7593.750;7476.562;7476.562;7500.000;7593.750;7476.562;7523.438;7523.438;7476.562;7476.562;7500.000;7476.562;7476.562;7500.000;7453.125;7382.812;7429.688;7429.688;7453.125;7453.125;7382.812;7335.938;7406.250;7453.125;7453.125;7476.562;7335.938;7429.688;7453.125;7453.125;7265.625;7593.750;7640.625;7546.875;7617.188;7570.312;7640.625;7617.188;7640.625;7546.875"	0.141	20	7476.562	28.125	"F"
"6"	6	"Spectrogram 1"	1	2.043558841	2.346724163	7228.07	13614.035	4921.875	0.2	7851.562	12773.438	8929.688	"7734.375;8109.375;8015.625;8015.625;7710.938;7921.875;7664.062;7523.438;7898.438;7664.062;7875.000;7781.250;7664.062;7640.625;7523.438;7593.750;7359.375;7382.812"	"8390.625;9093.750;9304.688;9515.625;9070.312;9070.312;8929.688;9000.000;8929.688;8953.125;8765.625;9234.375;8859.375;8742.188;8742.188;8812.500;8812.500;8976.562"	"8812.500;11039.062;13007.812;13218.750;13289.062;13054.688;13101.562;12750.000;12867.188;12632.812;12609.375;12914.062;12421.875;12445.312;12445.312;12515.625;12281.250;12375.000"	2.151	10	9257.812	47.812	"M"
"7"	7	"Spectrogram 1"	1	2.178298984	2.80708632	6456.14	7157.895	234.375	0.5167	6796.875	7031.25	6914.062	"6750.000;6773.438;6820.312;6820.312;6843.750;6843.750;6890.625;6890.625;6914.062;6843.750;6867.188;6867.188;6890.625;6867.188;6890.625;6843.750;6843.750;6867.188;6867.188;6867.188;6843.750;6843.750;6843.750;6773.438;6585.938;6750.000;6656.250;6585.938;6750.000;6562.500;6632.812;6703.125;6539.062;6703.125;6726.562;6656.250;6656.250;6656.250"	"6914.062;6914.062;6984.375;7007.812;7007.812;6937.500;6937.500;6914.062;6960.938;7007.812;6937.500;6937.500;6914.062;6890.625;6914.062;6890.625;6890.625;6914.062;6914.062;6914.062;6890.625;6890.625;6890.625;6914.062;6890.625;6914.062;6867.188;6843.750;6890.625;6890.625;6843.750;6796.875;6890.625;6867.188;6890.625;6867.188;6914.062;6796.875"	"7031.250;7031.250;7031.250;7078.125;7054.688;7031.250;7007.812;7007.812;7031.250;7078.125;7031.250;7031.250;6960.938;6984.375;6960.938;6984.375;7007.812;6960.938;6937.500;6984.375;7007.812;6937.500;6937.500;7007.812;7054.688;6960.938;7125.000;7031.250;6960.938;7007.812;7031.250;7101.562;7031.250;6984.375;6960.938;7054.688;7054.688;7078.125"	-0.19	23	7031.25	9.844	"F"
"8"	8	"Spectrogram 1"	1	2.773401284	3.042881571	7368.421	13473.684	5132.812	0.1667	7851.562	12984.375	8812.5	"7664.062;7898.438;7968.750;7968.750;8039.062;7804.688;7664.062;7898.438;7781.250;7898.438;7945.312;7945.312;7968.750;7617.188;7804.688;7804.688"	"8601.562;8695.312;9117.188;9351.562;9164.062;8765.625;9117.188;8976.562;9023.438;8765.625;8789.062;8625.000;9117.188;8882.812;8671.875;8625.000"	"9539.062;12023.438;13242.188;13289.062;12937.500;12937.500;13031.250;13125.000;13218.750;12468.750;12304.688;12468.750;12468.750;12492.188;12468.750;12703.125"	-2.531	9	13289.062	278.438	"M"
"9"	9	"Spectrogram 1"	1	2.885684737	3.334818548	6315.789	7087.719	140.625	0.35	6773.438	6914.062	6867.188	"6796.875;6820.312;6773.438;6773.438;6796.875;6773.438;6796.875;6796.875;6820.312;6796.875;6796.875;6773.438;6843.750;6843.750;6750.000;6703.125;6726.562;6703.125;6703.125;6679.688;6703.125;6750.000;6703.125;6750.000;6726.562;6703.125;6656.250"	"6867.188;6867.188;6867.188;6890.625;6890.625;6867.188;6867.188;6867.188;6867.188;6843.750;6867.188;6867.188;6890.625;6890.625;6867.188;6867.188;6843.750;6867.188;6843.750;6843.750;6820.312;6867.188;6867.188;6867.188;6843.750;6867.188;6843.750"	"6914.062;6914.062;6914.062;6937.500;6937.500;6914.062;6914.062;6914.062;6890.625;6890.625;6914.062;6914.062;6937.500;6937.500;6914.062;6914.062;6890.625;6890.625;6937.500;6914.062;6914.062;6937.500;6914.062;6890.625;6890.625;6914.062;6937.500"	-0.054	9	6914.062	4.219	"F"
"10"	10	"Spectrogram 1"	1	3.357275238	3.840094085	6245.614	7087.719	257.812	0.4167	6726.562	6984.375	6937.5	"6843.750;6820.312;6843.750;6843.750;6867.188;6890.625;6890.625;6867.188;6914.062;6562.500;6867.188;6656.250;6492.188;6539.062;6585.938;6679.688;6585.938;6562.500;6820.312;6750.000;6679.688;6726.562;6750.000;6726.562;6398.438;6375.000;6773.438;6539.062;6750.000"	"6914.062;6914.062;6937.500;6937.500;6937.500;6960.938;6960.938;6960.938;6960.938;6914.062;6914.062;6937.500;6890.625;6937.500;6937.500;6914.062;6914.062;6890.625;6960.938;6937.500;6937.500;6914.062;6937.500;6914.062;6843.750;6890.625;6914.062;6867.188;6914.062"	"6937.500;7007.812;7007.812;6984.375;7007.812;7007.812;6984.375;6984.375;6984.375;6984.375;6984.375;6984.375;7054.688;7007.812;6984.375;6984.375;7031.250;7054.688;7007.812;6984.375;6984.375;6984.375;6984.375;6960.938;7054.688;6984.375;6960.938;7054.688;6984.375"	0.05	12	6960.938	4.219	"F"
