"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	953.208501111	953.550731041	5473.684	12421.053	5812.5	0.2	6234.375	12046.875	7851.562	"5718.750;5671.875;5695.312;5789.062;6140.625;6585.938;6421.875;6328.125;6585.938;6210.938;6609.375;6445.312;6187.500;6281.250;6210.938;6351.562;6304.688;6187.500;5953.125;5882.812;6187.500"	"7031.250;7031.250;7054.688;6234.375;6937.500;7757.812;8296.875;8273.438;8343.750;8250.000;7968.750;7968.750;8203.125;8250.000;8015.625;7546.875;8250.000;7664.062;7828.125;7617.188;8156.250"	"9492.188;10523.438;11671.875;12257.812;7968.750;10429.688;12000.000;12164.062;12210.938;12140.625;12117.188;12117.188;12046.875;12000.000;11906.250;11039.062;11062.500;11039.062;10945.312;10875.000;10406.250"	5.977	12	12187.5	234.844	"M"
"2"	2	"Spectrogram 1"	1	953.892960972	954.292229224	5824.561	12421.053	5507.812	0.2	6468.75	11976.562	7734.375	"6046.875;6046.875;6117.188;6093.750;6070.312;6234.375;6562.500;6750.000;6468.750;6585.938;6726.562;6539.062;6445.312;6656.250;6515.625;6398.438;6328.125;6304.688;6351.562;6187.500;6281.250;6117.188;6304.688;6304.688"	"7125.000;7054.688;7007.812;6960.938;6960.938;6867.188;7664.062;7757.812;8062.500;8039.062;8203.125;7757.812;7640.625;8015.625;8109.375;8062.500;7687.500;7523.438;8156.250;7359.375;7968.750;7710.938;7734.375;7031.250"	"9796.875;9773.438;9609.375;9750.000;9960.938;7500.000;8578.125;11671.875;12070.312;12210.938;12281.250;12164.062;12000.000;12117.188;12164.062;12023.438;11953.125;11742.188;12187.500;11203.125;11343.750;11132.812;10640.625;9750.000"	0.183	14	8460.938	92.812	"M"
"3"	3	"Spectrogram 1"	1	954.691497477	955.090765729	5824.561	12631.579	5296.875	0.2167	6515.625	11812.5	7664.062	"6539.062;6468.750;6234.375;6375.000;6585.938;6656.250;6632.812;6773.438;6492.188;6726.562;6539.062;6351.562;6515.625;6492.188;6304.688;6351.562;6117.188;6398.438;6445.312;6164.062;6398.438;6046.875;6000.000;6023.438"	"8906.250;8390.625;6632.812;7007.812;7640.625;7828.125;8179.688;8015.625;7687.500;7710.938;7570.312;7687.500;8109.375;8062.500;8085.938;7898.438;7898.438;8367.188;7804.688;7664.062;8039.062;8203.125;7734.375;7101.562"	"10921.875;10875.000;10640.625;7968.750;10359.375;11765.625;12234.375;12468.750;12281.250;12140.625;12187.500;11273.438;10500.000;11226.562;11718.750;11906.250;11554.688;11203.125;10781.250;11015.625;10804.688;10781.250;10523.438;10382.812"	0.183	13	8882.812	144.844	"M"
"4"	4	"Spectrogram 1"	1	955.490033982	955.860783073	5614.035	12561.404	5320.312	0.1833	6656.25	11976.562	7640.625	"6070.312;6023.438;6328.125;6539.062;6703.125;6820.312;6867.188;6726.562;6679.688;6773.438;6726.562;6585.938;6796.875;6492.188;6375.000;6492.188;6304.688;6210.938;6140.625;6257.812;6000.000;6281.250"	"7710.938;7429.688;6984.375;7382.812;7500.000;7546.875;8015.625;8156.250;7968.750;7875.000;7687.500;7898.438;7546.875;7710.938;7523.438;7523.438;7289.062;7195.312;7335.938;7570.312;7453.125;7148.438"	"10992.188;10570.312;8835.938;8132.812;9937.500;11109.375;11976.562;12328.125;12140.625;12351.562;12070.312;12304.688;12164.062;11695.312;12210.938;11039.062;10640.625;10218.750;10968.750;11390.625;11109.375;10289.062"	-4.621	9	8648.438	50.625	"M"
"5"	5	"Spectrogram 1"	1	956.317089647	956.7163579	5964.912	12491.228	5250	0.15	6820.312	12070.312	7851.562	"6117.188;6117.188;6117.188;6187.500;6187.500;6703.125;6843.750;7101.562;7148.438;6984.375;6960.938;6679.688;6914.062;6914.062;6679.688;6796.875;6585.938;6515.625;6492.188;6656.250;6468.750;6609.375;6585.938"	"8203.125;8015.625;7757.812;7429.688;6820.312;7406.250;7664.062;8179.688;8203.125;8601.562;8343.750;8015.625;7945.312;8203.125;8039.062;8062.500;7617.188;7664.062;7453.125;7640.625;7640.625;8015.625;7546.875"	"10757.812;10687.500;10734.375;10546.875;8976.562;7875.000;8882.812;11953.125;12234.375;12328.125;12257.812;12281.250;12304.688;12281.250;12234.375;12351.562;12210.938;11812.500;11460.938;10945.312;11273.438;11015.625;9328.125"	-4.666	14	8789.062	67.5	"M"
"6"	6	"Spectrogram 1"	1	957.600451887	957.99972014	5754.386	12350.877	5367.188	0.15	6539.062	11906.25	7546.875	"6023.438;6070.312;6070.312;6398.438;6515.625;6539.062;6539.062;6750.000;6632.812;6703.125;6656.250;6632.812;6539.062;6515.625;6468.750;6468.750;6398.438;6421.875;6539.062;6421.875;6187.500;6140.625;6281.250"	"7992.188;8039.062;6820.312;7054.688;7335.938;7546.875;7570.312;8250.000;7851.562;7734.375;7640.625;7945.312;7851.562;7617.188;7617.188;7429.688;7265.625;7546.875;7593.750;7546.875;7242.188;7406.250;7171.875"	"11414.062;11414.062;11109.375;7898.438;10570.312;11156.250;11648.438;12093.750;12234.375;12070.312;12140.625;12140.625;11859.375;12070.312;11554.688;11085.938;11109.375;11156.250;11390.625;10617.188;11273.438;10875.000;10125.000"	-0.192	12	12234.375	320.625	"M"
"7"	7	"Spectrogram 1"	1	958.398988392	958.769737484	5684.211	12421.053	5367.188	0.15	6703.125	12070.312	7898.438	"5859.375;5859.375;6117.188;6562.500;6609.375;6726.562;6914.062;6796.875;6890.625;6632.812;6867.188;6632.812;6726.562;6679.688;6726.562;6750.000;6609.375;6539.062;6773.438;5976.562;6351.562;6023.438;6351.562"	"7406.250;7148.438;6726.562;7312.500;7312.500;7898.438;8648.438;8250.000;8343.750;8601.562;8273.438;7945.312;8062.500;7945.312;8015.625;8039.062;8109.375;7687.500;8296.875;7945.312;7148.438;7523.438;8132.812"	"10195.312;10148.438;7429.688;7875.000;7898.438;10640.625;12210.938;12281.250;12257.812;12281.250;12234.375;12046.875;11812.500;11789.062;11625.000;12023.438;12257.812;10734.375;11226.562;11250.000;8976.562;9632.812;10429.688"	0.128	12	12281.25	203.906	"M"
"8"	8	"Spectrogram 1"	1	959.881984758	960.25273385	5543.86	12631.579	4593.75	0.2667	6656.25	11250	7289.062	"5789.062;5718.750;5789.062;6164.062;6351.562;6421.875;6609.375;6679.688;6656.250;6679.688;6656.250;6539.062;6562.500;6515.625;6234.375;6117.188;6562.500;6750.000;7054.688;7125.000;6703.125;6210.938;6867.188"	"7031.250;7054.688;6890.625;6539.062;7289.062;7312.500;7523.438;7804.688;8250.000;8296.875;7804.688;7710.938;7734.375;8085.938;7945.312;7710.938;7570.312;7242.188;8648.438;7265.625;7078.125;7148.438;7171.875"	"9468.750;9492.188;9750.000;7382.812;7851.562;7851.562;11015.625;12281.250;12445.312;12421.875;12140.625;12398.438;12398.438;12070.312;12375.000;11460.938;12093.750;7828.125;9656.250;8507.812;7453.125;9281.250;9445.312"	0.575	14	8085.938	47.812	"M"
"9"	9	"Spectrogram 1"	1	960.709040424	961.136827837	5192.982	10947.368	2789.062	0.1	6773.438	9562.5	7265.625	"5953.125;6140.625;5906.250;5671.875;5929.688;6984.375;7078.125;7125.000;6609.375;6609.375;6539.062;6750.000;6679.688;6515.625;6632.812;6187.500;6257.812;6468.750;5882.812;5742.188;6187.500;6328.125;5882.812;6164.062;5859.375;5812.500"	"8812.500;8742.188;8882.812;7992.188;7007.812;7359.375;9328.125;7265.625;7078.125;7218.750;7312.500;7265.625;7242.188;7242.188;7265.625;7265.625;7218.750;7312.500;7242.188;7125.000;7218.750;7148.438;7125.000;7171.875;6937.500;7101.562"	"10078.125;9914.062;10289.062;9914.062;7382.812;9257.812;10781.250;8414.062;8625.000;10289.062;10429.688;9632.812;9750.000;10734.375;10687.500;10757.812;9890.625;9632.812;9328.125;9914.062;10289.062;8859.375;9445.312;8789.062;9000.000;8929.688"	-5.175	15	10617.188	199.688	"M"
"10"	10	"Spectrogram 1"	1	961.621653572	962.020921825	4771.93	11157.895	4265.625	0.1167	6679.688	10945.312	7312.5	"5460.938;5437.500;5062.500;6539.062;6726.562;6656.250;7007.812;6726.562;6093.750;6539.062;6632.812;6492.188;6632.812;6656.250;6445.312;6468.750;6492.188;6281.250;6187.500;6210.938;6257.812;6257.812;6140.625;6070.312"	"7195.312;7992.188;6093.750;7289.062;7335.938;7875.000;7921.875;7148.438;7171.875;7148.438;7429.688;7359.375;7476.562;7195.312;7429.688;7171.875;7242.188;7218.750;7242.188;7687.500;7664.062;8273.438;8250.000;8390.625"	"10968.750;10968.750;7875.000;7828.125;10945.312;11015.625;11039.062;8695.312;10734.375;10828.125;10453.125;10781.250;9398.438;9328.125;8929.688;10359.375;10429.688;10382.812;9375.000;10500.000;10078.125;9914.062;10218.750;10289.062"	-0.122	12	10945.312	189.844	"M"
