"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	453.416467526	453.950984147	5589.873	14886.076	7382.812	0.3667	7101.562	14484.375	11484.375	"5765.625;6046.875;6164.062;6234.375;7382.812;10335.938;13992.188;13476.562;13148.438;12914.062;12257.812;12187.500;11718.750;11437.500;10875.000;10382.812;10078.125;9257.812;8742.188;8296.875;7687.500;7476.562;7125.000;7195.312;6562.500;6351.562;6726.562;6726.562;6445.312;6632.812;6890.625;6914.062;6515.625"	"6539.062;7406.250;13968.750;14531.250;14648.438;14460.938;14250.000;14179.688;13664.062;13289.062;13242.188;12609.375;12609.375;12070.312;11835.938;11554.688;11554.688;10781.250;10265.625;10007.812;9890.625;9937.500;9726.562;9492.188;9023.438;9562.500;9398.438;9000.000;8718.750;7992.188;6984.375;6984.375;7710.938"	"9703.125;12656.250;14484.375;14742.188;14742.188;14718.750;14671.875;14695.312;14671.875;14531.250;14531.250;14062.500;13945.312;13593.750;13359.375;13429.688;13101.562;12796.875;12375.000;12210.938;11953.125;11859.375;11882.812;11718.750;11625.000;11507.812;11507.812;11460.938;11343.750;11179.688;10242.188;10007.812;11273.438"	1.67	15	14718.75	489.375	"F"
"2"	2	"Spectrogram 1"	1	455.334438932	455.868955553	5650.633	14521.519	6562.5	0.3167	6468.75	13031.25	9234.375	"6023.438;6187.500;6726.562;7781.250;12984.375;12187.500;11648.438;11109.375;10781.250;10429.688;10078.125;9609.375;9281.250;8789.062;8250.000;7875.000;7101.562;6750.000;6492.188;6210.938;6304.688;6187.500;6187.500;6234.375;6093.750;6187.500;6023.438;6117.188;6093.750;5976.562;5906.250;6046.875"	"9375.000;12867.188;13757.812;14226.562;13781.250;13593.750;13125.000;12726.562;11578.125;11460.938;10945.312;10406.250;9984.375;9843.750;9843.750;9398.438;9304.688;8414.062;7992.188;7945.312;7617.188;7054.688;6890.625;7195.312;7242.188;6773.438;6820.312;7054.688;6960.938;6820.312;6984.375;6843.750"	"14156.250;14203.125;14320.312;14343.750;14296.875;14320.312;14203.125;14132.812;13945.312;13453.125;13523.438;12632.812;12070.312;11929.688;11554.688;11296.875;10734.375;10640.625;10429.688;10218.750;10218.750;9937.500;10031.250;9937.500;10054.688;10031.250;9609.375;9820.312;9609.375;9937.500;9867.188;9773.438"	-12.656	16	14296.875	54.844	"F"
"3"	3	"Spectrogram 1"	1	457.063757412	457.582552957	5650.633	14339.241	5648.438	0.3	6468.75	12117.188	9093.75	"5789.062;5789.062;6023.438;6468.750;6914.062;6914.062;6984.375;7242.188;10382.812;10101.562;7898.438;8039.062;8648.438;8976.562;8367.188;8015.625;7617.188;7078.125;6726.562;6445.312;6117.188;6234.375;6117.188;6304.688;6117.188;6210.938;6210.938;6281.250;6023.438;6140.625;6070.312"	"7429.688;8484.375;13218.750;13828.125;13195.312;12750.000;12445.312;11929.688;11156.250;10710.938;10523.438;10171.875;10171.875;9867.188;9445.312;9351.562;9093.750;8812.500;8273.438;8039.062;7664.062;7640.625;7125.000;7382.812;7335.938;7406.250;7242.188;7218.750;7265.625;7171.875;7265.625"	"12890.625;13921.875;14203.125;14203.125;14226.562;14156.250;14132.812;13828.125;13125.000;12632.812;12656.250;12445.312;12257.812;11296.875;11015.625;10617.188;10617.188;10382.812;10171.875;10101.562;10078.125;9890.625;9843.750;10078.125;9890.625;9820.312;9937.500;10031.250;9960.938;9632.812;9773.438"	1.875	16	14179.688	480.937	"F"
"4"	4	"Spectrogram 1"	1	457.653298258	457.928417107	4556.962	11908.861	6140.625	0.2	4992.188	11132.812	7265.625	"4992.188;4968.750;5109.375;4945.312;5039.062;5039.062;5203.125;5062.500;4968.750;5039.062;4945.312;5062.500;5039.062;4804.688;4851.562;4875.000"	"6585.938;7265.625;7148.438;7382.812;7570.312;7710.938;7898.438;7500.000;7640.625;7546.875;7453.125;7078.125;7312.500;7289.062;7265.625;7500.000"	"8203.125;9000.000;11062.500;11203.125;11390.625;11343.750;11648.438;11250.000;11320.312;11343.750;10148.438;11132.812;11085.938;11273.438;10500.000;10218.750"	11.344	6	8437.5	181.406	""
"5"	5	"Spectrogram 1"	1	458.242838195	458.745912662	5893.671	14278.481	5367.188	0.3333	6492.188	11859.375	8718.75	"6257.812;5976.562;6281.250;6421.875;6375.000;6468.750;6468.750;6726.562;6562.500;6937.500;7101.562;7007.812;7945.312;7687.500;7242.188;6890.625;6632.812;6515.625;6468.750;6351.562;6281.250;6445.312;6257.812;6328.125;6234.375;6257.812;6257.812;6445.312;6351.562;6234.375"	"10921.875;11343.750;7218.750;7148.438;7804.688;8179.688;10945.312;11015.625;10734.375;10570.312;10289.062;9914.062;9890.625;9585.938;9257.812;8695.312;8437.500;8015.625;7242.188;7312.500;7171.875;7171.875;7476.562;7617.188;7593.750;7218.750;6937.500;6937.500;7710.938;7546.875"	"14085.938;14085.938;13898.438;13687.500;13640.625;13898.438;13195.312;13335.938;12937.500;11953.125;12023.438;11414.062;11203.125;11484.375;10921.875;10804.688;10734.375;10476.562;10406.250;10031.250;10171.875;10148.438;10242.188;10171.875;10242.188;10007.812;10054.688;9796.875;10195.312;10218.750"	-15.178	15	14062.5	258.75	"F"
"6"	6	"Spectrogram 1"	1	458.258559726	458.510096959	4617.722	11605.063	6023.438	0.2	5226.562	11250	9187.5	"4781.250;4898.438;5039.062;5062.500;5250.000;5132.812;5062.500;5250.000;6468.750;6328.125;6328.125;7382.812;6937.500;7078.125;6773.438"	"5203.125;5765.625;6539.062;7007.812;7171.875;8062.500;10171.875;10335.938;10335.938;10031.250;9867.188;9867.188;9562.500;9187.500;8695.312"	"8039.062;8179.688;8203.125;9960.938;11460.938;11437.500;11484.375;11414.062;11484.375;11203.125;11062.500;11039.062;11109.375;10898.438;10523.438"	15.569	7	10992.188	258.75	"M"
"7"	7	"Spectrogram 1"	1	458.840239578	459.076055735	4982.278	12212.658	6234.375	0.1833	5367.188	11601.562	7523.438	"5179.688;5343.750;5414.062;5343.750;5414.062;5578.125;5460.938;5460.938;5625.000;5367.188;5531.250;5414.062;5531.250;5578.125"	"6468.750;7101.562;7218.750;7546.875;7898.438;7828.125;7734.375;7804.688;7781.250;8015.625;8085.938;7664.062;7453.125;7007.812"	"8531.250;8671.875;9960.938;11765.625;11531.250;12000.000;11789.062;11648.438;11601.562;11976.562;12023.438;11953.125;11390.625;10570.312"	7.897	8	7992.188	144.844	"M"
"8"	8	"Spectrogram 1"	1	459.374755746	459.89355129	5893.671	14096.203	5203.125	0.3	6445.312	11648.438	8789.062	"6000.000;6023.438;6351.562;6703.125;6843.750;7851.562;9843.750;10476.562;7078.125;6914.062;6914.062;7054.688;7007.812;7312.500;7406.250;7195.312;6750.000;6515.625;6492.188;6281.250;6257.812;6117.188;6304.688;6257.812;6281.250;6234.375;6234.375;6164.062;6281.250;6117.188;6164.062"	"7335.938;9867.188;11414.062;13101.562;12984.375;12140.625;11203.125;11203.125;10992.188;10617.188;10312.500;10078.125;9656.250;9421.875;9445.312;9187.500;8648.438;8390.625;8179.688;7570.312;7523.438;7617.188;6890.625;7476.562;6867.188;7007.812;7593.750;7382.812;7265.625;7335.938;7242.188"	"13078.125;13757.812;13804.688;13851.562;13875.000;13781.250;13734.375;13101.562;12937.500;12539.062;11812.500;11414.062;11343.750;10968.750;10781.250;10757.812;10640.625;10640.625;10265.625;10640.625;10101.562;10218.750;10078.125;10289.062;9914.062;9820.312;10171.875;10148.438;9890.625;9843.750;9703.125"	1.125	18	13875	419.062	"F"
"9"	9	"Spectrogram 1"	1	459.469082662	459.720619896	4678.481	11969.62	5906.25	0.2	5250	11156.25	8812.5	"4921.875;4945.312;4921.875;5015.625;5156.250;5390.625;5367.188;5179.688;5460.938;6632.812;6726.562;6445.312;6351.562;6210.938;6000.000"	"10992.188;10968.750;10734.375;10312.500;9914.062;10031.250;9585.938;8929.688;9257.812;9000.000;8648.438;8367.188;8156.250;7453.125;7406.250"	"11765.625;11625.000;11578.125;11414.062;11343.750;10921.875;11179.688;10921.875;10593.750;10710.938;10640.625;10593.750;10242.188;10312.500;10031.250"	-18.08	11	10992.188	91.406	"M"
"10"	10	"Spectrogram 1"	1	459.940714975	460.270857594	4678.481	12273.418	6398.438	0.2167	5203.125	11601.562	7570.312	"4804.688;4992.188;5062.500;5203.125;5320.312;5343.750;5203.125;5367.188;5437.500;5414.062;5320.312;5554.688;5273.438;5437.500;5695.312;5179.688;5062.500;5085.938;5132.812;4992.188"	"5976.562;5554.688;5554.688;7007.812;7382.812;7921.875;7992.188;7617.188;7617.188;8179.688;7851.562;7968.750;7781.250;8062.500;7757.812;7312.500;7500.000;7429.688;7195.312;7218.750"	"9515.625;8109.375;8039.062;9000.000;9984.375;11601.562;12070.312;11742.188;11953.125;11648.438;11671.875;12046.875;11789.062;10265.625;11507.812;11250.000;11109.375;10687.500;10734.375;10570.312"	6.217	8	8695.312	108.281	"M"
