"pair","duet","Sex","temp.name","noterate","bandwidth","b"
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.333333333333333,9090.79,1
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.333333333333333,8023.283,3
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,8023.283,4
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,7854.962,5
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,7069.466,6
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.333333333333333,7574.427,7
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,7574.427,8
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1,7387.40466666667,9
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,7069.4655,10
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,6620.6105,11
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1,7275.191,12
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1,6714.122,13
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,6480.3435,14
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.333333333333333,7686.642,15
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.333333333333333,7013.359,16
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",0.666666666666667,6788.9315,17
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1,7144.27466666667,18
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1,6283.96966666667,19
"Pair8","TATali-default-2018-08-30_05-10.BoutA","F","/Users/denaclink/Desktop/RStudio Projects/Tariser-linguistic-laws/UpdatedTarsierSelectionTables//ARBIMON/TA Tali/default-2018-08-30_05-10/TATali-default-2018-08-30_05-10.BoutA.txt",1.66666666666667,2648.2442,20
